종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
한전기술,126700.0,+11.73%,2681388.0,330885.0,478796.0,052690,https://kr.tradingview.com/symbols/KRX-052690/,2026.01.16,119131,205641
고려아연,1585000.0,+10.22%,144252.0,224045.0,155057.0,010130,https://kr.tradingview.com/symbols/KRX-010130/,2026.01.16,23280,-749
대한항공,24300.0,+5.65%,14900485.0,365529.0,1807538.0,003490,https://kr.tradingview.com/symbols/KRX-003490/,2026.01.16,2794566,2400892
제주항공,5900.0,+5.17%,911126.0,5322.0,541814.0,089590,https://kr.tradingview.com/symbols/KRX-089590/,2026.01.16,111772,154671
LG전자,98400.0,+4.68%,4653041.0,463160.0,1123935.0,066570,https://kr.tradingview.com/symbols/KRX-066570/,2026.01.16,119455,641724
DB하이텍,85200.0,+4.03%,728521.0,61712.0,289199.0,000990,https://kr.tradingview.com/symbols/KRX-000990/,2026.01.16,83529,-44659
SK스퀘어,446500.0,+3.96%,501455.0,220260.0,383174.0,402340,https://kr.tradingview.com/symbols/KRX-402340/,2026.01.16,10487,80541
드림텍,7200.0,+3.30%,573485.0,4124.0,193126.0,192650,https://kr.tradingview.com/symbols/KRX-192650/,2026.01.16,-2036,178695
LG,87500.0,+3.18%,958212.0,85377.0,284458.0,003550,https://kr.tradingview.com/symbols/KRX-003550/,2026.01.16,133730,70712
신세계인터내셔날,10910.0,+3.12%,80800.0,872.0,40027.0,031430,https://kr.tradingview.com/symbols/KRX-031430/,2026.01.16,14270,3651
롯데이노베이트,21450.0,+2.88%,69194.0,1494.0,18289.0,286940,https://kr.tradingview.com/symbols/KRX-286940/,2026.01.16,12841,-7994
HK이노엔 *,46950.0,+2.85%,318664.0,14913.0,296716.0,195940,https://kr.tradingview.com/symbols/KRX-195940/,2026.01.16,65819,-66178
메리츠금융지주,105400.0,+2.43%,234717.0,24644.0,278602.0,138040,https://kr.tradingview.com/symbols/KRX-138040/,2026.01.16,45907,42160
LG이노텍,286000.0,+2.33%,163272.0,46359.0,123674.0,011070,https://kr.tradingview.com/symbols/KRX-011070/,2026.01.16,13319,24560
에프앤가이드 *,8900.0,+2.30%,38230.0,343.0,15059.0,064850,https://kr.tradingview.com/symbols/KRX-064850/,2026.01.16,0,14199
LG디스플레이,12520.0,+2.29%,4720867.0,59854.0,1709110.0,034220,https://kr.tradingview.com/symbols/KRX-034220/,2026.01.16,-48999,531994
롯데쇼핑,74900.0,+2.18%,97952.0,7367.0,62969.0,023530,https://kr.tradingview.com/symbols/KRX-023530/,2026.01.16,34003,22070
감성코퍼레이션 *,5270.0,+2.13%,714037.0,3748.0,1022132.0,036620,https://kr.tradingview.com/symbols/KRX-036620/,2026.01.16,-91028,-67239
신세계,285500.0,+1.96%,67682.0,19402.0,64328.0,004170,https://kr.tradingview.com/symbols/KRX-004170/,2026.01.16,2711,8230
AK홀딩스,7900.0,+1.94%,19608.0,153.0,13236.0,006840,https://kr.tradingview.com/symbols/KRX-006840/,2026.01.16,-578,-2418
현대지에프홀딩스,8620.0,+1.77%,177440.0,1519.0,213041.0,005440,https://kr.tradingview.com/symbols/KRX-005440/,2026.01.16,17512,36539
현대백화점,96100.0,+1.59%,133471.0,12921.0,110906.0,069960,https://kr.tradingview.com/symbols/KRX-069960/,2026.01.16,-3264,-3075
HD현대일렉트릭,906000.0,+1.57%,139572.0,125643.0,277030.0,267260,https://kr.tradingview.com/symbols/KRX-267260/,2026.01.16,1084,22203
유안타증권,3940.0,+1.55%,688283.0,2691.0,564123.0,003470,https://kr.tradingview.com/symbols/KRX-003470/,2026.01.16,72536,243644
미래에셋증권,31200.0,+1.46%,5830979.0,182347.0,7091463.0,006800,https://kr.tradingview.com/symbols/KRX-006800/,2026.01.16,223330,328093
현대엘리베이터,88900.0,+1.37%,187692.0,16698.0,158331.0,017800,https://kr.tradingview.com/symbols/KRX-017800/,2026.01.16,-10401,3317
아모레퍼시픽,121400.0,+1.34%,309954.0,37637.0,231343.0,090430,https://kr.tradingview.com/symbols/KRX-090430/,2026.01.16,23794,54640
키움증권,330000.0,+1.23%,137270.0,44938.0,143092.0,039490,https://kr.tradingview.com/symbols/KRX-039490/,2026.01.16,4,-2496
KT,53900.0,+1.13%,432783.0,23529.0,284125.0,030200,https://kr.tradingview.com/symbols/KRX-030200/,2026.01.16,86348,57523
세아베스틸지주,67900.0,+1.04%,350883.0,23555.0,774740.0,001430,https://kr.tradingview.com/symbols/KRX-001430/,2026.01.16,-6713,88092
HL홀딩스,45450.0,+1.00%,83292.0,3862.0,42563.0,060980,https://kr.tradingview.com/symbols/KRX-060980/,2026.01.16,-4867,-10737
SK하이닉스,756000.0,+0.93%,3572581.0,2694733.0,3003414.0,000660,https://kr.tradingview.com/symbols/KRX-000660/,2026.01.16,278399,-145995
롯데웰푸드,108400.0,+0.93%,16728.0,1821.0,21815.0,280360,https://kr.tradingview.com/symbols/KRX-280360/,2026.01.16,1847,-4070
롯데하이마트,7300.0,+0.83%,15545.0,113.0,13079.0,071840,https://kr.tradingview.com/symbols/KRX-071840/,2026.01.16,-607,-5247
SK네트웍스,4460.0,+0.79%,749140.0,3373.0,329594.0,001740,https://kr.tradingview.com/symbols/KRX-001740/,2026.01.16,-5753,93899
태광 *,27350.0,+0.74%,231647.0,6326.0,425016.0,023160,https://kr.tradingview.com/symbols/KRX-023160/,2026.01.16,-10917,-15361
SK텔레콤,55300.0,+0.73%,885656.0,48963.0,921872.0,017670,https://kr.tradingview.com/symbols/KRX-017670/,2026.01.16,103571,173000
파트론 *,6920.0,+0.73%,220215.0,1522.0,132454.0,091700,https://kr.tradingview.com/symbols/KRX-091700/,2026.01.16,5379,45188
KB금융,130900.0,+0.61%,741493.0,96772.0,997830.0,105560,https://kr.tradingview.com/symbols/KRX-105560/,2026.01.16,-24479,80881
LG생활건강,264500.0,+0.57%,69106.0,18319.0,49113.0,051900,https://kr.tradingview.com/symbols/KRX-051900/,2026.01.16,3277,12517
애경산업,12840.0,+0.55%,26980.0,346.0,19912.0,018250,https://kr.tradingview.com/symbols/KRX-018250/,2026.01.16,-4,-1646
HD현대,236000.0,+0.43%,189523.0,44454.0,310649.0,267250,https://kr.tradingview.com/symbols/KRX-267250/,2026.01.16,2105,5869
지역난방공사,103400.0,+0.39%,19128.0,1977.0,24011.0,071320,https://kr.tradingview.com/symbols/KRX-071320/,2026.01.16,-3938,2599
