종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
영풍,53700.0,+8.70%,219792.0,11790.0,78498.0,000670,https://kr.tradingview.com/symbols/KRX-000670/,2026.01.16,5724,-14700
삼성전자,148900.0,+3.47%,29551245.0,4369324.0,24701126.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,2026.01.16,1267814,811557
LG이노텍,286000.0,+2.33%,163272.0,46359.0,123674.0,011070,https://kr.tradingview.com/symbols/KRX-011070/,2026.01.16,13319,24560
LG디스플레이,12520.0,+2.29%,4720867.0,59854.0,1709110.0,034220,https://kr.tradingview.com/symbols/KRX-034220/,2026.01.16,-48999,531994
덕우전자 *,4880.0,+2.20%,236369.0,1146.0,76578.0,263600,https://kr.tradingview.com/symbols/KRX-263600/,2026.01.16,4,34261
SK하이닉스,756000.0,+0.93%,3572581.0,2694733.0,3003414.0,000660,https://kr.tradingview.com/symbols/KRX-000660/,2026.01.16,278399,-145995
덕산네오룩스 *,35500.0,+0.28%,150022.0,5323.0,165964.0,213420,https://kr.tradingview.com/symbols/KRX-213420/,2026.01.16,-67798,35580
와이엠티 *,11150.0,+0.09%,58616.0,653.0,193536.0,251370,https://kr.tradingview.com/symbols/KRX-251370/,2026.01.16,659,-14931
아이티엠반도체 *,9160.0,0.00%,42786.0,392.0,44462.0,084850,https://kr.tradingview.com/symbols/KRX-084850/,2026.01.16,-2020,-3574
삼성전기,289500.0,0.00%,609051.0,173761.0,450431.0,009150,https://kr.tradingview.com/symbols/KRX-009150/,2026.01.16,-54911,34908
LX세미콘,51100.0,-0.58%,64883.0,3315.0,56427.0,108320,https://kr.tradingview.com/symbols/KRX-108320/,2026.01.16,-18171,19315
LG화학,333500.0,-0.74%,239548.0,80434.0,270726.0,051910,https://kr.tradingview.com/symbols/KRX-051910/,2026.01.16,-9819,-14558
삼성SDI,289000.0,-0.86%,447796.0,129170.0,487778.0,006400,https://kr.tradingview.com/symbols/KRX-006400/,2026.01.16,-22352,30018
슈피겐코리아 *,22050.0,-0.90%,8362.0,184.0,13999.0,192440,https://kr.tradingview.com/symbols/KRX-192440/,2026.01.16,3207,-3398
프로텍 *,35350.0,-1.12%,23861.0,844.0,21426.0,053610,https://kr.tradingview.com/symbols/KRX-053610/,2026.01.16,-188,-6112
인터플렉스 *,10480.0,-1.32%,230555.0,2409.0,323785.0,051370,https://kr.tradingview.com/symbols/KRX-051370/,2026.01.16,-8546,-33426
비에이치,16360.0,-1.33%,306820.0,5064.0,210404.0,090460,https://kr.tradingview.com/symbols/KRX-090460/,2026.01.16,-83353,70560
하이비젼시스템 *,15880.0,-1.37%,86201.0,1382.0,81167.0,126700,https://kr.tradingview.com/symbols/KRX-126700/,2026.01.16,-467,9600
앤디포스 *,1801.0,-1.58%,17387.0,32.0,105850.0,238090,https://kr.tradingview.com/symbols/KRX-238090/,2026.01.16,0,-4595
이녹스첨단소재 *,24050.0,-3.41%,419882.0,10178.0,361951.0,272290,https://kr.tradingview.com/symbols/KRX-272290/,2026.01.16,-5416,-48057
