종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
경인양행,5000.0,+8.23%,3863575.0,19131.0,1269226.0,012610,https://kr.tradingview.com/symbols/KRX-012610/
브이원텍 *,6940.0,+7.26%,1434377.0,10080.0,536131.0,251630,https://kr.tradingview.com/symbols/KRX-251630/
필옵틱스 *,44500.0,+5.95%,547255.0,23867.0,248531.0,161580,https://kr.tradingview.com/symbols/KRX-161580/
삼성전자,148900.0,+3.47%,29551245.0,4369324.0,24701126.0,005930,https://kr.tradingview.com/symbols/KRX-005930/
신도기연 *,1879.0,+2.68%,61321.0,116.0,10736.0,290520,https://kr.tradingview.com/symbols/KRX-290520/
LG디스플레이,12520.0,+2.29%,4720867.0,59854.0,1709110.0,034220,https://kr.tradingview.com/symbols/KRX-034220/
아이컴포넌트 *,4860.0,+1.36%,27664.0,134.0,12372.0,059100,https://kr.tradingview.com/symbols/KRX-059100/
에스에프에이 *,23550.0,+0.86%,73491.0,1747.0,80078.0,056190,https://kr.tradingview.com/symbols/KRX-056190/
유티아이 *,21700.0,+0.70%,33646.0,718.0,44362.0,179900,https://kr.tradingview.com/symbols/KRX-179900/
SKC,106000.0,+0.47%,253368.0,27122.0,139917.0,011790,https://kr.tradingview.com/symbols/KRX-011790/
덕산네오룩스 *,35500.0,+0.28%,150022.0,5323.0,165964.0,213420,https://kr.tradingview.com/symbols/KRX-213420/
파인텍 *,740.0,+0.14%,151168.0,111.0,156734.0,131760,https://kr.tradingview.com/symbols/KRX-131760/
PI첨단소재,15580.0,-0.26%,77462.0,1209.0,48143.0,178920,https://kr.tradingview.com/symbols/KRX-178920/
AP시스템 *,18830.0,-0.58%,51485.0,972.0,63806.0,265520,https://kr.tradingview.com/symbols/KRX-265520/
루멘스 *,710.0,-1.11%,774696.0,543.0,4078579.0,038060,https://kr.tradingview.com/symbols/KRX-038060/
인터플렉스 *,10480.0,-1.32%,230555.0,2409.0,323785.0,051370,https://kr.tradingview.com/symbols/KRX-051370/
코세스 *,24350.0,-1.42%,257067.0,6165.0,205496.0,089890,https://kr.tradingview.com/symbols/KRX-089890/
주성엔지니어링 *,31950.0,-1.54%,425605.0,13687.0,514513.0,036930,https://kr.tradingview.com/symbols/KRX-036930/
HB솔루션 *,2105.0,-1.86%,343442.0,728.0,462002.0,297890,https://kr.tradingview.com/symbols/KRX-297890/
도우인시스 *,23500.0,-2.08%,26152.0,616.0,28768.0,484120,https://kr.tradingview.com/symbols/KRX-484120/
비아트론 *,6970.0,-2.24%,27310.0,192.0,18711.0,141000,https://kr.tradingview.com/symbols/KRX-141000/
디이엔티 *,4790.0,-3.13%,107063.0,516.0,88599.0,079810,https://kr.tradingview.com/symbols/KRX-079810/
이노테크 *,24100.0,-4.37%,126448.0,3068.0,247948.0,469610,https://kr.tradingview.com/symbols/KRX-469610/
코오롱인더,43650.0,-4.49%,296536.0,13231.0,127102.0,120110,https://kr.tradingview.com/symbols/KRX-120110/
