종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
피에스텍 *,13930.0,+23.71%,3349422.0,44350.0,724134.0,002230,https://kr.tradingview.com/symbols/KRX-002230/
보성파워텍 *,5830.0,+8.36%,13009574.0,74527.0,1020418.0,006910,https://kr.tradingview.com/symbols/KRX-006910/
동양이엔피 *,28850.0,+8.26%,220954.0,6265.0,38278.0,079960,https://kr.tradingview.com/symbols/KRX-079960/
롯데이노베이트,21450.0,+2.88%,69194.0,1494.0,18289.0,286940,https://kr.tradingview.com/symbols/KRX-286940/
휴맥스홀딩스 *,1824.0,+1.11%,46357.0,83.0,65069.0,028080,https://kr.tradingview.com/symbols/KRX-028080/
SK네트웍스,4460.0,+0.79%,749140.0,3373.0,329594.0,001740,https://kr.tradingview.com/symbols/KRX-001740/
그리드위즈 *,15380.0,+0.52%,43324.0,671.0,40014.0,453450,https://kr.tradingview.com/symbols/KRX-453450/
위너스 *,10130.0,+0.30%,12739.0,130.0,7138.0,479960,https://kr.tradingview.com/symbols/KRX-479960/
LG헬로비전,2260.0,+0.22%,119343.0,269.0,82307.0,037560,https://kr.tradingview.com/symbols/KRX-037560/
와이엠텍 *,7890.0,-0.13%,19163.0,150.0,23881.0,273640,https://kr.tradingview.com/symbols/KRX-273640/
토비스 *,15020.0,-0.60%,123356.0,1853.0,101667.0,051360,https://kr.tradingview.com/symbols/KRX-051360/
NICE인프라 *,4045.0,-0.74%,74214.0,299.0,54659.0,063570,https://kr.tradingview.com/symbols/KRX-063570/
디티씨 *,3035.0,-0.82%,26405.0,80.0,37499.0,066670,https://kr.tradingview.com/symbols/KRX-066670/
SK,299000.0,-0.83%,195357.0,58284.0,293606.0,034730,https://kr.tradingview.com/symbols/KRX-034730/
알티캐스트 *,578.0,-0.86%,177091.0,102.0,305715.0,085810,https://kr.tradingview.com/symbols/KRX-085810/
기아,151100.0,-0.92%,2624747.0,405458.0,3375671.0,000270,https://kr.tradingview.com/symbols/KRX-000270/
모트렉스 *,9800.0,-1.01%,695596.0,6880.0,460151.0,118990,https://kr.tradingview.com/symbols/KRX-118990/
솔루엠,14830.0,-1.07%,148444.0,2204.0,167913.0,248070,https://kr.tradingview.com/symbols/KRX-248070/
휴맥스 *,891.0,-1.55%,194351.0,174.0,752482.0,115160,https://kr.tradingview.com/symbols/KRX-115160/
LG유플러스,14930.0,-2.03%,742297.0,11172.0,1033025.0,032640,https://kr.tradingview.com/symbols/KRX-032640/
현대차,413000.0,-2.13%,2589483.0,1081808.0,2864894.0,005380,https://kr.tradingview.com/symbols/KRX-005380/
와이투솔루션,4070.0,-2.98%,524384.0,2179.0,1285040.0,011690,https://kr.tradingview.com/symbols/KRX-011690/
위츠 *,6450.0,-3.01%,76342.0,497.0,55188.0,459100,https://kr.tradingview.com/symbols/KRX-459100/
원익피앤이 *,3745.0,-4.46%,514213.0,1972.0,444254.0,217820,https://kr.tradingview.com/symbols/KRX-217820/
아이엘 *,3805.0,-4.76%,1207781.0,4651.0,1880579.0,307180,https://kr.tradingview.com/symbols/KRX-307180/
캐리 *,1612.0,-11.04%,355872.0,583.0,820208.0,313760,https://kr.tradingview.com/symbols/KRX-313760/
