종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
압타머사이언스 *,1060.0,+11.58%,3162938.0,3255.0,5133821.0,291650,https://kr.tradingview.com/symbols/KRX-291650/
와이바이오로직스 *,26000.0,+5.69%,302779.0,7872.0,108602.0,338840,https://kr.tradingview.com/symbols/KRX-338840/
차바이오텍 *,14890.0,+5.23%,2506267.0,36572.0,461608.0,085660,https://kr.tradingview.com/symbols/KRX-085660/
큐리언트 *,29450.0,+3.33%,237644.0,6954.0,200931.0,115180,https://kr.tradingview.com/symbols/KRX-115180/
이뮨온시아 *,11880.0,+3.30%,1294407.0,14970.0,620221.0,424870,https://kr.tradingview.com/symbols/KRX-424870/
앱클론 *,57600.0,+3.23%,509290.0,28584.0,598297.0,174900,https://kr.tradingview.com/symbols/KRX-174900/
더코디 *,3160.0,+2.76%,18406.0,57.0,31979.0,224060,https://kr.tradingview.com/symbols/KRX-224060/
에이비엘바이오 *,197500.0,+2.54%,1492687.0,289670.0,503033.0,298380,https://kr.tradingview.com/symbols/KRX-298380/
리가켐바이오 *,166800.0,+2.33%,601679.0,98496.0,210383.0,141080,https://kr.tradingview.com/symbols/KRX-141080/
지아이이노베이션 *,14110.0,+2.10%,745987.0,10407.0,802435.0,358570,https://kr.tradingview.com/symbols/KRX-358570/
지씨셀 *,23450.0,+1.30%,53424.0,1247.0,40967.0,144510,https://kr.tradingview.com/symbols/KRX-144510/
네오이뮨텍 *,729.0,+1.11%,1963702.0,1405.0,1793910.0,950220,https://kr.tradingview.com/symbols/KRX-950220/
큐라클 *,8450.0,+1.08%,199141.0,1640.0,220726.0,365270,https://kr.tradingview.com/symbols/KRX-365270/
헬릭스미스 *,5910.0,+1.03%,276805.0,1610.0,233611.0,084990,https://kr.tradingview.com/symbols/KRX-084990/
신라젠 *,3295.0,+0.92%,651457.0,2128.0,677638.0,215600,https://kr.tradingview.com/symbols/KRX-215600/
샤페론 *,1850.0,+0.65%,986703.0,1822.0,4336069.0,378800,https://kr.tradingview.com/symbols/KRX-378800/
안국약품 *,8010.0,+0.50%,36419.0,290.0,24844.0,001540,https://kr.tradingview.com/symbols/KRX-001540/
오스코텍 *,43950.0,+0.23%,430607.0,18601.0,271751.0,039200,https://kr.tradingview.com/symbols/KRX-039200/
유한양행,107900.0,-0.28%,442665.0,47731.0,533177.0,000100,https://kr.tradingview.com/symbols/KRX-000100/
에이비프로바이오 *,188.0,-0.53%,3681336.0,700.0,5069284.0,195990,https://kr.tradingview.com/symbols/KRX-195990/
티움바이오 *,6070.0,-0.65%,158494.0,962.0,120468.0,321550,https://kr.tradingview.com/symbols/KRX-321550/
이수앱지스 *,5440.0,-0.73%,157152.0,850.0,155884.0,086890,https://kr.tradingview.com/symbols/KRX-086890/
에스티큐브 *,7990.0,-0.87%,304252.0,2390.0,340638.0,052020,https://kr.tradingview.com/symbols/KRX-052020/
제넥신 *,4370.0,-1.02%,133005.0,583.0,197557.0,095700,https://kr.tradingview.com/symbols/KRX-095700/
HLB *,52600.0,-1.31%,612413.0,31939.0,548104.0,028300,https://kr.tradingview.com/symbols/KRX-028300/
에임드바이오 *,54900.0,-1.44%,640024.0,35316.0,266196.0,0009K0,https://kr.tradingview.com/symbols/KRX-000090/
셀리드 *,2680.0,-1.65%,210185.0,566.0,188132.0,299660,https://kr.tradingview.com/symbols/KRX-299660/
박셀바이오 *,8950.0,-1.65%,194136.0,1728.0,159249.0,323990,https://kr.tradingview.com/symbols/KRX-323990/
바이젠셀 *,8820.0,-1.89%,674662.0,6020.0,922289.0,308080,https://kr.tradingview.com/symbols/KRX-308080/
CG인바이츠 *,1275.0,-1.92%,230434.0,290.0,133899.0,083790,https://kr.tradingview.com/symbols/KRX-083790/
동아에스티,50900.0,-1.93%,19194.0,980.0,9498.0,170900,https://kr.tradingview.com/symbols/KRX-170900/
압타바이오 *,8380.0,-2.10%,289693.0,2397.0,122897.0,293780,https://kr.tradingview.com/symbols/KRX-293780/
에이프릴바이오 *,49250.0,-2.48%,695577.0,33821.0,346302.0,397030,https://kr.tradingview.com/symbols/KRX-397030/
메드팩토 *,6340.0,-2.91%,355992.0,2236.0,136716.0,235980,https://kr.tradingview.com/symbols/KRX-235980/
유틸렉스 *,830.0,-4.16%,274863.0,228.0,146706.0,263050,https://kr.tradingview.com/symbols/KRX-263050/
