종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
이스트에이드 *,2180.0,+29.76%,5619969.0,11994.0,402563.0,239340,https://kr.tradingview.com/symbols/KRX-239340/
엔비티 *,2195.0,+11.42%,5827719.0,14194.0,46654.0,236810,https://kr.tradingview.com/symbols/KRX-236810/
조이시티 *,2185.0,+0.92%,613212.0,1340.0,682883.0,067000,https://kr.tradingview.com/symbols/KRX-067000/
탑코미디어 *,1884.0,+0.16%,54204.0,101.0,25302.0,134580,https://kr.tradingview.com/symbols/KRX-134580/
와이랩 *,4010.0,-0.25%,20908.0,84.0,34309.0,432430,https://kr.tradingview.com/symbols/KRX-432430/
대원미디어 *,7600.0,-0.65%,30486.0,231.0,35455.0,048910,https://kr.tradingview.com/symbols/KRX-048910/
NAVER,245500.0,-0.81%,1898586.0,465454.0,2397110.0,035420,https://kr.tradingview.com/symbols/KRX-035420/
디앤씨미디어 *,12120.0,-1.14%,21388.0,260.0,20870.0,263720,https://kr.tradingview.com/symbols/KRX-263720/
키다리스튜디오,3205.0,-1.23%,92736.0,295.0,104493.0,020120,https://kr.tradingview.com/symbols/KRX-020120/
미투온 *,3450.0,-1.85%,1103877.0,3943.0,265579.0,201490,https://kr.tradingview.com/symbols/KRX-201490/
미스터블루 *,1254.0,-1.88%,337935.0,428.0,271374.0,207760,https://kr.tradingview.com/symbols/KRX-207760/
카카오,57300.0,-2.05%,2844292.0,163423.0,1963363.0,035720,https://kr.tradingview.com/symbols/KRX-035720/
핑거스토리 *,1783.0,-2.25%,107171.0,192.0,79718.0,417180,https://kr.tradingview.com/symbols/KRX-417180/
NHN,30500.0,-4.09%,47223.0,1463.0,38704.0,181710,https://kr.tradingview.com/symbols/KRX-181710/
수성웹툰 *,2580.0,-4.80%,147570.0,384.0,68155.0,084180,https://kr.tradingview.com/symbols/KRX-084180/
