종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
프롬바이오 *,1544.0,+29.97%,10600699.0,15632.0,203137.0,377220,https://kr.tradingview.com/symbols/KRX-377220/
현대약품,13190.0,+24.91%,26485551.0,341508.0,11549989.0,004310,https://kr.tradingview.com/symbols/KRX-004310/
TS트릴리온 *,595.0,+23.96%,73122703.0,43378.0,15583602.0,317240,https://kr.tradingview.com/symbols/KRX-317240/
명문제약,1925.0,+9.56%,2022780.0,3916.0,137662.0,017180,https://kr.tradingview.com/symbols/KRX-017180/
피플바이오 *,1252.0,+6.55%,363543.0,433.0,142840.0,304840,https://kr.tradingview.com/symbols/KRX-304840/
JW신약 *,2070.0,+6.15%,14287065.0,29970.0,15574151.0,067290,https://kr.tradingview.com/symbols/KRX-067290/
이노진 *,1900.0,+4.05%,573636.0,1074.0,937723.0,344860,https://kr.tradingview.com/symbols/KRX-344860/
안트로젠 *,38900.0,+2.64%,52376.0,1984.0,68831.0,065660,https://kr.tradingview.com/symbols/KRX-065660/
인스코비,691.0,+2.37%,1628197.0,1168.0,547321.0,006490,https://kr.tradingview.com/symbols/KRX-006490/
강스템바이오텍 *,2195.0,+2.33%,1240511.0,2771.0,688036.0,217730,https://kr.tradingview.com/symbols/KRX-217730/
알리코제약 *,4270.0,+1.79%,514833.0,2205.0,732466.0,260660,https://kr.tradingview.com/symbols/KRX-260660/
위더스제약 *,8150.0,+1.62%,2584576.0,21563.0,3986549.0,330350,https://kr.tradingview.com/symbols/KRX-330350/
보령,8700.0,+1.05%,103556.0,896.0,136152.0,003850,https://kr.tradingview.com/symbols/KRX-003850/
올릭스 *,137700.0,+1.03%,515771.0,69638.0,324055.0,226950,https://kr.tradingview.com/symbols/KRX-226950/
제이투케이바이오 *,8190.0,+0.86%,19396.0,158.0,36842.0,420570,https://kr.tradingview.com/symbols/KRX-420570/
바이오니아 *,12150.0,+0.75%,129625.0,1575.0,125339.0,064550,https://kr.tradingview.com/symbols/KRX-064550/
샤페론 *,1850.0,+0.65%,986703.0,1822.0,4336069.0,378800,https://kr.tradingview.com/symbols/KRX-378800/
현대바이오랜드 *,4185.0,0.00%,75538.0,316.0,69132.0,052260,https://kr.tradingview.com/symbols/KRX-052260/
신신제약 *,5770.0,-0.35%,224795.0,1307.0,164905.0,002800,https://kr.tradingview.com/symbols/KRX-002800/
대웅제약,164200.0,-0.36%,36086.0,5909.0,36983.0,069620,https://kr.tradingview.com/symbols/KRX-069620/
인산가 *,1156.0,-0.52%,134935.0,156.0,130839.0,277410,https://kr.tradingview.com/symbols/KRX-277410/
인벤티지랩 *,80600.0,-0.86%,118949.0,9566.0,76310.0,389470,https://kr.tradingview.com/symbols/KRX-389470/
메타케어,297.0,-1.33%,436634.0,129.0,668346.0,118000,https://kr.tradingview.com/symbols/KRX-118000/
메타랩스,1718.0,-14.10%,2605402.0,4767.0,4786632.0,090370,https://kr.tradingview.com/symbols/KRX-090370/
