종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
포스코DX,42000.0,+8.67%,11914240.0,497684.0,17269595.0,022100,https://kr.tradingview.com/symbols/KRX-022100/
JW중외제약,28300.0,+5.79%,159575.0,4393.0,225531.0,001060,https://kr.tradingview.com/symbols/KRX-001060/
옵투스제약 *,7190.0,+4.66%,189983.0,1351.0,58898.0,131030,https://kr.tradingview.com/symbols/KRX-131030/
국제약품,4235.0,+3.29%,154392.0,649.0,109750.0,002720,https://kr.tradingview.com/symbols/KRX-002720/
나노 *,3345.0,+2.14%,418731.0,1413.0,539043.0,187790,https://kr.tradingview.com/symbols/KRX-187790/
크린앤사이언스 *,3300.0,+1.23%,14744.0,49.0,18617.0,045520,https://kr.tradingview.com/symbols/KRX-045520/
보령,8700.0,+1.05%,103556.0,896.0,136152.0,003850,https://kr.tradingview.com/symbols/KRX-003850/
롯데하이마트,7300.0,+0.83%,15545.0,113.0,13079.0,071840,https://kr.tradingview.com/symbols/KRX-071840/
위닉스 *,5020.0,+0.70%,31565.0,159.0,24427.0,044340,https://kr.tradingview.com/symbols/KRX-044340/
안국약품 *,8010.0,+0.50%,36419.0,290.0,24844.0,001540,https://kr.tradingview.com/symbols/KRX-001540/
누리플랜 *,2685.0,+0.37%,173378.0,456.0,91893.0,069140,https://kr.tradingview.com/symbols/KRX-069140/
삼일제약,9370.0,+0.21%,113316.0,1059.0,129322.0,000520,https://kr.tradingview.com/symbols/KRX-000520/
파세코 *,7400.0,0.00%,38036.0,281.0,16927.0,037070,https://kr.tradingview.com/symbols/KRX-037070/
모나리자,2025.0,0.00%,105692.0,214.0,176567.0,012690,https://kr.tradingview.com/symbols/KRX-012690/
하츠 *,4275.0,-0.12%,15866.0,68.0,27544.0,066130,https://kr.tradingview.com/symbols/KRX-066130/
케이웨더 *,3190.0,-0.31%,41109.0,130.0,45164.0,068100,https://kr.tradingview.com/symbols/KRX-068100/
케스피온 *,500.0,-0.60%,85390.0,43.0,101053.0,079190,https://kr.tradingview.com/symbols/KRX-079190/
웰크론 *,1588.0,-0.81%,67748.0,108.0,65508.0,065950,https://kr.tradingview.com/symbols/KRX-065950/
상아프론테크 *,15100.0,-0.98%,31963.0,481.0,22874.0,089980,https://kr.tradingview.com/symbols/KRX-089980/
씨앤투스 *,2205.0,-1.56%,19494.0,44.0,42628.0,352700,https://kr.tradingview.com/symbols/KRX-352700/
케이엠 *,3470.0,-1.70%,9907.0,35.0,22100.0,083550,https://kr.tradingview.com/symbols/KRX-083550/
성창오토텍 *,4480.0,-1.75%,62054.0,278.0,156549.0,080470,https://kr.tradingview.com/symbols/KRX-080470/
코웨이,76100.0,-1.93%,570906.0,43884.0,589439.0,021240,https://kr.tradingview.com/symbols/KRX-021240/
휴비츠 *,8250.0,-2.71%,56146.0,464.0,67739.0,065510,https://kr.tradingview.com/symbols/KRX-065510/
에코프로에이치엔 *,23050.0,-2.74%,91632.0,2125.0,80405.0,383310,https://kr.tradingview.com/symbols/KRX-383310/
