종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
엑시온그룹 *,747.0,+11.99%,629870.0,446.0,211184.0,069920,https://kr.tradingview.com/symbols/KRX-069920/
한화갤러리아,2235.0,+6.18%,161607681.0,375688.0,64435259.0,452260,https://kr.tradingview.com/symbols/KRX-452260/
BGF리테일,115200.0,+5.01%,123203.0,14035.0,61866.0,282330,https://kr.tradingview.com/symbols/KRX-282330/
롯데쇼핑,74900.0,+2.18%,97952.0,7367.0,62969.0,023530,https://kr.tradingview.com/symbols/KRX-023530/
신세계,285500.0,+1.96%,67682.0,19402.0,64328.0,004170,https://kr.tradingview.com/symbols/KRX-004170/
현대백화점,96100.0,+1.59%,133471.0,12921.0,110906.0,069960,https://kr.tradingview.com/symbols/KRX-069960/
이마트,83500.0,+1.09%,221250.0,18551.0,182648.0,139480,https://kr.tradingview.com/symbols/KRX-139480/
GS리테일,21100.0,+0.96%,139977.0,2957.0,167244.0,007070,https://kr.tradingview.com/symbols/KRX-007070/
롯데하이마트,7300.0,+0.83%,15545.0,113.0,13079.0,071840,https://kr.tradingview.com/symbols/KRX-071840/
호텔신라,46500.0,+0.54%,218232.0,10174.0,142375.0,008770,https://kr.tradingview.com/symbols/KRX-008770/
현대홈쇼핑,52700.0,+0.38%,9747.0,513.0,9611.0,057050,https://kr.tradingview.com/symbols/KRX-057050/
지어소프트 *,7690.0,+0.13%,64464.0,495.0,59656.0,051160,https://kr.tradingview.com/symbols/KRX-051160/
그래디언트 *,10670.0,+0.09%,15815.0,170.0,18784.0,035080,https://kr.tradingview.com/symbols/KRX-035080/
대구백화점,5050.0,-0.20%,15510.0,78.0,20412.0,006370,https://kr.tradingview.com/symbols/KRX-006370/
광주신세계,30800.0,-0.48%,8921.0,276.0,6475.0,037710,https://kr.tradingview.com/symbols/KRX-037710/
오아 *,7570.0,-1.05%,18176.0,138.0,36037.0,342870,https://kr.tradingview.com/symbols/KRX-342870/
CJ ENM *,62500.0,-1.26%,79925.0,5020.0,62028.0,035760,https://kr.tradingview.com/symbols/KRX-035760/
청담글로벌 *,5540.0,-1.95%,158074.0,882.0,285373.0,362320,https://kr.tradingview.com/symbols/KRX-362320/
스튜디오삼익 *,2170.0,-2.69%,42094.0,92.0,34975.0,415380,https://kr.tradingview.com/symbols/KRX-415380/
세이브존I&C,2850.0,-3.06%,386792.0,1115.0,324195.0,067830,https://kr.tradingview.com/symbols/KRX-067830/
