종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
한국금융지주,182700.0,+3.22%,300245.0,54436.0,329379.0,071050,https://kr.tradingview.com/symbols/KRX-071050/
SK증권,683.0,+2.40%,4920713.0,3356.0,2401746.0,001510,https://kr.tradingview.com/symbols/KRX-001510/
교보증권,9860.0,+2.07%,242251.0,2401.0,98150.0,030610,https://kr.tradingview.com/symbols/KRX-030610/
신영증권,153800.0,+1.92%,40288.0,6186.0,58272.0,001720,https://kr.tradingview.com/symbols/KRX-001720/
NH투자증권,22650.0,+1.80%,979010.0,22142.0,1583668.0,005940,https://kr.tradingview.com/symbols/KRX-005940/
현대차증권,8440.0,+1.69%,208037.0,1756.0,279546.0,001500,https://kr.tradingview.com/symbols/KRX-001500/
유안타증권,3940.0,+1.55%,688283.0,2691.0,564123.0,003470,https://kr.tradingview.com/symbols/KRX-003470/
삼성증권,83600.0,+1.46%,576944.0,48106.0,506133.0,016360,https://kr.tradingview.com/symbols/KRX-016360/
미래에셋증권,31200.0,+1.46%,5830979.0,182347.0,7091463.0,006800,https://kr.tradingview.com/symbols/KRX-006800/
다올투자증권,3500.0,+1.45%,85275.0,297.0,111833.0,030210,https://kr.tradingview.com/symbols/KRX-030210/
부국증권,63800.0,+1.27%,23592.0,1490.0,39996.0,001270,https://kr.tradingview.com/symbols/KRX-001270/
키움증권,330000.0,+1.23%,137270.0,44938.0,143092.0,039490,https://kr.tradingview.com/symbols/KRX-039490/
대신증권,27250.0,+0.55%,189385.0,5180.0,235362.0,003540,https://kr.tradingview.com/symbols/KRX-003540/
유진투자증권,3605.0,+0.42%,707458.0,2553.0,842473.0,001200,https://kr.tradingview.com/symbols/KRX-001200/
유화증권,2725.0,+0.37%,38267.0,103.0,32489.0,003460,https://kr.tradingview.com/symbols/KRX-003460/
코리아에셋투자증권 *,7170.0,+0.14%,12051.0,86.0,12964.0,190650,https://kr.tradingview.com/symbols/KRX-190650/
LS증권 *,4925.0,+0.10%,100035.0,496.0,129508.0,078020,https://kr.tradingview.com/symbols/KRX-078020/
DB증권,11470.0,0.00%,128984.0,1493.0,134527.0,016610,https://kr.tradingview.com/symbols/KRX-016610/
한양증권,18490.0,0.00%,43802.0,808.0,25863.0,001750,https://kr.tradingview.com/symbols/KRX-001750/
상상인증권,640.0,0.00%,190540.0,123.0,406065.0,001290,https://kr.tradingview.com/symbols/KRX-001290/
한화투자증권,4970.0,-3.31%,2514371.0,12686.0,3908171.0,003530,https://kr.tradingview.com/symbols/KRX-003530/
