종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
현대바이오 *,5890.0,+10.51%,3469715.0,20106.0,761487.0,048410,https://kr.tradingview.com/symbols/KRX-048410/
제이에스링크 *,19890.0,+8.99%,465486.0,9113.0,107593.0,127120,https://kr.tradingview.com/symbols/KRX-127120/
바이오스마트 *,4320.0,+8.14%,4122988.0,17230.0,748347.0,038460,https://kr.tradingview.com/symbols/KRX-038460/
JW중외제약,28300.0,+5.79%,159575.0,4393.0,225531.0,001060,https://kr.tradingview.com/symbols/KRX-001060/
인바이오젠,12860.0,+5.41%,43086.0,566.0,30983.0,101140,https://kr.tradingview.com/symbols/KRX-101140/
나노엔텍 *,5500.0,+4.96%,2307430.0,12691.0,1304210.0,039860,https://kr.tradingview.com/symbols/KRX-039860/
SV인베스트먼트 *,2075.0,+4.80%,2148064.0,4507.0,685081.0,289080,https://kr.tradingview.com/symbols/KRX-289080/
차백신연구소 *,2785.0,+3.53%,107264.0,292.0,34102.0,261780,https://kr.tradingview.com/symbols/KRX-261780/
드림텍,7200.0,+3.30%,573485.0,4124.0,193126.0,192650,https://kr.tradingview.com/symbols/KRX-192650/
앱클론 *,57600.0,+3.23%,509290.0,28584.0,598297.0,174900,https://kr.tradingview.com/symbols/KRX-174900/
케어젠 *,73700.0,+3.08%,135426.0,9848.0,153416.0,214370,https://kr.tradingview.com/symbols/KRX-214370/
비씨월드제약 *,4815.0,+2.88%,9161.0,44.0,18203.0,200780,https://kr.tradingview.com/symbols/KRX-200780/
리가켐바이오 *,166800.0,+2.33%,601679.0,98496.0,210383.0,141080,https://kr.tradingview.com/symbols/KRX-141080/
강스템바이오텍 *,2195.0,+2.33%,1240511.0,2771.0,688036.0,217730,https://kr.tradingview.com/symbols/KRX-217730/
한국파마 *,12630.0,+2.27%,21116.0,264.0,23858.0,032300,https://kr.tradingview.com/symbols/KRX-032300/
프리시젼바이오 *,2720.0,+1.87%,145742.0,410.0,16411.0,335810,https://kr.tradingview.com/symbols/KRX-335810/
케이바이오 *,228.0,+1.33%,348123.0,79.0,445020.0,038530,https://kr.tradingview.com/symbols/KRX-038530/
퀀타매트릭스 *,4540.0,+1.00%,152671.0,681.0,101413.0,317690,https://kr.tradingview.com/symbols/KRX-317690/
HLB제넥스 *,2725.0,+0.93%,62877.0,169.0,41793.0,187420,https://kr.tradingview.com/symbols/KRX-187420/
일동제약,39000.0,+0.78%,1043898.0,39941.0,438368.0,249420,https://kr.tradingview.com/symbols/KRX-249420/
바이오니아 *,12150.0,+0.75%,129625.0,1575.0,125339.0,064550,https://kr.tradingview.com/symbols/KRX-064550/
펩트론 *,233000.0,+0.65%,187501.0,42838.0,171296.0,087010,https://kr.tradingview.com/symbols/KRX-087010/
샤페론 *,1850.0,+0.65%,986703.0,1822.0,4336069.0,378800,https://kr.tradingview.com/symbols/KRX-378800/
종근당,83300.0,+0.60%,41712.0,3466.0,43513.0,185750,https://kr.tradingview.com/symbols/KRX-185750/
엔젠바이오 *,1399.0,+0.58%,71622.0,99.0,62299.0,354200,https://kr.tradingview.com/symbols/KRX-354200/
진원생명과학,1770.0,+0.57%,447801.0,786.0,323377.0,011000,https://kr.tradingview.com/symbols/KRX-011000/
코미팜 *,7500.0,+0.40%,258520.0,1936.0,273466.0,041960,https://kr.tradingview.com/symbols/KRX-041960/
시너지이노베이션 *,2290.0,+0.22%,260191.0,595.0,348712.0,048870,https://kr.tradingview.com/symbols/KRX-048870/
제일약품,14920.0,+0.20%,49613.0,732.0,16241.0,271980,https://kr.tradingview.com/symbols/KRX-271980/
수젠텍 *,5830.0,+0.17%,104487.0,607.0,79643.0,253840,https://kr.tradingview.com/symbols/KRX-253840/
CJ 바이오사이언스 *,8550.0,+0.12%,19600.0,166.0,9038.0,311690,https://kr.tradingview.com/symbols/KRX-311690/
나노실리칸첨단소재 *,1656.0,0.00%,103575.0,170.0,68562.0,286750,https://kr.tradingview.com/symbols/KRX-286750/
휴마시스 *,981.0,-0.10%,590032.0,582.0,440557.0,205470,https://kr.tradingview.com/symbols/KRX-205470/
