종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
삼표시멘트 *,5290.0,+11.96%,18716144.0,98889.0,2753988.0,038500,https://kr.tradingview.com/symbols/KRX-038500/
모헨즈 *,3215.0,+3.04%,68437.0,216.0,68850.0,006920,https://kr.tradingview.com/symbols/KRX-006920/
유진기업 *,3585.0,+1.27%,205757.0,736.0,311196.0,023410,https://kr.tradingview.com/symbols/KRX-023410/
부산산업,77100.0,+0.26%,2916.0,223.0,4723.0,011390,https://kr.tradingview.com/symbols/KRX-011390/
쎄니트 *,1798.0,+0.22%,13667.0,24.0,25590.0,037760,https://kr.tradingview.com/symbols/KRX-037760/
서산 *,1370.0,+0.07%,3795.0,5.0,8902.0,079650,https://kr.tradingview.com/symbols/KRX-079650/
아세아시멘트,11880.0,-0.08%,43487.0,511.0,64582.0,183190,https://kr.tradingview.com/symbols/KRX-183190/
HC홈센타 *,709.0,-0.28%,64458.0,45.0,135444.0,060560,https://kr.tradingview.com/symbols/KRX-060560/
강동씨앤엘 *,1062.0,-0.56%,16475.0,18.0,28490.0,198440,https://kr.tradingview.com/symbols/KRX-198440/
HC보광산업 *,2745.0,-0.90%,37335.0,102.0,24125.0,225530,https://kr.tradingview.com/symbols/KRX-225530/
동양,831.0,-1.07%,2855747.0,2415.0,1378266.0,001520,https://kr.tradingview.com/symbols/KRX-001520/
성신양회,9470.0,-1.35%,70533.0,663.0,42943.0,004980,https://kr.tradingview.com/symbols/KRX-004980/
유니온,4305.0,-1.71%,222709.0,968.0,268089.0,000910,https://kr.tradingview.com/symbols/KRX-000910/
한일시멘트,16800.0,-1.87%,130823.0,2211.0,92157.0,300720,https://kr.tradingview.com/symbols/KRX-300720/
SG *,2305.0,-2.33%,1736340.0,3996.0,1090777.0,255220,https://kr.tradingview.com/symbols/KRX-255220/
