종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
포바이포 *,8670.0,+29.99%,2951258.0,24071.0,130319.0,389140,https://kr.tradingview.com/symbols/KRX-389140/
엑스페릭스 *,2830.0,+9.69%,1462562.0,4064.0,171264.0,317770,https://kr.tradingview.com/symbols/KRX-317770/
DSC인베스트먼트 *,7630.0,+6.42%,4370169.0,34033.0,394286.0,241520,https://kr.tradingview.com/symbols/KRX-241520/
유라클 *,14830.0,+6.31%,1046723.0,16313.0,344959.0,088340,https://kr.tradingview.com/symbols/KRX-088340/
팬스타엔터프라이즈 *,725.0,+6.15%,1793405.0,1275.0,614830.0,054300,https://kr.tradingview.com/symbols/KRX-054300/
나우IB *,1558.0,+4.56%,3322609.0,5104.0,612445.0,293580,https://kr.tradingview.com/symbols/KRX-293580/
TS인베스트먼트 *,1276.0,+1.43%,526374.0,686.0,235916.0,246690,https://kr.tradingview.com/symbols/KRX-246690/
와이즈넛 *,10340.0,+1.17%,113227.0,1165.0,107047.0,096250,https://kr.tradingview.com/symbols/KRX-096250/
LB인베스트먼트 *,5210.0,+0.77%,78430.0,411.0,32162.0,309960,https://kr.tradingview.com/symbols/KRX-309960/
토마토시스템 *,5190.0,+0.19%,272540.0,1440.0,99780.0,393210,https://kr.tradingview.com/symbols/KRX-393210/
아이티센글로벌 *,32200.0,-4.59%,531012.0,17497.0,320430.0,124500,https://kr.tradingview.com/symbols/KRX-124500/
