종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
팜스코,2630.0,+11.68%,354435.0,921.0,10789.0,036580,https://kr.tradingview.com/symbols/KRX-036580/
DSC인베스트먼트 *,7630.0,+6.42%,4370169.0,34033.0,394286.0,241520,https://kr.tradingview.com/symbols/KRX-241520/
미래에셋벤처투자 *,12810.0,+3.81%,1734990.0,22267.0,893654.0,100790,https://kr.tradingview.com/symbols/KRX-100790/
케이씨피드 *,2675.0,+0.94%,36914.0,98.0,19023.0,025880,https://kr.tradingview.com/symbols/KRX-025880/
SK네트웍스,4460.0,+0.79%,749140.0,3373.0,329594.0,001740,https://kr.tradingview.com/symbols/KRX-001740/
지어소프트 *,7690.0,+0.13%,64464.0,495.0,59656.0,051160,https://kr.tradingview.com/symbols/KRX-051160/
이씨에스 *,2330.0,0.00%,12001.0,28.0,11632.0,067010,https://kr.tradingview.com/symbols/KRX-067010/
우양 *,3005.0,-0.33%,125617.0,379.0,233605.0,103840,https://kr.tradingview.com/symbols/KRX-103840/
흥국에프엔비 *,1543.0,-0.90%,90431.0,140.0,42591.0,189980,https://kr.tradingview.com/symbols/KRX-189980/
태경케미컬,7400.0,-2.37%,34316.0,256.0,22636.0,006890,https://kr.tradingview.com/symbols/KRX-006890/
