종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
캠시스 *,672.0,+29.98%,46317474.0,28598.0,16302314.0,050110,https://kr.tradingview.com/symbols/KRX-050110/,2026.01.16,0,-95784
유진로봇 *,32850.0,+28.57%,6745914.0,204356.0,11043934.0,056080,https://kr.tradingview.com/symbols/KRX-056080/,2026.01.16,207586,474073
에이테크솔루션 *,13620.0,+18.95%,1093216.0,13797.0,374277.0,071670,https://kr.tradingview.com/symbols/KRX-071670/,2026.01.16,1,-10334
현대차,480000.0,+16.22%,5990850.0,2768643.0,2589883.0,005380,https://kr.tradingview.com/symbols/KRX-005380/,2026.01.16,-118949,-407398
기아,169500.0,+12.18%,4035319.0,660229.0,2624747.0,000270,https://kr.tradingview.com/symbols/KRX-000270/,2026.01.16,-80826,84871
삼보모터스 *,9230.0,+11.61%,8349483.0,78735.0,4941296.0,053700,https://kr.tradingview.com/symbols/KRX-053700/,2026.01.16,-254819,-53547
앤씨앤 *,570.0,+10.89%,126183.0,68.0,96460.0,092600,https://kr.tradingview.com/symbols/KRX-092600/,2026.01.16,0,5123
한라캐스트 *,20850.0,+9.68%,7312199.0,151327.0,2364244.0,125490,https://kr.tradingview.com/symbols/KRX-125490/,2026.01.16,33411,-151092
MDS테크 *,1507.0,+9.44%,11235906.0,16677.0,4197505.0,086960,https://kr.tradingview.com/symbols/KRX-086960/,2026.01.16,-91567,97205
LG전자,106900.0,+8.64%,3808484.0,396515.0,4653041.0,066570,https://kr.tradingview.com/symbols/KRX-066570/,2026.01.16,119455,641724
텔레칩스 *,16050.0,+7.72%,1280204.0,20635.0,232970.0,054450,https://kr.tradingview.com/symbols/KRX-054450/,2026.01.16,-1,-48428
에이스테크 *,2995.0,+7.35%,706414.0,2138.0,151531.0,088800,https://kr.tradingview.com/symbols/KRX-088800/,2026.01.16,-1599,9786
옵트론텍 *,1849.0,+7.25%,289993.0,526.0,138850.0,082210,https://kr.tradingview.com/symbols/KRX-082210/,2026.01.16,0,-15170
SK텔레콤,59200.0,+7.05%,2894847.0,167052.0,885656.0,017670,https://kr.tradingview.com/symbols/KRX-017670/,2026.01.16,103571,173000
넥스트칩 *,3590.0,+6.69%,1127982.0,3964.0,1315721.0,396270,https://kr.tradingview.com/symbols/KRX-396270/,2026.01.16,-5103,-387096
현대모비스,457500.0,+6.15%,761480.0,343186.0,648235.0,012330,https://kr.tradingview.com/symbols/KRX-012330/,2026.01.16,20861,-131403
오비고 *,6550.0,+5.14%,182529.0,1163.0,108474.0,352910,https://kr.tradingview.com/symbols/KRX-352910/,2026.01.16,-2167,-8607
HL만도,67400.0,+4.98%,2948221.0,196752.0,4165500.0,204320,https://kr.tradingview.com/symbols/KRX-204320/,2026.01.16,91815,48281
엠씨넥스,31550.0,+4.64%,169049.0,5278.0,71316.0,097520,https://kr.tradingview.com/symbols/KRX-097520/,2026.01.16,198,23676
라닉스 *,2275.0,+3.41%,371745.0,840.0,193438.0,317120,https://kr.tradingview.com/symbols/KRX-317120/,2026.01.16,0,3714
퓨런티어 *,15550.0,+3.25%,222599.0,3422.0,257312.0,370090,https://kr.tradingview.com/symbols/KRX-370090/,2026.01.16,0,-45773
삼현 *,73200.0,+3.24%,801986.0,57828.0,2287740.0,437730,https://kr.tradingview.com/symbols/KRX-437730/,2026.01.16,-17320,251299
하이비젼시스템 *,16340.0,+2.90%,120483.0,1955.0,86271.0,126700,https://kr.tradingview.com/symbols/KRX-126700/,2026.01.16,-467,9600
슈어소프트테크 *,8510.0,+2.90%,3197891.0,27385.0,2799303.0,298830,https://kr.tradingview.com/symbols/KRX-298830/,2026.01.16,-77022,-339062
모바일어플라이언스 *,2040.0,+2.72%,550983.0,1113.0,807368.0,087260,https://kr.tradingview.com/symbols/KRX-087260/,2026.01.16,0,-42636
유니트론텍 *,7160.0,+2.58%,888657.0,6346.0,1115813.0,142210,https://kr.tradingview.com/symbols/KRX-142210/,2026.01.16,-1500,-106914
현대오토에버,488500.0,+2.52%,563006.0,276462.0,350661.0,307950,https://kr.tradingview.com/symbols/KRX-307950/,2026.01.16,-8812,-9119
드림텍,7380.0,+2.50%,928567.0,6843.0,575813.0,192650,https://kr.tradingview.com/symbols/KRX-192650/,2026.01.16,-2036,178695
디와이,5160.0,+1.98%,187802.0,970.0,181768.0,013570,https://kr.tradingview.com/symbols/KRX-013570/,2026.01.16,-55,-9038
유니퀘스트,6350.0,+1.44%,155900.0,992.0,175860.0,077500,https://kr.tradingview.com/symbols/KRX-077500/,2026.01.16,2330,-16183
켐트로닉스 *,31900.0,+1.43%,332269.0,10574.0,485179.0,089010,https://kr.tradingview.com/symbols/KRX-089010/,2026.01.16,-2907,6456
모트렉스 *,9940.0,+1.43%,500674.0,4982.0,698858.0,118990,https://kr.tradingview.com/symbols/KRX-118990/,2026.01.16,575,7355
라이콤 *,2615.0,+1.16%,169561.0,442.0,140866.0,388790,https://kr.tradingview.com/symbols/KRX-388790/,2026.01.16,0,-16021
SK하이닉스,764000.0,+1.06%,3385008.0,2583572.0,3712326.0,000660,https://kr.tradingview.com/symbols/KRX-000660/,2026.01.16,278399,-145995
세코닉스 *,6240.0,+0.97%,275383.0,1693.0,320748.0,053450,https://kr.tradingview.com/symbols/KRX-053450/,2026.01.16,0,15509
삼성전기,292000.0,+0.86%,450970.0,130882.0,609718.0,009150,https://kr.tradingview.com/symbols/KRX-009150/,2026.01.16,-54911,34908
KG모빌리티,3530.0,+0.86%,700911.0,2466.0,1256170.0,003620,https://kr.tradingview.com/symbols/KRX-003620/,2026.01.16,-5276,-15281
한국단자,75200.0,+0.53%,55402.0,4149.0,86483.0,025540,https://kr.tradingview.com/symbols/KRX-025540/,2026.01.16,-2704,2744
인포뱅크 *,6090.0,+0.50%,28992.0,174.0,12340.0,039290,https://kr.tradingview.com/symbols/KRX-039290/,2026.01.16,3,1476
칩스앤미디어 *,17990.0,+0.45%,207263.0,3730.0,355235.0,094360,https://kr.tradingview.com/symbols/KRX-094360/,2026.01.16,-170,1758
팸텍 *,1702.0,+0.29%,215762.0,365.0,206987.0,271830,https://kr.tradingview.com/symbols/KRX-271830/,2026.01.16,-149,-7407
삼성전자,149300.0,+0.27%,22645528.0,3364080.0,30000219.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,2026.01.16,1267814,811557
코리아에프티 *,8240.0,+0.24%,515188.0,4256.0,1722778.0,123410,https://kr.tradingview.com/symbols/KRX-123410/,2026.01.16,-113715,-52333
아우토크립트 *,17230.0,+0.17%,164573.0,2853.0,238238.0,331740,https://kr.tradingview.com/symbols/KRX-331740/,2026.01.16,-1510,-33646
아이에이 *,152.0,0.00%,1547274.0,233.0,1651788.0,038880,https://kr.tradingview.com/symbols/KRX-038880/,2026.01.16,0,-260558
LG이노텍,285500.0,-0.17%,155654.0,44433.0,165825.0,011070,https://kr.tradingview.com/symbols/KRX-011070/,2026.01.16,13319,24560
퀄리타스반도체 *,13320.0,-0.37%,123672.0,1647.0,169450.0,432720,https://kr.tradingview.com/symbols/KRX-432720/,2026.01.16,500,-11891
포니링크 *,811.0,-0.49%,263922.0,213.0,258376.0,064800,https://kr.tradingview.com/symbols/KRX-064800/,2026.01.16,172,-28702
KT,53600.0,-0.56%,438165.0,23602.0,464089.0,030200,https://kr.tradingview.com/symbols/KRX-030200/,2026.01.16,86348,57523
DH오토웨어 *,1300.0,-0.91%,1777739.0,2417.0,1328223.0,025440,https://kr.tradingview.com/symbols/KRX-025440/,2026.01.16,0,498
파인디지털 *,2975.0,-1.33%,11091.0,33.0,5773.0,038950,https://kr.tradingview.com/symbols/KRX-038950/,2026.01.16,153,3
다산디엠씨 *,1418.0,-2.07%,141054.0,203.0,135916.0,208860,https://kr.tradingview.com/symbols/KRX-208860/,2026.01.16,0,29934
스마트레이더시스템 *,8310.0,-2.12%,255141.0,2129.0,306461.0,424960,https://kr.tradingview.com/symbols/KRX-424960/,2026.01.16,0,-73418
팅크웨어 *,9310.0,-2.41%,133479.0,1233.0,186744.0,084730,https://kr.tradingview.com/symbols/KRX-084730/,2026.01.16,-4900,-22722
엣지파운드리 *,1313.0,-3.03%,537269.0,706.0,760144.0,105550,https://kr.tradingview.com/symbols/KRX-105550/,2026.01.16,0,-198301
아이쓰리시스템 *,82700.0,-3.05%,112754.0,9398.0,129310.0,214430,https://kr.tradingview.com/symbols/KRX-214430/,2026.01.16,4213,-3344
NAVER,238000.0,-3.05%,1689244.0,403773.0,1898586.0,035420,https://kr.tradingview.com/symbols/KRX-035420/,2026.01.16,-299268,-87106
에스오에스랩 *,21050.0,-5.18%,2717658.0,56617.0,1906160.0,464080,https://kr.tradingview.com/symbols/KRX-464080/,2026.01.16,25832,-114174
