종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
세아메카닉스 *,3100.0,+19.46%,4105035.0,12525.0,535345.0,396300,https://kr.tradingview.com/symbols/KRX-396300/,2026.01.16,0,-62159
파워로직스 *,5870.0,+16.47%,12553080.0,73077.0,4067453.0,047310,https://kr.tradingview.com/symbols/KRX-047310/,2026.01.16,186,-45805
현대차,480000.0,+16.22%,5990850.0,2768643.0,2589883.0,005380,https://kr.tradingview.com/symbols/KRX-005380/,2026.01.16,-118949,-407398
피에스텍 *,16130.0,+15.79%,2355092.0,35407.0,3369773.0,002230,https://kr.tradingview.com/symbols/KRX-002230/,2026.01.16,-2719,98791
네오오토 *,12480.0,+15.56%,1437469.0,18010.0,571253.0,212560,https://kr.tradingview.com/symbols/KRX-212560/,2026.01.16,146,5318
기아,169500.0,+12.18%,4035319.0,660229.0,2624747.0,000270,https://kr.tradingview.com/symbols/KRX-000270/,2026.01.16,-80826,84871
삼보모터스 *,9230.0,+11.61%,8349483.0,78735.0,4941296.0,053700,https://kr.tradingview.com/symbols/KRX-053700/,2026.01.16,-254819,-53547
상신이디피 *,13850.0,+10.10%,228394.0,3021.0,149065.0,091580,https://kr.tradingview.com/symbols/KRX-091580/,2026.01.16,-62116,39813
하이젠알앤엠 *,65600.0,+9.88%,1287538.0,84129.0,672321.0,160190,https://kr.tradingview.com/symbols/KRX-160190/,2026.01.16,81994,38670
삼기 *,1990.0,+9.10%,22630253.0,46797.0,4865233.0,122350,https://kr.tradingview.com/symbols/KRX-122350/,2026.01.16,0,-41757
삼성SDI,314000.0,+8.65%,1430872.0,437444.0,447796.0,006400,https://kr.tradingview.com/symbols/KRX-006400/,2026.01.16,-22352,30018
LG전자,106900.0,+8.64%,3808484.0,396515.0,4653041.0,066570,https://kr.tradingview.com/symbols/KRX-066570/,2026.01.16,119455,641724
디아이씨,12890.0,+7.60%,3038449.0,38385.0,2026037.0,092200,https://kr.tradingview.com/symbols/KRX-092200/,2026.01.16,2940,-74978
씨티알모빌리티,9090.0,+7.57%,108966.0,976.0,237047.0,308170,https://kr.tradingview.com/symbols/KRX-308170/,2026.01.16,3,-1520
우수AMS *,3760.0,+7.43%,11795473.0,46031.0,2439121.0,066590,https://kr.tradingview.com/symbols/KRX-066590/,2026.01.16,17240,-9050
씨아이에스 *,7100.0,+7.41%,1252963.0,8672.0,457716.0,222080,https://kr.tradingview.com/symbols/KRX-222080/,2026.01.16,-50824,-164060
폴라리스세원 *,1310.0,+6.76%,15704338.0,21267.0,2563448.0,234100,https://kr.tradingview.com/symbols/KRX-234100/,2026.01.16,14645,66924
나노팀 *,7150.0,+6.72%,924764.0,6615.0,216261.0,417010,https://kr.tradingview.com/symbols/KRX-417010/,2026.01.16,0,29991
포스코스틸리온,41350.0,+6.30%,107404.0,4388.0,59550.0,058430,https://kr.tradingview.com/symbols/KRX-058430/,2026.01.16,-410,10484
현대모비스,457500.0,+6.15%,761480.0,343186.0,648235.0,012330,https://kr.tradingview.com/symbols/KRX-012330/,2026.01.16,20861,-131403
LS머트리얼즈 *,13520.0,+5.87%,1385098.0,18369.0,431467.0,417200,https://kr.tradingview.com/symbols/KRX-417200/,2026.01.16,-26688,-64995
엘앤에프,115000.0,+5.80%,576307.0,64330.0,561154.0,066970,https://kr.tradingview.com/symbols/KRX-066970/,2026.01.16,-91625,-82096
이닉스 *,10800.0,+5.57%,72659.0,769.0,50961.0,452400,https://kr.tradingview.com/symbols/KRX-452400/,2026.01.16,0,-5998
