종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
휴림로봇 *,16650.0,+29.98%,49455441.0,764770.0,54047560.0,090710,https://kr.tradingview.com/symbols/KRX-090710/,2026.01.16,31884,71112
푸른기술 *,12370.0,+29.94%,2323590.0,26446.0,635743.0,094940,https://kr.tradingview.com/symbols/KRX-094940/,2026.01.16,-1,-326
러셀 *,4235.0,+29.91%,9268857.0,37390.0,16180711.0,217500,https://kr.tradingview.com/symbols/KRX-217500/,2026.01.16,0,-96180
뉴로메카 *,93400.0,+29.90%,1170338.0,104006.0,4622870.0,348340,https://kr.tradingview.com/symbols/KRX-348340/,2026.01.16,110698,-64574
협진 *,2185.0,+29.83%,8099147.0,16769.0,4250100.0,138360,https://kr.tradingview.com/symbols/KRX-138360/,2026.01.16,0,6524
에스비비테크 *,68100.0,+24.27%,2358130.0,156415.0,1310572.0,389500,https://kr.tradingview.com/symbols/KRX-389500/,2026.01.16,3416,-12939
에스피지 *,112600.0,+21.86%,4786779.0,508331.0,1445369.0,058610,https://kr.tradingview.com/symbols/KRX-058610/,2026.01.16,41725,-174907
현대무벡스 *,34950.0,+20.52%,9930986.0,326997.0,6234544.0,319400,https://kr.tradingview.com/symbols/KRX-319400/,2026.01.16,143084,-191671
나우로보틱스 *,34600.0,+20.14%,3292188.0,107587.0,3591519.0,459510,https://kr.tradingview.com/symbols/KRX-459510/,2026.01.16,23339,286555
티로보틱스 *,26500.0,+19.91%,3997853.0,105299.0,2525420.0,117730,https://kr.tradingview.com/symbols/KRX-117730/,2026.01.16,12231,184697
두산로보틱스,107700.0,+19.14%,5667656.0,602664.0,1627051.0,454910,https://kr.tradingview.com/symbols/KRX-454910/,2026.01.16,144301,55252
케이피에프 *,6410.0,+14.46%,2462803.0,14855.0,241291.0,024880,https://kr.tradingview.com/symbols/KRX-024880/,2026.01.16,89,8541
클로봇 *,75700.0,+12.99%,5073964.0,374844.0,7010303.0,466100,https://kr.tradingview.com/symbols/KRX-466100/,2026.01.16,37333,258818
LS티라유텍 *,10050.0,+12.79%,2403688.0,23662.0,4313222.0,322180,https://kr.tradingview.com/symbols/KRX-322180/,2026.01.16,-403158,-111495
SJG세종,11410.0,+12.52%,9110900.0,107551.0,1622545.0,033530,https://kr.tradingview.com/symbols/KRX-033530/,2026.01.16,27825,-26403
퍼스텍,4435.0,+12.42%,9803270.0,42999.0,611918.0,010820,https://kr.tradingview.com/symbols/KRX-010820/,2026.01.16,829,13939
TPC *,3740.0,+11.98%,1485567.0,5481.0,800105.0,048770,https://kr.tradingview.com/symbols/KRX-048770/,2026.01.16,0,-35132
스맥 *,6780.0,+11.88%,6152725.0,40320.0,5198294.0,099440,https://kr.tradingview.com/symbols/KRX-099440/,2026.01.16,-35,30591
서암기계공업 *,5670.0,+10.31%,5158666.0,29967.0,484186.0,100660,https://kr.tradingview.com/symbols/KRX-100660/,2026.01.16,1,-13221
