종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
옵티코어 *,4360.0,+29.96%,11973144.0,46562.0,12877635.0,380540,https://kr.tradingview.com/symbols/KRX-380540/,2026.01.16,4434,884644
센서뷰 *,2930.0,+28.79%,11934228.0,32889.0,2839499.0,321370,https://kr.tradingview.com/symbols/KRX-321370/,2026.01.16,0,-329092
빛과전자 *,1729.0,+20.07%,35156285.0,58023.0,8607874.0,069540,https://kr.tradingview.com/symbols/KRX-069540/,2026.01.16,0,114196
나무기술 *,1839.0,+16.03%,7501674.0,13217.0,962341.0,242040,https://kr.tradingview.com/symbols/KRX-242040/,2026.01.16,0,-46580
아이크래프트 *,3150.0,+10.53%,2280009.0,7308.0,244105.0,052460,https://kr.tradingview.com/symbols/KRX-052460/,2026.01.16,0,37659
쏘닉스 *,1889.0,+8.94%,224813.0,418.0,23021.0,088280,https://kr.tradingview.com/symbols/KRX-088280/,2026.01.16,0,-2234
LG전자,106900.0,+8.64%,3808484.0,396515.0,4653041.0,066570,https://kr.tradingview.com/symbols/KRX-066570/,2026.01.16,119455,641724
우리로 *,1405.0,+7.75%,1966938.0,2702.0,589840.0,046970,https://kr.tradingview.com/symbols/KRX-046970/,2026.01.16,0,-66586
에이스테크 *,2995.0,+7.35%,706414.0,2138.0,151531.0,088800,https://kr.tradingview.com/symbols/KRX-088800/,2026.01.16,-1599,9786
SK텔레콤,59200.0,+7.05%,2894847.0,167052.0,885656.0,017670,https://kr.tradingview.com/symbols/KRX-017670/,2026.01.16,103571,173000
이루온 *,1473.0,+6.51%,410377.0,596.0,185528.0,065440,https://kr.tradingview.com/symbols/KRX-065440/,2026.01.16,0,27665
엔텔스 *,5100.0,+5.37%,121832.0,620.0,33840.0,069410,https://kr.tradingview.com/symbols/KRX-069410/,2026.01.16,-6827,-5840
우리넷 *,7600.0,+5.12%,407740.0,3061.0,226704.0,115440,https://kr.tradingview.com/symbols/KRX-115440/,2026.01.16,1617,14364
서진시스템 *,29100.0,+5.05%,964420.0,27752.0,1034027.0,178320,https://kr.tradingview.com/symbols/KRX-178320/,2026.01.16,3290,25418
기가레인 *,552.0,+4.94%,379615.0,208.0,359622.0,049080,https://kr.tradingview.com/symbols/KRX-049080/,2026.01.16,0,-58720
웨이비스 *,10470.0,+4.60%,111910.0,1155.0,141568.0,289930,https://kr.tradingview.com/symbols/KRX-289930/,2026.01.16,2000,-29872
이노와이어리스 *,24250.0,+4.30%,118142.0,2869.0,60459.0,073490,https://kr.tradingview.com/symbols/KRX-073490/,2026.01.16,-1742,-18351
다보링크 *,1449.0,+4.24%,371364.0,532.0,275391.0,340360,https://kr.tradingview.com/symbols/KRX-340360/,2026.01.16,0,20690
오이솔루션 *,15200.0,+3.54%,177480.0,2706.0,152479.0,138080,https://kr.tradingview.com/symbols/KRX-138080/,2026.01.16,-37598,-20402
LS에코에너지,38450.0,+3.08%,260958.0,10017.0,180805.0,229640,https://kr.tradingview.com/symbols/KRX-229640/,2026.01.16,1982,-46476
코위버 *,5230.0,+2.55%,41729.0,216.0,16659.0,056360,https://kr.tradingview.com/symbols/KRX-056360/,2026.01.16,0,-674
자람테크놀로지 *,37300.0,+1.63%,72146.0,2706.0,81777.0,389020,https://kr.tradingview.com/symbols/KRX-389020/,2026.01.16,-14083,-21793
대한광통신 *,3045.0,+1.50%,9522006.0,28845.0,5231198.0,010170,https://kr.tradingview.com/symbols/KRX-010170/,2026.01.16,19896,78553
라이콤 *,2615.0,+1.16%,169561.0,442.0,140866.0,388790,https://kr.tradingview.com/symbols/KRX-388790/,2026.01.16,0,-16021
삼지전자 *,16830.0,+0.90%,146845.0,2484.0,128630.0,037460,https://kr.tradingview.com/symbols/KRX-037460/,2026.01.16,-122,18223
LG유플러스,15060.0,+0.87%,759293.0,11457.0,742297.0,032640,https://kr.tradingview.com/symbols/KRX-032640/,2026.01.16,-21994,-12928
웨이브일렉트로 *,4600.0,+0.77%,77424.0,354.0,31674.0,095270,https://kr.tradingview.com/symbols/KRX-095270/,2026.01.16,-4198,-8049
쏠리드 *,7330.0,+0.69%,410086.0,2986.0,678291.0,050890,https://kr.tradingview.com/symbols/KRX-050890/,2026.01.16,-18667,-33684
텔코웨어,15820.0,+0.44%,4220.0,66.0,7004.0,078000,https://kr.tradingview.com/symbols/KRX-078000/,2026.01.16,-11,-3324
알에프텍 *,1994.0,+0.40%,641911.0,1311.0,122343.0,061040,https://kr.tradingview.com/symbols/KRX-061040/,2026.01.16,-79,12399
