종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
우리기술 *,6140.0,+29.95%,69989043.0,403902.0,61591713.0,032820,https://kr.tradingview.com/symbols/KRX-032820/
이엠코리아 *,2335.0,+12.26%,1894021.0,4238.0,151290.0,095190,https://kr.tradingview.com/symbols/KRX-095190/
수산인더스트리,26350.0,+7.77%,214574.0,5590.0,136343.0,126720,https://kr.tradingview.com/symbols/KRX-126720/
광명전기,1490.0,+6.66%,2108243.0,3099.0,1408040.0,017040,https://kr.tradingview.com/symbols/KRX-017040/
한전기술,133300.0,+5.21%,926230.0,121735.0,2681388.0,052690,https://kr.tradingview.com/symbols/KRX-052690/
에너토크 *,8100.0,+4.92%,623810.0,4996.0,1694957.0,019990,https://kr.tradingview.com/symbols/KRX-019990/
우진,22250.0,+4.46%,1409148.0,31212.0,1956081.0,105840,https://kr.tradingview.com/symbols/KRX-105840/
현대건설,107900.0,+3.45%,1759969.0,187799.0,3122648.0,000720,https://kr.tradingview.com/symbols/KRX-000720/
우진엔텍 *,24200.0,+3.42%,509709.0,12317.0,842100.0,457550,https://kr.tradingview.com/symbols/KRX-457550/
강원에너지 *,14010.0,+3.24%,318262.0,4353.0,169097.0,114190,https://kr.tradingview.com/symbols/KRX-114190/
비에이치아이 *,61200.0,+3.03%,1310562.0,80888.0,2769506.0,083650,https://kr.tradingview.com/symbols/KRX-083650/
한국전력,56300.0,+2.93%,3627467.0,201654.0,3398110.0,015760,https://kr.tradingview.com/symbols/KRX-015760/
보성파워텍 *,6000.0,+2.92%,10651253.0,64540.0,13171715.0,006910,https://kr.tradingview.com/symbols/KRX-006910/
티플랙스 *,3045.0,+2.53%,225041.0,688.0,130292.0,081150,https://kr.tradingview.com/symbols/KRX-081150/
서전기전 *,3870.0,+2.38%,279409.0,1088.0,240678.0,189860,https://kr.tradingview.com/symbols/KRX-189860/
한신기계,3275.0,+2.34%,781364.0,2548.0,927757.0,011700,https://kr.tradingview.com/symbols/KRX-011700/
태웅 *,29750.0,+1.88%,233217.0,6899.0,355953.0,044490,https://kr.tradingview.com/symbols/KRX-044490/
한전KPS,56500.0,+1.80%,434147.0,24515.0,760884.0,051600,https://kr.tradingview.com/symbols/KRX-051600/
하이록코리아 *,32250.0,+1.74%,25400.0,816.0,35477.0,013030,https://kr.tradingview.com/symbols/KRX-013030/
디티앤씨 *,2265.0,+1.57%,49654.0,111.0,34811.0,187220,https://kr.tradingview.com/symbols/KRX-187220/
금양그린파워 *,10060.0,+1.31%,37378.0,370.0,22759.0,282720,https://kr.tradingview.com/symbols/KRX-282720/
한전산업,11700.0,+1.30%,288082.0,3343.0,665923.0,130660,https://kr.tradingview.com/symbols/KRX-130660/
DL이앤씨,43450.0,+1.28%,497749.0,21901.0,437508.0,375500,https://kr.tradingview.com/symbols/KRX-375500/
성광벤드 *,30150.0,+1.17%,188319.0,5635.0,338576.0,014620,https://kr.tradingview.com/symbols/KRX-014620/
효성중공업,2360000.0,+1.16%,51744.0,123040.0,73759.0,298040,https://kr.tradingview.com/symbols/KRX-298040/
대한전선,26000.0,+0.97%,1862906.0,48228.0,1929851.0,001440,https://kr.tradingview.com/symbols/KRX-001440/
한미글로벌,18310.0,+0.88%,120031.0,2204.0,116634.0,053690,https://kr.tradingview.com/symbols/KRX-053690/
한양이엔지 *,23500.0,+0.86%,58277.0,1365.0,63177.0,045100,https://kr.tradingview.com/symbols/KRX-045100/
SNT에너지,38550.0,+0.78%,135734.0,5247.0,108986.0,100840,https://kr.tradingview.com/symbols/KRX-100840/
대창솔루션 *,2215.0,+0.68%,446228.0,984.0,259526.0,096350,https://kr.tradingview.com/symbols/KRX-096350/
금화피에스시 *,31150.0,+0.65%,12354.0,383.0,12223.0,036190,https://kr.tradingview.com/symbols/KRX-036190/
제일테크노스 *,6060.0,+0.33%,28714.0,173.0,32446.0,038010,https://kr.tradingview.com/symbols/KRX-038010/
디케이락 *,10180.0,+0.30%,111423.0,1125.0,117777.0,105740,https://kr.tradingview.com/symbols/KRX-105740/
오르비텍 *,4085.0,+0.25%,1074689.0,4382.0,1439835.0,046120,https://kr.tradingview.com/symbols/KRX-046120/
대우건설,4510.0,+0.22%,11464354.0,52017.0,21682708.0,047040,https://kr.tradingview.com/symbols/KRX-047040/
두산에너빌리티,95400.0,+0.10%,8509605.0,808269.0,17969737.0,034020,https://kr.tradingview.com/symbols/KRX-034020/
LS ELECTRIC,533000.0,0.00%,159742.0,85501.0,184329.0,010120,https://kr.tradingview.com/symbols/KRX-010120/
대창스틸 *,2100.0,0.00%,23079.0,48.0,55439.0,140520,https://kr.tradingview.com/symbols/KRX-140520/
원일티엔아이 *,17410.0,-0.74%,48815.0,847.0,33000.0,136150,https://kr.tradingview.com/symbols/KRX-136150/
SG&G *,1724.0,-0.92%,71933.0,124.0,40573.0,040610,https://kr.tradingview.com/symbols/KRX-040610/
삼영엠텍 *,15110.0,-0.98%,670507.0,10257.0,660930.0,054540,https://kr.tradingview.com/symbols/KRX-054540/
한텍 *,34500.0,-1.15%,71143.0,2476.0,63136.0,098070,https://kr.tradingview.com/symbols/KRX-098070/
에스앤더블류 *,3985.0,-1.24%,44137.0,175.0,86157.0,103230,https://kr.tradingview.com/symbols/KRX-103230/
태광 *,26950.0,-1.46%,216696.0,5843.0,231647.0,023160,https://kr.tradingview.com/symbols/KRX-023160/
비엠티 *,12040.0,-1.47%,47399.0,574.0,28612.0,086670,https://kr.tradingview.com/symbols/KRX-086670/
