종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
휴림로봇 *,16650.0,+29.98%,49455441.0,764770.0,54047560.0,090710,https://kr.tradingview.com/symbols/KRX-090710/
현대무벡스 *,34950.0,+20.52%,9930986.0,326997.0,6234544.0,319400,https://kr.tradingview.com/symbols/KRX-319400/
LS티라유텍 *,10050.0,+12.79%,2403688.0,23662.0,4313222.0,322180,https://kr.tradingview.com/symbols/KRX-322180/
TPC *,3740.0,+11.98%,1485567.0,5481.0,800105.0,048770,https://kr.tradingview.com/symbols/KRX-048770/
스맥 *,6780.0,+11.88%,6152725.0,40320.0,5198294.0,099440,https://kr.tradingview.com/symbols/KRX-099440/
유일로보틱스 *,97900.0,+9.88%,875315.0,86335.0,684699.0,388720,https://kr.tradingview.com/symbols/KRX-388720/
알에스오토메이션 *,21850.0,+9.47%,2166668.0,47544.0,1223474.0,140670,https://kr.tradingview.com/symbols/KRX-140670/
MDS테크 *,1507.0,+9.44%,11235906.0,16677.0,4197505.0,086960,https://kr.tradingview.com/symbols/KRX-086960/
에스피시스템스 *,15030.0,+8.44%,3644590.0,55487.0,1883697.0,317830,https://kr.tradingview.com/symbols/KRX-317830/
라온테크 *,16300.0,+7.38%,2231349.0,36822.0,1686112.0,232680,https://kr.tradingview.com/symbols/KRX-232680/
제닉스로보틱스 *,14480.0,+7.26%,1133937.0,16199.0,1228645.0,381620,https://kr.tradingview.com/symbols/KRX-381620/
링크제니시스 *,5790.0,+7.22%,544953.0,3151.0,121705.0,219420,https://kr.tradingview.com/symbols/KRX-219420/
아진엑스텍 *,16960.0,+6.94%,1435401.0,24053.0,1642341.0,059120,https://kr.tradingview.com/symbols/KRX-059120/
에스엠코어 *,5090.0,+6.82%,1093822.0,5562.0,967580.0,007820,https://kr.tradingview.com/symbols/KRX-007820/
코윈테크 *,18130.0,+6.02%,468190.0,8370.0,2699906.0,282880,https://kr.tradingview.com/symbols/KRX-282880/
코닉오토메이션 *,2605.0,+5.68%,889402.0,2290.0,1487597.0,391710,https://kr.tradingview.com/symbols/KRX-391710/
고영 *,30000.0,+5.63%,8475002.0,252313.0,4014791.0,098460,https://kr.tradingview.com/symbols/KRX-098460/
엠투아이 *,7380.0,+5.58%,236506.0,1713.0,218235.0,347890,https://kr.tradingview.com/symbols/KRX-347890/
LG씨엔에스,71700.0,+5.44%,2266905.0,160724.0,5072559.0,064400,https://kr.tradingview.com/symbols/KRX-064400/
엠아이큐브솔루션 *,7450.0,+4.93%,28680.0,215.0,14420.0,373170,https://kr.tradingview.com/symbols/KRX-373170/
트윔 *,7300.0,+4.29%,12475.0,88.0,10217.0,290090,https://kr.tradingview.com/symbols/KRX-290090/
티엑스알로보틱스 *,19760.0,+4.22%,751872.0,14905.0,1042380.0,484810,https://kr.tradingview.com/symbols/KRX-484810/
더존비즈온,95700.0,+4.13%,241036.0,22973.0,100409.0,012510,https://kr.tradingview.com/symbols/KRX-012510/
이삭엔지니어링 *,9390.0,+3.87%,375799.0,3525.0,692366.0,351330,https://kr.tradingview.com/symbols/KRX-351330/
에스에프에이 *,24350.0,+3.40%,133624.0,3205.0,73491.0,056190,https://kr.tradingview.com/symbols/KRX-056190/
한신기계,3275.0,+2.34%,781364.0,2548.0,927757.0,011700,https://kr.tradingview.com/symbols/KRX-011700/
삼성에스디에스,183900.0,+2.17%,222724.0,40958.0,369555.0,018260,https://kr.tradingview.com/symbols/KRX-018260/
피아이이 *,6600.0,+1.85%,393708.0,2601.0,350774.0,452450,https://kr.tradingview.com/symbols/KRX-452450/
LG,89000.0,+1.71%,334512.0,29531.0,958212.0,003550,https://kr.tradingview.com/symbols/KRX-003550/
동국알앤에스 *,2220.0,+1.60%,84147.0,186.0,189948.0,075970,https://kr.tradingview.com/symbols/KRX-075970/
팸텍 *,1702.0,+0.29%,215762.0,365.0,206987.0,271830,https://kr.tradingview.com/symbols/KRX-271830/
톱텍 *,4490.0,+0.22%,85605.0,381.0,138567.0,108230,https://kr.tradingview.com/symbols/KRX-108230/
오픈베이스 *,2305.0,+0.22%,183811.0,423.0,146459.0,049480,https://kr.tradingview.com/symbols/KRX-049480/
LS ELECTRIC,533000.0,0.00%,159742.0,85501.0,184329.0,010120,https://kr.tradingview.com/symbols/KRX-010120/
효성ITX,12400.0,-0.32%,16829.0,207.0,19707.0,094280,https://kr.tradingview.com/symbols/KRX-094280/
포스코DX,41700.0,-0.71%,4515525.0,186818.0,11914240.0,022100,https://kr.tradingview.com/symbols/KRX-022100/
비엠티 *,12040.0,-1.47%,47399.0,574.0,28612.0,086670,https://kr.tradingview.com/symbols/KRX-086670/
SK,294000.0,-1.67%,198063.0,58728.0,195357.0,034730,https://kr.tradingview.com/symbols/KRX-034730/
