종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
포스코인터내셔널,62500.0,+9.08%,2819565.0,174069.0,962246.0,047050,https://kr.tradingview.com/symbols/KRX-047050/
한국카본,36600.0,+4.72%,847060.0,30774.0,695567.0,017960,https://kr.tradingview.com/symbols/KRX-017960/
비에이치아이 *,61200.0,+3.03%,1310562.0,80888.0,2769506.0,083650,https://kr.tradingview.com/symbols/KRX-083650/
한국전력,56300.0,+2.93%,3627467.0,201654.0,3398110.0,015760,https://kr.tradingview.com/symbols/KRX-015760/
우림피티에스 *,21500.0,+2.63%,1219747.0,25963.0,1371557.0,101170,https://kr.tradingview.com/symbols/KRX-101170/
SNT에너지,38550.0,+0.78%,135734.0,5247.0,108986.0,100840,https://kr.tradingview.com/symbols/KRX-100840/
두산에너빌리티,95400.0,+0.10%,8509605.0,808269.0,17969737.0,034020,https://kr.tradingview.com/symbols/KRX-034020/
SH에너지화학,359.0,-0.55%,333975.0,119.0,261177.0,002360,https://kr.tradingview.com/symbols/KRX-002360/
E1,81300.0,-0.73%,26158.0,2112.0,20143.0,017940,https://kr.tradingview.com/symbols/KRX-017940/
SK가스,223000.0,-0.89%,11949.0,2667.0,9660.0,018670,https://kr.tradingview.com/symbols/KRX-018670/
한국가스공사,38650.0,-1.02%,339179.0,13103.0,241748.0,036460,https://kr.tradingview.com/symbols/KRX-036460/
