종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
성일하이텍 *,50800.0,+16.92%,351088.0,17017.0,46765.0,365340,https://kr.tradingview.com/symbols/KRX-365340/
새빗켐 *,30800.0,+12.00%,227127.0,6846.0,32226.0,107600,https://kr.tradingview.com/symbols/KRX-107600/
미래산업,13600.0,+9.94%,129488.0,1725.0,31561.0,025560,https://kr.tradingview.com/symbols/KRX-025560/
코스모화학,14860.0,+7.60%,338119.0,4900.0,202827.0,005420,https://kr.tradingview.com/symbols/KRX-005420/
앱튼 *,387.0,+6.61%,2816020.0,1067.0,4332594.0,270520,https://kr.tradingview.com/symbols/KRX-270520/
대보마그네틱 *,12580.0,+5.36%,32289.0,399.0,20274.0,290670,https://kr.tradingview.com/symbols/KRX-290670/
POSCO홀딩스,347500.0,+4.83%,765012.0,261634.0,1093617.0,005490,https://kr.tradingview.com/symbols/KRX-005490/
포스코퓨처엠,197000.0,+4.40%,450354.0,87169.0,305027.0,003670,https://kr.tradingview.com/symbols/KRX-003670/
유일에너테크 *,1020.0,+4.19%,3837812.0,3801.0,2806180.0,340930,https://kr.tradingview.com/symbols/KRX-340930/
강원에너지 *,14010.0,+3.24%,318262.0,4353.0,169097.0,114190,https://kr.tradingview.com/symbols/KRX-114190/
천보 *,48950.0,+2.62%,74239.0,3546.0,65352.0,278280,https://kr.tradingview.com/symbols/KRX-278280/
에코프로 *,95000.0,+2.59%,1854083.0,173708.0,1150134.0,086520,https://kr.tradingview.com/symbols/KRX-086520/
미래나노텍 *,10650.0,+2.50%,223894.0,2342.0,161795.0,095500,https://kr.tradingview.com/symbols/KRX-095500/
LG에너지솔루션,398500.0,+1.92%,408315.0,160505.0,289648.0,373220,https://kr.tradingview.com/symbols/KRX-373220/
하이드로리튬 *,1870.0,+1.91%,1121110.0,2041.0,746236.0,101670,https://kr.tradingview.com/symbols/KRX-101670/
후성,7530.0,+1.35%,611336.0,4522.0,377931.0,093370,https://kr.tradingview.com/symbols/KRX-093370/
LG화학,337500.0,+1.20%,289896.0,95783.0,239548.0,051910,https://kr.tradingview.com/symbols/KRX-051910/
광무 *,2270.0,+1.11%,449017.0,1008.0,350852.0,029480,https://kr.tradingview.com/symbols/KRX-029480/
중앙첨단소재 *,2165.0,+0.93%,1974622.0,4168.0,1737214.0,051980,https://kr.tradingview.com/symbols/KRX-051980/
포스코엠텍 *,18520.0,+0.76%,965423.0,17665.0,2126504.0,009520,https://kr.tradingview.com/symbols/KRX-009520/
엔켐 *,62900.0,0.00%,260229.0,16116.0,190181.0,348370,https://kr.tradingview.com/symbols/KRX-348370/
세방전지,62900.0,-1.10%,38649.0,2434.0,61091.0,004490,https://kr.tradingview.com/symbols/KRX-004490/
리튬포어스 *,858.0,-1.83%,340291.0,289.0,232115.0,073570,https://kr.tradingview.com/symbols/KRX-073570/
