종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
에쓰씨엔지니어링,1701.0,+29.95%,6101994.0,9797.0,201995.0,023960,https://kr.tradingview.com/symbols/KRX-023960/
퍼스텍,4435.0,+12.42%,9803270.0,42999.0,611918.0,010820,https://kr.tradingview.com/symbols/KRX-010820/
서암기계공업 *,5670.0,+10.31%,5158666.0,29967.0,484186.0,100660,https://kr.tradingview.com/symbols/KRX-100660/
포스코인터내셔널,62500.0,+9.08%,2819565.0,174069.0,962246.0,047050,https://kr.tradingview.com/symbols/KRX-047050/
다산네트웍스 *,3380.0,+4.48%,440193.0,1451.0,305319.0,039560,https://kr.tradingview.com/symbols/KRX-039560/
혜인,5280.0,+3.53%,394403.0,2105.0,76276.0,003010,https://kr.tradingview.com/symbols/KRX-003010/
현대건설,107900.0,+3.45%,1759969.0,187799.0,3122648.0,000720,https://kr.tradingview.com/symbols/KRX-000720/
프리엠스 *,6680.0,+3.25%,20402.0,134.0,23998.0,053160,https://kr.tradingview.com/symbols/KRX-053160/
대동,10120.0,+2.95%,251507.0,2525.0,126925.0,000490,https://kr.tradingview.com/symbols/KRX-000490/
대동기어 *,17680.0,+2.61%,281930.0,4983.0,204263.0,008830,https://kr.tradingview.com/symbols/KRX-008830/
HD현대건설기계,122400.0,+2.26%,212326.0,26300.0,158135.0,267270,https://kr.tradingview.com/symbols/KRX-267270/
대모 *,7530.0,+1.76%,56973.0,428.0,53928.0,317850,https://kr.tradingview.com/symbols/KRX-317850/
스페코 *,2495.0,+1.63%,89128.0,221.0,63788.0,013810,https://kr.tradingview.com/symbols/KRX-013810/
수산세보틱스,1708.0,+1.61%,271024.0,460.0,95399.0,017550,https://kr.tradingview.com/symbols/KRX-017550/
다스코,3250.0,+1.56%,50081.0,160.0,89085.0,058730,https://kr.tradingview.com/symbols/KRX-058730/
SG *,2340.0,+1.52%,1365682.0,3200.0,1751050.0,255220,https://kr.tradingview.com/symbols/KRX-255220/
대양전기공업 *,26900.0,+1.32%,30009.0,804.0,60247.0,108380,https://kr.tradingview.com/symbols/KRX-108380/
에스와이 *,2785.0,+1.27%,131898.0,366.0,138312.0,109610,https://kr.tradingview.com/symbols/KRX-109610/
파라텍 *,1079.0,+1.12%,179455.0,194.0,121596.0,033540,https://kr.tradingview.com/symbols/KRX-033540/
TYM,6130.0,+0.99%,259063.0,1585.0,271475.0,002900,https://kr.tradingview.com/symbols/KRX-002900/
희림 *,4405.0,+0.92%,46028.0,201.0,21263.0,037440,https://kr.tradingview.com/symbols/KRX-037440/
유신 *,22200.0,+0.91%,11026.0,242.0,10519.0,054930,https://kr.tradingview.com/symbols/KRX-054930/
서연탑메탈 *,3980.0,+0.76%,208517.0,827.0,1520096.0,019770,https://kr.tradingview.com/symbols/KRX-019770/
디와이파워,13500.0,+0.67%,65061.0,876.0,46658.0,210540,https://kr.tradingview.com/symbols/KRX-210540/
도화엔지니어링,6100.0,+0.49%,31245.0,190.0,37259.0,002150,https://kr.tradingview.com/symbols/KRX-002150/
현대에버다임 *,8090.0,+0.25%,180769.0,1469.0,153662.0,041440,https://kr.tradingview.com/symbols/KRX-041440/
HD현대인프라코어,13800.0,0.00%,0.0,0.0,0.0,042670,https://kr.tradingview.com/symbols/KRX-042670/
대동금속 *,5590.0,0.00%,9634.0,54.0,8026.0,020400,https://kr.tradingview.com/symbols/KRX-020400/
동일고무벨트,6800.0,-0.15%,60857.0,413.0,35225.0,163560,https://kr.tradingview.com/symbols/KRX-163560/
누보 *,1117.0,-0.36%,265212.0,295.0,260330.0,332290,https://kr.tradingview.com/symbols/KRX-332290/
에스와이스틸텍 *,3210.0,-0.62%,434953.0,1401.0,519554.0,365330,https://kr.tradingview.com/symbols/KRX-365330/
이노인스트루먼트 *,594.0,-1.16%,230313.0,134.0,216675.0,215790,https://kr.tradingview.com/symbols/KRX-215790/
폴라리스AI *,1700.0,-1.16%,1015758.0,1726.0,923570.0,039980,https://kr.tradingview.com/symbols/KRX-039980/
현대코퍼레이션,21500.0,-1.60%,55137.0,1192.0,42047.0,011760,https://kr.tradingview.com/symbols/KRX-011760/
오늘이엔엠 *,861.0,-6.11%,225754.0,199.0,272207.0,192410,https://kr.tradingview.com/symbols/KRX-192410/
아이톡시 *,1042.0,-8.60%,1438541.0,1556.0,4772170.0,052770,https://kr.tradingview.com/symbols/KRX-052770/
