종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
캠시스 *,672.0,+29.98%,46317474.0,28598.0,16302314.0,050110,https://kr.tradingview.com/symbols/KRX-050110/
해성옵틱스 *,898.0,+29.96%,4888841.0,4390.0,1213386.0,076610,https://kr.tradingview.com/symbols/KRX-076610/
재영솔루텍 *,6940.0,+18.23%,15063038.0,98896.0,16364397.0,049630,https://kr.tradingview.com/symbols/KRX-049630/
파워로직스 *,5870.0,+16.47%,12553080.0,73077.0,4067453.0,047310,https://kr.tradingview.com/symbols/KRX-047310/
코아시아씨엠 *,849.0,+10.26%,403954.0,334.0,86590.0,196450,https://kr.tradingview.com/symbols/KRX-196450/
옵트론텍 *,1849.0,+7.25%,289993.0,526.0,138850.0,082210,https://kr.tradingview.com/symbols/KRX-082210/
케이이엠텍 *,723.0,+7.11%,2667601.0,1728.0,1452629.0,106080,https://kr.tradingview.com/symbols/KRX-106080/
탑엔지니어링 *,3605.0,+6.66%,226363.0,799.0,130138.0,065130,https://kr.tradingview.com/symbols/KRX-065130/
라온피플 *,2130.0,+5.97%,171046.0,361.0,110900.0,300120,https://kr.tradingview.com/symbols/KRX-300120/
픽셀플러스 *,6430.0,+5.76%,70905.0,451.0,18769.0,087600,https://kr.tradingview.com/symbols/KRX-087600/
엠씨넥스,31550.0,+4.64%,169049.0,5278.0,71316.0,097520,https://kr.tradingview.com/symbols/KRX-097520/
LK삼양 *,1423.0,+3.94%,1691934.0,2385.0,928060.0,225190,https://kr.tradingview.com/symbols/KRX-225190/
나무가 *,25450.0,+3.46%,455214.0,11395.0,633791.0,190510,https://kr.tradingview.com/symbols/KRX-190510/
퓨런티어 *,15550.0,+3.25%,222599.0,3422.0,257312.0,370090,https://kr.tradingview.com/symbols/KRX-370090/
하이비젼시스템 *,16340.0,+2.90%,120483.0,1955.0,86271.0,126700,https://kr.tradingview.com/symbols/KRX-126700/
자화전자,22950.0,+2.46%,356007.0,8237.0,286250.0,033240,https://kr.tradingview.com/symbols/KRX-033240/
포톤 *,2435.0,+1.88%,988493.0,2455.0,2123483.0,208710,https://kr.tradingview.com/symbols/KRX-208710/
덕우전자 *,4930.0,+1.02%,198662.0,969.0,237170.0,263600,https://kr.tradingview.com/symbols/KRX-263600/
세코닉스 *,6240.0,+0.97%,275383.0,1693.0,320748.0,053450,https://kr.tradingview.com/symbols/KRX-053450/
파트론 *,6980.0,+0.87%,238821.0,1653.0,220586.0,091700,https://kr.tradingview.com/symbols/KRX-091700/
삼성전기,292000.0,+0.86%,450970.0,130882.0,609718.0,009150,https://kr.tradingview.com/symbols/KRX-009150/
동운아나텍 *,27200.0,+0.74%,162615.0,4377.0,172095.0,094170,https://kr.tradingview.com/symbols/KRX-094170/
팸텍 *,1702.0,+0.29%,215762.0,365.0,206987.0,271830,https://kr.tradingview.com/symbols/KRX-271830/
LG이노텍,285500.0,-0.17%,155654.0,44433.0,165825.0,011070,https://kr.tradingview.com/symbols/KRX-011070/
아이윈플러스 *,1001.0,-1.28%,353015.0,355.0,363037.0,123010,https://kr.tradingview.com/symbols/KRX-123010/
성우전자 *,2365.0,-2.07%,96291.0,228.0,218205.0,081580,https://kr.tradingview.com/symbols/KRX-081580/
액트로 *,21050.0,-11.37%,648415.0,13861.0,577132.0,290740,https://kr.tradingview.com/symbols/KRX-290740/
