종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
피에스텍 *,16130.0,+15.79%,2355092.0,35407.0,3369773.0,002230,https://kr.tradingview.com/symbols/KRX-002230/
인스코비,787.0,+13.89%,2482366.0,1885.0,1639852.0,006490,https://kr.tradingview.com/symbols/KRX-006490/
스맥 *,6780.0,+11.88%,6152725.0,40320.0,5198294.0,099440,https://kr.tradingview.com/symbols/KRX-099440/
아이앤씨 *,3050.0,+11.72%,945942.0,2869.0,399501.0,052860,https://kr.tradingview.com/symbols/KRX-052860/
일진홀딩스,7250.0,+6.77%,244372.0,1724.0,107060.0,015860,https://kr.tradingview.com/symbols/KRX-015860/
옴니시스템 *,803.0,+2.69%,447355.0,359.0,186102.0,057540,https://kr.tradingview.com/symbols/KRX-057540/
삼화콘덴서,29550.0,+2.60%,59408.0,1729.0,38869.0,001820,https://kr.tradingview.com/symbols/KRX-001820/
서전기전 *,3870.0,+2.38%,279409.0,1088.0,240678.0,189860,https://kr.tradingview.com/symbols/KRX-189860/
누리플렉스 *,3505.0,+1.74%,21852.0,76.0,10330.0,040160,https://kr.tradingview.com/symbols/KRX-040160/
CS *,783.0,+1.56%,217299.0,169.0,98735.0,065770,https://kr.tradingview.com/symbols/KRX-065770/
한전산업,11700.0,+1.30%,288082.0,3343.0,665923.0,130660,https://kr.tradingview.com/symbols/KRX-130660/
비츠로셀 *,19820.0,+1.23%,193923.0,3840.0,180159.0,082920,https://kr.tradingview.com/symbols/KRX-082920/
코콤 *,3400.0,+0.44%,34174.0,115.0,44135.0,015710,https://kr.tradingview.com/symbols/KRX-015710/
비츠로시스 *,415.0,+0.24%,1130610.0,465.0,8662127.0,054220,https://kr.tradingview.com/symbols/KRX-054220/
일진전기,62500.0,+0.16%,378258.0,23801.0,371402.0,103590,https://kr.tradingview.com/symbols/KRX-103590/
LS ELECTRIC,533000.0,0.00%,159742.0,85501.0,184329.0,010120,https://kr.tradingview.com/symbols/KRX-010120/
아모그린텍 *,5920.0,-0.17%,70677.0,414.0,61736.0,125210,https://kr.tradingview.com/symbols/KRX-125210/
포스코DX,41700.0,-0.71%,4515525.0,186818.0,11914240.0,022100,https://kr.tradingview.com/symbols/KRX-022100/
피앤씨테크 *,4100.0,-0.97%,34138.0,141.0,21128.0,237750,https://kr.tradingview.com/symbols/KRX-237750/
지투파워 *,8110.0,-1.70%,581261.0,4733.0,441416.0,388050,https://kr.tradingview.com/symbols/KRX-388050/
