종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
케이엔에스 *,14350.0,+21.10%,3533435.0,49650.0,1914288.0,432470,https://kr.tradingview.com/symbols/KRX-432470/
대성하이텍 *,4675.0,+14.86%,1301313.0,5951.0,62582.0,129920,https://kr.tradingview.com/symbols/KRX-129920/
엠오티 *,8780.0,+13.29%,7017920.0,64052.0,227538.0,413390,https://kr.tradingview.com/symbols/KRX-413390/
케이지에이 *,3480.0,+12.99%,2605201.0,9450.0,214157.0,455180,https://kr.tradingview.com/symbols/KRX-455180/
씨아이에스 *,7100.0,+7.41%,1252963.0,8672.0,457716.0,222080,https://kr.tradingview.com/symbols/KRX-222080/
피엔티 *,39900.0,+7.40%,313990.0,12186.0,130062.0,137400,https://kr.tradingview.com/symbols/KRX-137400/
필에너지 *,12820.0,+6.92%,198317.0,2461.0,89242.0,378340,https://kr.tradingview.com/symbols/KRX-378340/
탑엔지니어링 *,3605.0,+6.66%,226363.0,799.0,130138.0,065130,https://kr.tradingview.com/symbols/KRX-065130/
코윈테크 *,18130.0,+6.02%,468190.0,8370.0,2699906.0,282880,https://kr.tradingview.com/symbols/KRX-282880/
이노메트리 *,7030.0,+5.56%,181477.0,1272.0,42509.0,302430,https://kr.tradingview.com/symbols/KRX-302430/
대보마그네틱 *,12580.0,+5.36%,32289.0,399.0,20274.0,290670,https://kr.tradingview.com/symbols/KRX-290670/
나인테크 *,2955.0,+4.42%,1841474.0,5349.0,915848.0,267320,https://kr.tradingview.com/symbols/KRX-267320/
유일에너테크 *,1020.0,+4.19%,3837812.0,3801.0,2806180.0,340930,https://kr.tradingview.com/symbols/KRX-340930/
에이프로 *,5080.0,+3.99%,59384.0,296.0,53217.0,262260,https://kr.tradingview.com/symbols/KRX-262260/
원준 *,7650.0,+3.52%,112487.0,841.0,47200.0,382840,https://kr.tradingview.com/symbols/KRX-382840/
티에스아이 *,5400.0,+3.45%,161823.0,859.0,198316.0,277880,https://kr.tradingview.com/symbols/KRX-277880/
디이엔티 *,4955.0,+3.44%,106083.0,516.0,107139.0,079810,https://kr.tradingview.com/symbols/KRX-079810/
에스에프에이 *,24350.0,+3.40%,133624.0,3205.0,73491.0,056190,https://kr.tradingview.com/symbols/KRX-056190/
HB테크놀러지 *,1991.0,+3.32%,1722737.0,3424.0,1425076.0,078150,https://kr.tradingview.com/symbols/KRX-078150/
강원에너지 *,14010.0,+3.24%,318262.0,4353.0,169097.0,114190,https://kr.tradingview.com/symbols/KRX-114190/
브이원텍 *,7150.0,+3.03%,899241.0,6519.0,1438439.0,251630,https://kr.tradingview.com/symbols/KRX-251630/
아바코 *,12920.0,+2.95%,44689.0,567.0,46151.0,083930,https://kr.tradingview.com/symbols/KRX-083930/
윤성에프앤씨 *,29950.0,+2.92%,27155.0,792.0,19764.0,372170,https://kr.tradingview.com/symbols/KRX-372170/
원익피앤이 *,3840.0,+2.54%,491784.0,1836.0,515097.0,217820,https://kr.tradingview.com/symbols/KRX-217820/
엠플러스 *,11260.0,+2.27%,83035.0,925.0,87214.0,259630,https://kr.tradingview.com/symbols/KRX-259630/
씨케이솔루션,8060.0,+2.15%,30942.0,245.0,26668.0,480370,https://kr.tradingview.com/symbols/KRX-480370/
민테크 *,2380.0,+1.71%,70720.0,166.0,70593.0,452200,https://kr.tradingview.com/symbols/KRX-452200/
하나기술 *,28250.0,+1.62%,65091.0,1774.0,25193.0,299030,https://kr.tradingview.com/symbols/KRX-299030/
지아이텍 *,2290.0,+1.10%,1013163.0,2298.0,978402.0,382480,https://kr.tradingview.com/symbols/KRX-382480/
한빛레이저 *,4490.0,+1.01%,181768.0,813.0,345106.0,452190,https://kr.tradingview.com/symbols/KRX-452190/
웰크론한텍 *,1010.0,+1.00%,59263.0,60.0,82827.0,076080,https://kr.tradingview.com/symbols/KRX-076080/
펨트론 *,15700.0,+0.77%,77025.0,1206.0,109810.0,168360,https://kr.tradingview.com/symbols/KRX-168360/
티이엠씨씨엔에스 *,6770.0,+0.59%,44031.0,292.0,30504.0,241790,https://kr.tradingview.com/symbols/KRX-241790/
아이비젼웍스 *,1334.0,+0.30%,447395.0,591.0,563993.0,469750,https://kr.tradingview.com/symbols/KRX-469750/
톱텍 *,4490.0,+0.22%,85605.0,381.0,138567.0,108230,https://kr.tradingview.com/symbols/KRX-108230/
에이치와이티씨 *,2950.0,+0.17%,7259.0,21.0,11890.0,148930,https://kr.tradingview.com/symbols/KRX-148930/
우신시스템,6190.0,+0.16%,79677.0,487.0,123268.0,017370,https://kr.tradingview.com/symbols/KRX-017370/
자비스 *,1400.0,0.00%,210035.0,291.0,209174.0,254120,https://kr.tradingview.com/symbols/KRX-254120/
디아이티 *,17900.0,-0.11%,134695.0,2398.0,130618.0,110990,https://kr.tradingview.com/symbols/KRX-110990/
피엔티엠에스 *,3210.0,-0.31%,35167.0,113.0,50492.0,257370,https://kr.tradingview.com/symbols/KRX-257370/
파인텍 *,732.0,-1.08%,121810.0,89.0,151421.0,131760,https://kr.tradingview.com/symbols/KRX-131760/
엔시스 *,6550.0,-1.21%,60246.0,401.0,77320.0,333620,https://kr.tradingview.com/symbols/KRX-333620/
필옵틱스 *,43900.0,-1.35%,331620.0,14499.0,547255.0,161580,https://kr.tradingview.com/symbols/KRX-161580/
디에스케이 *,7410.0,-1.46%,40505.0,299.0,48771.0,109740,https://kr.tradingview.com/symbols/KRX-109740/
코세스 *,23950.0,-1.64%,77001.0,1869.0,257067.0,089890,https://kr.tradingview.com/symbols/KRX-089890/
쎄크 *,15470.0,-1.65%,380827.0,5945.0,587922.0,081180,https://kr.tradingview.com/symbols/KRX-081180/
소프트센 *,264.0,-2.94%,438907.0,116.0,145353.0,032680,https://kr.tradingview.com/symbols/KRX-032680/
한울반도체 *,1888.0,-5.08%,508481.0,957.0,331829.0,320000,https://kr.tradingview.com/symbols/KRX-320000/
