종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
셀루메드 *,2360.0,+29.81%,18560313.0,40828.0,23194767.0,049180,https://kr.tradingview.com/symbols/KRX-049180/
한미사이언스,38550.0,+4.61%,180797.0,6868.0,92914.0,008930,https://kr.tradingview.com/symbols/KRX-008930/
큐라티스 *,1084.0,+4.43%,330518.0,355.0,266195.0,348080,https://kr.tradingview.com/symbols/KRX-348080/
한미약품,444500.0,+1.83%,158966.0,70168.0,190685.0,128940,https://kr.tradingview.com/symbols/KRX-128940/
올릭스 *,139800.0,+1.53%,316736.0,44391.0,515771.0,226950,https://kr.tradingview.com/symbols/KRX-226950/
에스티팜 *,123600.0,+0.98%,126151.0,15606.0,193355.0,237690,https://kr.tradingview.com/symbols/KRX-237690/
아미노로직스 *,1725.0,+0.64%,680787.0,1169.0,1167099.0,074430,https://kr.tradingview.com/symbols/KRX-074430/
이연제약,10490.0,-0.10%,38622.0,401.0,100276.0,102460,https://kr.tradingview.com/symbols/KRX-102460/
엔지켐생명과학 *,1285.0,-0.85%,353308.0,449.0,497117.0,183490,https://kr.tradingview.com/symbols/KRX-183490/
아이진 *,1545.0,-0.96%,243769.0,371.0,174500.0,185490,https://kr.tradingview.com/symbols/KRX-185490/
녹십자,158500.0,-1.12%,66396.0,10559.0,187014.0,006280,https://kr.tradingview.com/symbols/KRX-006280/
진원생명과학,1745.0,-1.41%,520351.0,919.0,448646.0,011000,https://kr.tradingview.com/symbols/KRX-011000/
파미셀,13000.0,-1.52%,820608.0,10631.0,1064128.0,005690,https://kr.tradingview.com/symbols/KRX-005690/
나이벡 *,35000.0,-3.31%,127542.0,4498.0,261259.0,138610,https://kr.tradingview.com/symbols/KRX-138610/
서린바이오 *,6300.0,-3.52%,54907.0,347.0,19708.0,038070,https://kr.tradingview.com/symbols/KRX-038070/
