종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
케이엔에스 *,14350.0,+21.10%,3533435.0,49650.0,1914288.0,432470,https://kr.tradingview.com/symbols/KRX-432470/
태성 *,43100.0,+9.81%,845864.0,35526.0,395796.0,323280,https://kr.tradingview.com/symbols/KRX-323280/
나노팀 *,7150.0,+6.72%,924764.0,6615.0,216261.0,417010,https://kr.tradingview.com/symbols/KRX-417010/
이닉스 *,10800.0,+5.57%,72659.0,769.0,50961.0,452400,https://kr.tradingview.com/symbols/KRX-452400/
이노메트리 *,7030.0,+5.56%,181477.0,1272.0,42509.0,302430,https://kr.tradingview.com/symbols/KRX-302430/
삼기에너지솔루션즈 *,1830.0,+4.45%,2374667.0,4371.0,664220.0,419050,https://kr.tradingview.com/symbols/KRX-419050/
롯데이노베이트,22400.0,+4.43%,78815.0,1760.0,69194.0,286940,https://kr.tradingview.com/symbols/KRX-286940/
신흥에스이씨 *,5250.0,+4.37%,340159.0,1755.0,168416.0,243840,https://kr.tradingview.com/symbols/KRX-243840/
LK삼양 *,1423.0,+3.94%,1691934.0,2385.0,928060.0,225190,https://kr.tradingview.com/symbols/KRX-225190/
제일일렉트릭 *,10070.0,+3.71%,491573.0,4936.0,265742.0,199820,https://kr.tradingview.com/symbols/KRX-199820/
서연이화,16700.0,+3.02%,2467490.0,41339.0,6910487.0,200880,https://kr.tradingview.com/symbols/KRX-200880/
한중엔시에스 *,44600.0,+2.53%,195435.0,8681.0,127995.0,107640,https://kr.tradingview.com/symbols/KRX-107640/
아이텍 *,6830.0,+1.79%,226473.0,1541.0,166379.0,119830,https://kr.tradingview.com/symbols/KRX-119830/
민테크 *,2380.0,+1.71%,70720.0,166.0,70593.0,452200,https://kr.tradingview.com/symbols/KRX-452200/
그리드위즈 *,15640.0,+1.69%,51144.0,799.0,43453.0,453450,https://kr.tradingview.com/symbols/KRX-453450/
한컴라이프케어,2865.0,+1.24%,157028.0,444.0,196140.0,372910,https://kr.tradingview.com/symbols/KRX-372910/
한빛레이저 *,4490.0,+1.01%,181768.0,813.0,345106.0,452190,https://kr.tradingview.com/symbols/KRX-452190/
켐트로스 *,6690.0,+0.75%,1008040.0,6654.0,1304797.0,220260,https://kr.tradingview.com/symbols/KRX-220260/
디와이덕양,2310.0,+0.43%,268725.0,616.0,595221.0,024900,https://kr.tradingview.com/symbols/KRX-024900/
금호에이치티,520.0,+0.39%,667544.0,351.0,465685.0,214330,https://kr.tradingview.com/symbols/KRX-214330/
엔바이오니아 *,9600.0,+0.21%,12356.0,118.0,18185.0,317870,https://kr.tradingview.com/symbols/KRX-317870/
제이케이시냅스 *,2660.0,0.00%,117829.0,322.0,27520.0,060230,https://kr.tradingview.com/symbols/KRX-060230/
토비스 *,15010.0,-0.07%,118442.0,1773.0,123356.0,051360,https://kr.tradingview.com/symbols/KRX-051360/
아모그린텍 *,5920.0,-0.17%,70677.0,414.0,61736.0,125210,https://kr.tradingview.com/symbols/KRX-125210/
신진에스엠 *,1982.0,-0.55%,30948.0,62.0,45211.0,138070,https://kr.tradingview.com/symbols/KRX-138070/
와이엠텍 *,7760.0,-1.65%,31903.0,246.0,19258.0,273640,https://kr.tradingview.com/symbols/KRX-273640/
엣지파운드리 *,1313.0,-3.03%,537269.0,706.0,760144.0,105550,https://kr.tradingview.com/symbols/KRX-105550/
엠젠솔루션 *,1035.0,-3.36%,295789.0,309.0,252202.0,032790,https://kr.tradingview.com/symbols/KRX-032790/
캐리 *,1550.0,-3.85%,235064.0,364.0,358110.0,313760,https://kr.tradingview.com/symbols/KRX-313760/
