종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
해성옵틱스 *,898.0,+29.96%,4888841.0,4390.0,1213386.0,076610,https://kr.tradingview.com/symbols/KRX-076610/
시선AI *,3495.0,+29.93%,1681035.0,5598.0,1337015.0,340810,https://kr.tradingview.com/symbols/KRX-340810/
파워로직스 *,5870.0,+16.47%,12553080.0,73077.0,4067453.0,047310,https://kr.tradingview.com/symbols/KRX-047310/
에프에스티 *,32100.0,+4.73%,245356.0,7804.0,172614.0,036810,https://kr.tradingview.com/symbols/KRX-036810/
엠씨넥스,31550.0,+4.64%,169049.0,5278.0,71316.0,097520,https://kr.tradingview.com/symbols/KRX-097520/
드림텍,7380.0,+2.50%,928567.0,6843.0,575813.0,192650,https://kr.tradingview.com/symbols/KRX-192650/
포톤 *,2435.0,+1.88%,988493.0,2455.0,2123483.0,208710,https://kr.tradingview.com/symbols/KRX-208710/
유니퀘스트,6350.0,+1.44%,155900.0,992.0,175860.0,077500,https://kr.tradingview.com/symbols/KRX-077500/
드림시큐리티 *,1584.0,+0.89%,481576.0,754.0,434168.0,203650,https://kr.tradingview.com/symbols/KRX-203650/
파트론 *,6980.0,+0.87%,238821.0,1653.0,220586.0,091700,https://kr.tradingview.com/symbols/KRX-091700/
동운아나텍 *,27200.0,+0.74%,162615.0,4377.0,172095.0,094170,https://kr.tradingview.com/symbols/KRX-094170/
시큐브 *,3690.0,+0.54%,6012.0,22.0,16361.0,131090,https://kr.tradingview.com/symbols/KRX-131090/
라온시큐어 *,9140.0,+0.33%,92991.0,843.0,61857.0,042510,https://kr.tradingview.com/symbols/KRX-042510/
슈프리마에이치큐 *,6700.0,+0.30%,30874.0,207.0,23251.0,094840,https://kr.tradingview.com/symbols/KRX-094840/
알체라 *,1979.0,-0.75%,373431.0,735.0,300968.0,347860,https://kr.tradingview.com/symbols/KRX-347860/
유니온바이오메트릭스 *,3105.0,-0.96%,42855.0,132.0,81347.0,203450,https://kr.tradingview.com/symbols/KRX-203450/
아이티센피엔에스 *,2115.0,-2.31%,63468.0,133.0,38018.0,232830,https://kr.tradingview.com/symbols/KRX-232830/
슈프리마 *,35600.0,-3.78%,22774.0,821.0,19649.0,236200,https://kr.tradingview.com/symbols/KRX-236200/
엑스페릭스 *,2680.0,-5.30%,602380.0,1614.0,1468406.0,317770,https://kr.tradingview.com/symbols/KRX-317770/
