종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
보성파워텍 *,7800.0,+30.00%,56265744.0,407591.0,10726567.0,006910,https://kr.tradingview.com/symbols/KRX-006910/,2026.01.20,-135181,297987
우리기술 *,7980.0,+29.97%,58391829.0,440540.0,69989043.0,032820,https://kr.tradingview.com/symbols/KRX-032820/,2026.01.20,936671,-369767
일진파워 *,17610.0,+29.96%,12149070.0,199596.0,753462.0,094820,https://kr.tradingview.com/symbols/KRX-094820/,2026.01.20,17072,-127264
한신기계,4255.0,+29.92%,15627149.0,61125.0,786874.0,011700,https://kr.tradingview.com/symbols/KRX-011700/,2026.01.20,-49,-662648
우진엔텍 *,31050.0,+28.31%,5027968.0,144410.0,513367.0,457550,https://kr.tradingview.com/symbols/KRX-457550/,2026.01.20,37315,-25089
오르비텍 *,5140.0,+25.83%,17310135.0,83200.0,1087456.0,046120,https://kr.tradingview.com/symbols/KRX-046120/,2026.01.20,28604,-411128
한국전력,65400.0,+16.16%,18881532.0,1190861.0,3627467.0,015760,https://kr.tradingview.com/symbols/KRX-015760/,2026.01.20,531620,709004
우진,25200.0,+13.26%,5983690.0,146054.0,1409148.0,105840,https://kr.tradingview.com/symbols/KRX-105840/,2026.01.20,182233,-699806
태웅 *,33500.0,+12.61%,1440043.0,45904.0,233217.0,044490,https://kr.tradingview.com/symbols/KRX-044490/,2026.01.20,98196,-1217
삼미금속 *,8820.0,+11.65%,3935605.0,35465.0,388551.0,012210,https://kr.tradingview.com/symbols/KRX-012210/,2026.01.20,-104434,82100
대우건설,5020.0,+11.31%,31512410.0,157695.0,11464354.0,047040,https://kr.tradingview.com/symbols/KRX-047040/,2026.01.20,4236462,-2849532
지투파워 *,9000.0,+10.97%,5001655.0,44543.0,584018.0,388050,https://kr.tradingview.com/symbols/KRX-388050/,2026.01.20,14011,-25287
서전기전 *,4270.0,+10.34%,635264.0,2617.0,279465.0,189860,https://kr.tradingview.com/symbols/KRX-189860/,2026.01.20,0,22510
에너토크 *,8920.0,+10.12%,6454917.0,58594.0,626685.0,019990,https://kr.tradingview.com/symbols/KRX-019990/,2026.01.20,4000,-86254
한전산업,12870.0,+10.00%,2451803.0,30825.0,288082.0,130660,https://kr.tradingview.com/symbols/KRX-130660/,2026.01.20,29843,-37196
한전기술,144700.0,+8.55%,1871604.0,266369.0,926230.0,052690,https://kr.tradingview.com/symbols/KRX-052690/,2026.01.20,144155,101266
금양그린파워 *,10860.0,+7.95%,131657.0,1363.0,37440.0,282720,https://kr.tradingview.com/symbols/KRX-282720/,2026.01.20,-4462,4767
원일티엔아이 *,18750.0,+7.70%,175660.0,3255.0,49233.0,136150,https://kr.tradingview.com/symbols/KRX-136150/,2026.01.20,-1,53919
대한전선,27950.0,+7.50%,14056229.0,390225.0,1862906.0,001440,https://kr.tradingview.com/symbols/KRX-001440/,2026.01.20,196508,1536979
대창솔루션 *,2350.0,+6.09%,1006848.0,2323.0,452771.0,096350,https://kr.tradingview.com/symbols/KRX-096350/,2026.01.20,0,262974
한전KPS,59900.0,+6.02%,1034535.0,60991.0,434147.0,051600,https://kr.tradingview.com/symbols/KRX-051600/,2026.01.20,117601,201361
SNT에너지,40850.0,+5.97%,327268.0,13175.0,135734.0,100840,https://kr.tradingview.com/symbols/KRX-100840/,2026.01.20,36387,-19318
한텍 *,36300.0,+5.22%,171787.0,6161.0,71143.0,098070,https://kr.tradingview.com/symbols/KRX-098070/,2026.01.20,-1475,16476
한미글로벌,19160.0,+4.64%,313243.0,5936.0,120591.0,053690,https://kr.tradingview.com/symbols/KRX-053690/,2026.01.20,31225,42454
비에이치아이 *,64000.0,+4.58%,3419629.0,218944.0,1310562.0,083650,https://kr.tradingview.com/symbols/KRX-083650/,2026.01.20,106773,-125628
금화피에스시 *,32500.0,+4.33%,33390.0,1062.0,12354.0,036190,https://kr.tradingview.com/symbols/KRX-036190/,2026.01.20,4976,10805
이엠코리아 *,2425.0,+3.85%,951216.0,2283.0,1906614.0,095190,https://kr.tradingview.com/symbols/KRX-095190/,2026.01.20,-26077,79792
디티앤씨 *,2340.0,+3.31%,64363.0,150.0,49707.0,187220,https://kr.tradingview.com/symbols/KRX-187220/,2026.01.20,0,13720
티플랙스 *,3145.0,+3.28%,295156.0,916.0,225423.0,081150,https://kr.tradingview.com/symbols/KRX-081150/,2026.01.20,30000,-34225
HRS *,5150.0,+3.00%,182764.0,929.0,186647.0,036640,https://kr.tradingview.com/symbols/KRX-036640/,2026.01.20,-33794,57520
디케이락 *,10470.0,+2.85%,209864.0,2160.0,111821.0,105740,https://kr.tradingview.com/symbols/KRX-105740/,2026.01.20,-123,52429
수산인더스트리,27100.0,+2.85%,256124.0,6913.0,214574.0,126720,https://kr.tradingview.com/symbols/KRX-126720/,2026.01.20,32376,-20626
에이프로젠,662.0,+2.80%,4144894.0,2757.0,4473872.0,007460,https://kr.tradingview.com/symbols/KRX-007460/,2026.01.20,-1607,205018
광명전기,1529.0,+2.62%,2660340.0,4023.0,2116036.0,017040,https://kr.tradingview.com/symbols/KRX-017040/,2026.01.20,-39,-98124
에스앤더블류 *,4075.0,+2.26%,36495.0,145.0,44722.0,103230,https://kr.tradingview.com/symbols/KRX-103230/,2026.01.20,0,744
강원에너지 *,14300.0,+2.07%,726833.0,10365.0,318262.0,114190,https://kr.tradingview.com/symbols/KRX-114190/,2026.01.20,-516,19444
DL이앤씨,43950.0,+1.15%,377064.0,16517.0,497749.0,375500,https://kr.tradingview.com/symbols/KRX-375500/,2026.01.20,7748,1648
삼영엠텍 *,15280.0,+1.13%,714083.0,10812.0,676725.0,054540,https://kr.tradingview.com/symbols/KRX-054540/,2026.01.20,204,101569
한양이엔지 *,23750.0,+1.06%,130930.0,3063.0,58277.0,045100,https://kr.tradingview.com/symbols/KRX-045100/,2026.01.20,16346,15878
제일테크노스 *,6110.0,+0.83%,37836.0,230.0,28715.0,038010,https://kr.tradingview.com/symbols/KRX-038010/,2026.01.20,162,-5471
SG&G *,1735.0,+0.64%,72234.0,125.0,71946.0,040610,https://kr.tradingview.com/symbols/KRX-040610/,2026.01.20,-11078,10026
대창스틸 *,2110.0,+0.48%,44839.0,94.0,23367.0,140520,https://kr.tradingview.com/symbols/KRX-140520/,2026.01.20,1365,1645
GS건설,18810.0,+0.43%,732795.0,13837.0,733176.0,006360,https://kr.tradingview.com/symbols/KRX-006360/,2026.01.20,-132806,100024
하이록코리아 *,32250.0,0.00%,30322.0,975.0,25400.0,013030,https://kr.tradingview.com/symbols/KRX-013030/,2026.01.20,-3043,7747
두산에너빌리티,95300.0,-0.10%,10795773.0,1028604.0,8509605.0,034020,https://kr.tradingview.com/symbols/KRX-034020/,2026.01.20,-319171,-65761
현대건설,107600.0,-0.28%,2242366.0,242587.0,1759969.0,000720,https://kr.tradingview.com/symbols/KRX-000720/,2026.01.20,-28319,191281
비엠티 *,12000.0,-0.33%,105639.0,1269.0,47899.0,086670,https://kr.tradingview.com/symbols/KRX-086670/,2026.01.20,-71816,50563
성광벤드 *,30050.0,-0.33%,215762.0,6479.0,188319.0,014620,https://kr.tradingview.com/symbols/KRX-014620/,2026.01.20,-56090,64932
태광 *,26850.0,-0.37%,313660.0,8437.0,216696.0,023160,https://kr.tradingview.com/symbols/KRX-023160/,2026.01.20,50689,14634
효성중공업,2344000.0,-0.68%,59460.0,138409.0,51744.0,298040,https://kr.tradingview.com/symbols/KRX-298040/,2026.01.20,5734,1864
LS ELECTRIC,525000.0,-1.50%,230567.0,119878.0,159742.0,010120,https://kr.tradingview.com/symbols/KRX-010120/,2026.01.20,-17918,15599
