종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
우리기술 *,7980.0,+29.97%,58391829.0,440540.0,69989043.0,032820,https://kr.tradingview.com/symbols/KRX-032820/,2026.01.20,936671,-369767
한국전력,65400.0,+16.16%,18881532.0,1190861.0,3627467.0,015760,https://kr.tradingview.com/symbols/KRX-015760/,2026.01.20,531620,709004
태웅 *,33500.0,+12.61%,1440043.0,45904.0,233217.0,044490,https://kr.tradingview.com/symbols/KRX-044490/,2026.01.20,98196,-1217
한전기술,144700.0,+8.55%,1871604.0,266369.0,926230.0,052690,https://kr.tradingview.com/symbols/KRX-052690/,2026.01.20,144155,101266
금양그린파워 *,10860.0,+7.95%,131657.0,1363.0,37440.0,282720,https://kr.tradingview.com/symbols/KRX-282720/,2026.01.20,-4462,4767
대창솔루션 *,2350.0,+6.09%,1006848.0,2323.0,452771.0,096350,https://kr.tradingview.com/symbols/KRX-096350/,2026.01.20,0,262974
동국산업 *,2600.0,+5.48%,216389.0,559.0,206209.0,005160,https://kr.tradingview.com/symbols/KRX-005160/,2026.01.20,1244,77003
삼일씨엔에스,5980.0,+4.18%,113835.0,683.0,35952.0,004440,https://kr.tradingview.com/symbols/KRX-004440/,2026.01.20,-11,20313
효성,159400.0,+4.18%,71670.0,11280.0,61239.0,004800,https://kr.tradingview.com/symbols/KRX-004800/,2026.01.20,-915,33118
대명에너지 *,17630.0,+3.28%,66869.0,1154.0,38865.0,389260,https://kr.tradingview.com/symbols/KRX-389260/,2026.01.20,-169,38106
동국S&C *,1931.0,+3.15%,173438.0,330.0,164959.0,100130,https://kr.tradingview.com/symbols/KRX-100130/,2026.01.20,-4437,71441
POSCO홀딩스,357500.0,+2.88%,897663.0,317371.0,765012.0,005490,https://kr.tradingview.com/symbols/KRX-005490/,2026.01.20,102475,55032
씨에스베어링 *,5890.0,+2.43%,224193.0,1308.0,181172.0,297090,https://kr.tradingview.com/symbols/KRX-297090/,2026.01.20,-17670,91300
LS마린솔루션 *,29450.0,+2.43%,329977.0,9570.0,139473.0,060370,https://kr.tradingview.com/symbols/KRX-060370/,2026.01.20,552,44088
LS,222000.0,+2.30%,188113.0,41318.0,160262.0,006260,https://kr.tradingview.com/symbols/KRX-006260/,2026.01.20,-9614,16382
씨에스윈드,40800.0,+1.87%,161751.0,6547.0,212804.0,112610,https://kr.tradingview.com/symbols/KRX-112610/,2026.01.20,-4970,55180
코오롱글로벌,9000.0,+1.47%,23068.0,206.0,15590.0,003070,https://kr.tradingview.com/symbols/KRX-003070/,2026.01.20,-27,2258
세아제강지주,123100.0,+1.15%,16250.0,2001.0,14250.0,003030,https://kr.tradingview.com/symbols/KRX-003030/,2026.01.20,-6490,4120
삼영엠텍 *,15280.0,+1.13%,714083.0,10812.0,676725.0,054540,https://kr.tradingview.com/symbols/KRX-054540/,2026.01.20,204,101569
스페코 *,2515.0,+0.80%,97737.0,246.0,89945.0,013810,https://kr.tradingview.com/symbols/KRX-013810/,2026.01.20,0,31276
SK이터닉스,20000.0,+0.65%,268247.0,5344.0,240024.0,475150,https://kr.tradingview.com/symbols/KRX-475150/,2026.01.20,-65840,108329
LS에코에너지,38500.0,+0.13%,256980.0,9942.0,260958.0,229640,https://kr.tradingview.com/symbols/KRX-229640/,2026.01.20,2260,38864
씨엔플러스 *,318.0,0.00%,211753.0,68.0,99667.0,115530,https://kr.tradingview.com/symbols/KRX-115530/,2026.01.20,0,-27636
유니슨 *,1034.0,0.00%,1662246.0,1719.0,2955353.0,018000,https://kr.tradingview.com/symbols/KRX-018000/,2026.01.20,-16636,-116405
두산에너빌리티,95300.0,-0.10%,10795773.0,1028604.0,8509605.0,034020,https://kr.tradingview.com/symbols/KRX-034020/,2026.01.20,-319171,-65761
SK오션플랜트,19960.0,-0.20%,383794.0,7651.0,444438.0,100090,https://kr.tradingview.com/symbols/KRX-100090/,2026.01.20,-60172,133204
현대건설,107600.0,-0.28%,2242366.0,242587.0,1759969.0,000720,https://kr.tradingview.com/symbols/KRX-000720/,2026.01.20,-28319,191281
세아제강,117000.0,-0.34%,8307.0,981.0,7035.0,306200,https://kr.tradingview.com/symbols/KRX-306200/,2026.01.20,-2334,4349
효성중공업,2344000.0,-0.68%,59460.0,138409.0,51744.0,298040,https://kr.tradingview.com/symbols/KRX-298040/,2026.01.20,5734,1864
LS머트리얼즈 *,13400.0,-0.89%,835551.0,11216.0,1385098.0,417200,https://kr.tradingview.com/symbols/KRX-417200/,2026.01.20,-2743,-13946
포메탈 *,5120.0,-1.92%,1007599.0,5190.0,2486105.0,119500,https://kr.tradingview.com/symbols/KRX-119500/,2026.01.20,1,16468
케이피에프 *,6240.0,-2.65%,1989545.0,12564.0,2509628.0,024880,https://kr.tradingview.com/symbols/KRX-024880/,2026.01.20,-32415,-462185
세진중공업,20050.0,-3.37%,440177.0,8884.0,530553.0,075580,https://kr.tradingview.com/symbols/KRX-075580/,2026.01.20,2518,-68693
서암기계공업 *,5450.0,-3.88%,950488.0,5316.0,5177912.0,100660,https://kr.tradingview.com/symbols/KRX-100660/,2026.01.20,0,-14282
우림피티에스 *,20100.0,-6.51%,1118145.0,22847.0,1239690.0,101170,https://kr.tradingview.com/symbols/KRX-101170/,2026.01.20,-3558,22333
