종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
우리기술 *,7980.0,+29.97%,58391829.0,440540.0,69989043.0,032820,https://kr.tradingview.com/symbols/KRX-032820/,2026.01.20,936671,-369767
그린광학 *,36550.0,+29.84%,6955655.0,234138.0,2141644.0,0015G0,https://kr.tradingview.com/symbols/KRX-000150/,2026.01.20,20733,40585
파이버프로 *,15650.0,+18.20%,4528251.0,68710.0,942984.0,368770,https://kr.tradingview.com/symbols/KRX-368770/,2026.01.20,37932,61085
센서뷰 *,3375.0,+15.19%,11901682.0,39975.0,11983059.0,321370,https://kr.tradingview.com/symbols/KRX-321370/,2026.01.20,-587,-114966
삼미금속 *,8820.0,+11.65%,3935605.0,35465.0,388551.0,012210,https://kr.tradingview.com/symbols/KRX-012210/,2026.01.20,-104434,82100
쎄트렉아이 *,134800.0,+9.95%,528252.0,68872.0,300234.0,099320,https://kr.tradingview.com/symbols/KRX-099320/,2026.01.20,40542,40393
RF시스템즈 *,6150.0,+9.24%,950346.0,5867.0,234533.0,474610,https://kr.tradingview.com/symbols/KRX-474610/,2026.01.20,19533,140650
퍼스텍,4845.0,+9.24%,11118797.0,53169.0,9919398.0,010820,https://kr.tradingview.com/symbols/KRX-010820/,2026.01.20,-4497,89199
제노코 *,26400.0,+8.64%,1521497.0,40234.0,349896.0,361390,https://kr.tradingview.com/symbols/KRX-361390/,2026.01.20,12798,-891
켄코아에어로스페이스 *,22450.0,+7.16%,2041250.0,45125.0,848211.0,274090,https://kr.tradingview.com/symbols/KRX-274090/,2026.01.20,21236,7174
아이쓰리시스템 *,88600.0,+7.13%,170534.0,14814.0,112754.0,214430,https://kr.tradingview.com/symbols/KRX-214430/,2026.01.20,-169,4594
비츠로테크 *,11420.0,+6.43%,3077228.0,34554.0,1744675.0,042370,https://kr.tradingview.com/symbols/KRX-042370/,2026.01.20,-1181,-49374
대한광통신 *,3235.0,+6.24%,23875270.0,76096.0,9595878.0,010170,https://kr.tradingview.com/symbols/KRX-010170/,2026.01.20,-37485,1047599
휴니드,8350.0,+3.99%,331166.0,2731.0,189034.0,005870,https://kr.tradingview.com/symbols/KRX-005870/,2026.01.20,-11,69204
이엠코리아 *,2425.0,+3.85%,951216.0,2283.0,1906614.0,095190,https://kr.tradingview.com/symbols/KRX-095190/,2026.01.20,-26077,79792
웰크론 *,1613.0,+3.40%,1498704.0,2592.0,70637.0,065950,https://kr.tradingview.com/symbols/KRX-065950/,2026.01.20,0,-75434
RF머트리얼즈 *,23300.0,+3.10%,438546.0,10015.0,292610.0,327260,https://kr.tradingview.com/symbols/KRX-327260/,2026.01.20,-39982,43643
YTN *,3645.0,+2.53%,218733.0,794.0,173996.0,040300,https://kr.tradingview.com/symbols/KRX-040300/,2026.01.20,0,22872
삼양컴텍 *,13940.0,+2.35%,484554.0,6666.0,298082.0,484590,https://kr.tradingview.com/symbols/KRX-484590/,2026.01.20,3591,-139
한컴라이프케어,2930.0,+2.27%,274379.0,804.0,157819.0,372910,https://kr.tradingview.com/symbols/KRX-372910/,2026.01.20,-6,37768
웨이비스 *,10700.0,+2.20%,300624.0,3213.0,112337.0,289930,https://kr.tradingview.com/symbols/KRX-289930/,2026.01.20,10382,-30146
코콤 *,3470.0,+2.06%,34396.0,117.0,34179.0,015710,https://kr.tradingview.com/symbols/KRX-015710/,2026.01.20,0,-6119
아이티센엔텍 *,1005.0,+1.93%,201995.0,201.0,324470.0,010280,https://kr.tradingview.com/symbols/KRX-010280/,2026.01.20,0,64298
카티스 *,817.0,+1.87%,621990.0,504.0,289176.0,140430,https://kr.tradingview.com/symbols/KRX-140430/,2026.01.20,0,76544
현대로템,218500.0,+1.63%,1246791.0,274764.0,569588.0,064350,https://kr.tradingview.com/symbols/KRX-064350/,2026.01.20,108813,22432
국영지앤엠 *,1288.0,+1.42%,94310.0,121.0,143121.0,006050,https://kr.tradingview.com/symbols/KRX-006050/,2026.01.20,0,-1723
웨이브일렉트로 *,4665.0,+1.41%,50042.0,231.0,77426.0,095270,https://kr.tradingview.com/symbols/KRX-095270/,2026.01.20,-10908,-2211
기산텔레콤 *,1897.0,+1.17%,32170.0,61.0,44983.0,035460,https://kr.tradingview.com/symbols/KRX-035460/,2026.01.20,0,3438
풍산,124700.0,+1.05%,417340.0,52464.0,400451.0,103140,https://kr.tradingview.com/symbols/KRX-103140/,2026.01.20,12253,89021
평화산업,996.0,+0.91%,239713.0,235.0,253698.0,090080,https://kr.tradingview.com/symbols/KRX-090080/,2026.01.20,-83,22671
한일단조 *,2400.0,+0.84%,1357486.0,3250.0,990460.0,024740,https://kr.tradingview.com/symbols/KRX-024740/,2026.01.20,200,117468
스페코 *,2515.0,+0.80%,97737.0,246.0,89945.0,013810,https://kr.tradingview.com/symbols/KRX-013810/,2026.01.20,0,31276
대한항공,24450.0,+0.62%,3120823.0,75752.0,4425386.0,003490,https://kr.tradingview.com/symbols/KRX-003490/,2026.01.20,196867,274542
덕산하이메탈 *,5810.0,+0.52%,424722.0,2451.0,315054.0,077360,https://kr.tradingview.com/symbols/KRX-077360/,2026.01.20,12174,76213
풍산홀딩스,39200.0,+0.51%,28759.0,1129.0,18166.0,005810,https://kr.tradingview.com/symbols/KRX-005810/,2026.01.20,-4941,8518
코츠테크놀로지 *,19730.0,+0.41%,137911.0,2721.0,127470.0,448710,https://kr.tradingview.com/symbols/KRX-448710/,2026.01.20,6213,-1203
이노시뮬레이션 *,3885.0,+0.39%,24470.0,95.0,28402.0,274400,https://kr.tradingview.com/symbols/KRX-274400/,2026.01.20,0,3999
빅텍 *,3905.0,+0.13%,724958.0,2834.0,565019.0,065450,https://kr.tradingview.com/symbols/KRX-065450/,2026.01.20,1,145534
한국항공우주,165700.0,+0.12%,1188045.0,197508.0,1481943.0,047810,https://kr.tradingview.com/symbols/KRX-047810/,2026.01.20,-81,-76321
