종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
보성파워텍 *,7800.0,+30.00%,56265744.0,407591.0,10726567.0,006910,https://kr.tradingview.com/symbols/KRX-006910/,2026.01.20,-135181,297987
캐리 *,1709.0,+10.26%,316956.0,531.0,235748.0,313760,https://kr.tradingview.com/symbols/KRX-313760/,2026.01.20,0,4235
그리드위즈 *,16320.0,+4.35%,167672.0,2747.0,51401.0,453450,https://kr.tradingview.com/symbols/KRX-453450/,2026.01.20,-9891,665
와이엠텍 *,8070.0,+3.99%,38917.0,313.0,32226.0,273640,https://kr.tradingview.com/symbols/KRX-273640/,2026.01.20,-1,18338
아이엘 *,3985.0,+2.97%,1355610.0,5205.0,1916949.0,307180,https://kr.tradingview.com/symbols/KRX-307180/,2026.01.20,-49069,-175625
SK네트웍스,4605.0,+2.91%,739848.0,3389.0,478116.0,001740,https://kr.tradingview.com/symbols/KRX-001740/,2026.01.20,3293,398673
원익피앤이 *,3950.0,+2.86%,382230.0,1492.0,493930.0,217820,https://kr.tradingview.com/symbols/KRX-217820/,2026.01.20,1188,92887
솔루엠,15310.0,+2.75%,180484.0,2764.0,135585.0,248070,https://kr.tradingview.com/symbols/KRX-248070/,2026.01.20,803,23404
LG유플러스,15430.0,+2.46%,1014310.0,15531.0,759293.0,032640,https://kr.tradingview.com/symbols/KRX-032640/,2026.01.20,114505,17687
와이투솔루션,4330.0,+2.36%,1083193.0,4739.0,935908.0,011690,https://kr.tradingview.com/symbols/KRX-011690/,2026.01.20,-15,137674
LG헬로비전,2320.0,+2.20%,194068.0,449.0,127208.0,037560,https://kr.tradingview.com/symbols/KRX-037560/,2026.01.20,-1167,37070
휴맥스홀딩스 *,1890.0,+2.16%,35634.0,65.0,32275.0,028080,https://kr.tradingview.com/symbols/KRX-028080/,2026.01.20,0,-245
NICE인프라 *,4090.0,+2.12%,63472.0,257.0,96200.0,063570,https://kr.tradingview.com/symbols/KRX-063570/,2026.01.20,388,17539
위너스 *,10180.0,+1.80%,14058.0,143.0,15996.0,479960,https://kr.tradingview.com/symbols/KRX-479960/,2026.01.20,0,3539
위츠 *,6820.0,+0.89%,44392.0,301.0,78825.0,459100,https://kr.tradingview.com/symbols/KRX-459100/,2026.01.20,0,12739
토비스 *,15140.0,+0.87%,95282.0,1444.0,118442.0,051360,https://kr.tradingview.com/symbols/KRX-051360/,2026.01.20,-43666,44255
디티씨 *,3045.0,+0.66%,40789.0,125.0,35892.0,066670,https://kr.tradingview.com/symbols/KRX-066670/,2026.01.20,0,4384
SK,295000.0,+0.34%,261825.0,76770.0,198063.0,034730,https://kr.tradingview.com/symbols/KRX-034730/,2026.01.20,-1061,16852
알티캐스트 *,591.0,0.00%,260149.0,150.0,188899.0,085810,https://kr.tradingview.com/symbols/KRX-085810/,2026.01.20,0,32650
현대차,479000.0,-0.21%,5202898.0,2488061.0,5990850.0,005380,https://kr.tradingview.com/symbols/KRX-005380/,2026.01.20,-437066,-986272
모트렉스 *,9870.0,-0.70%,470103.0,4596.0,506027.0,118990,https://kr.tradingview.com/symbols/KRX-118990/,2026.01.20,0,60371
휴맥스 *,875.0,-0.79%,119918.0,105.0,184520.0,115160,https://kr.tradingview.com/symbols/KRX-115160/,2026.01.20,6296,13911
롯데이노베이트,21800.0,-2.68%,45596.0,995.0,78815.0,286940,https://kr.tradingview.com/symbols/KRX-286940/,2026.01.20,6096,3643
동양이엔피 *,28350.0,-3.24%,110824.0,3178.0,69977.0,079960,https://kr.tradingview.com/symbols/KRX-079960/,2026.01.20,2333,-5972
피에스텍 *,15600.0,-3.29%,986828.0,15131.0,2368698.0,002230,https://kr.tradingview.com/symbols/KRX-002230/,2026.01.20,78,1835
기아,163900.0,-3.30%,3213797.0,535976.0,4040319.0,000270,https://kr.tradingview.com/symbols/KRX-000270/,2026.01.20,-96212,-608738
