종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
우리기술 *,7980.0,+29.97%,58391829.0,440540.0,69989043.0,032820,https://kr.tradingview.com/symbols/KRX-032820/
대우건설,5020.0,+11.31%,31512410.0,157695.0,11464354.0,047040,https://kr.tradingview.com/symbols/KRX-047040/
에너토크 *,8920.0,+10.12%,6454917.0,58594.0,626685.0,019990,https://kr.tradingview.com/symbols/KRX-019990/
비츠로시스 *,455.0,+9.64%,3571391.0,1579.0,1146807.0,054220,https://kr.tradingview.com/symbols/KRX-054220/
KBI동양철관,1897.0,+8.34%,11178675.0,21151.0,2255592.0,008970,https://kr.tradingview.com/symbols/KRX-008970/
코오롱생명과학 *,48600.0,+3.18%,48612.0,2364.0,52729.0,102940,https://kr.tradingview.com/symbols/KRX-102940/
하이스틸,3495.0,+2.95%,194126.0,675.0,100637.0,071090,https://kr.tradingview.com/symbols/KRX-071090/
삼성E&A,25700.0,+2.59%,620163.0,15819.0,716950.0,028050,https://kr.tradingview.com/symbols/KRX-028050/
뉴보텍 *,1075.0,+1.99%,254174.0,273.0,114431.0,060260,https://kr.tradingview.com/symbols/KRX-060260/
시노펙스 *,5720.0,+1.78%,707677.0,4057.0,401867.0,025320,https://kr.tradingview.com/symbols/KRX-025320/
코오롱글로벌,9000.0,+1.47%,23068.0,206.0,15590.0,003070,https://kr.tradingview.com/symbols/KRX-003070/
KG케미칼,4905.0,+1.34%,423861.0,2082.0,299763.0,001390,https://kr.tradingview.com/symbols/KRX-001390/
도화엔지니어링,6170.0,+1.15%,68590.0,421.0,31246.0,002150,https://kr.tradingview.com/symbols/KRX-002150/
코웨이,77200.0,+1.05%,332159.0,25493.0,275880.0,021240,https://kr.tradingview.com/symbols/KRX-021240/
유신 *,22400.0,+0.90%,24169.0,539.0,11039.0,054930,https://kr.tradingview.com/symbols/KRX-054930/
한국주철관,6670.0,+0.76%,44915.0,298.0,84193.0,000970,https://kr.tradingview.com/symbols/KRX-000970/
자연과환경 *,609.0,+0.66%,652154.0,398.0,720983.0,043910,https://kr.tradingview.com/symbols/KRX-043910/
GS건설,18810.0,+0.43%,732795.0,13837.0,733176.0,006360,https://kr.tradingview.com/symbols/KRX-006360/
금호건설,4195.0,+0.36%,100389.0,418.0,147042.0,002990,https://kr.tradingview.com/symbols/KRX-002990/
엔바이오니아 *,9620.0,+0.21%,24327.0,235.0,12409.0,317870,https://kr.tradingview.com/symbols/KRX-317870/
한국종합기술,4600.0,0.00%,12694.0,58.0,20664.0,023350,https://kr.tradingview.com/symbols/KRX-023350/
두산에너빌리티,95300.0,-0.10%,10795773.0,1028604.0,8509605.0,034020,https://kr.tradingview.com/symbols/KRX-034020/
웰크론한텍 *,1009.0,-0.10%,65572.0,66.0,59263.0,076080,https://kr.tradingview.com/symbols/KRX-076080/
태영건설,1649.0,-0.24%,501405.0,826.0,1393016.0,009410,https://kr.tradingview.com/symbols/KRX-009410/
티케이지애강 *,687.0,-0.58%,59531.0,41.0,63537.0,022220,https://kr.tradingview.com/symbols/KRX-022220/
와토스코리아 *,6760.0,-0.59%,2663.0,18.0,14044.0,079000,https://kr.tradingview.com/symbols/KRX-079000/
CSA 코스믹 *,458.0,-0.65%,506066.0,229.0,411039.0,083660,https://kr.tradingview.com/symbols/KRX-083660/
