종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
쎄트렉아이 *,134800.0,+9.95%,528252.0,68872.0,300234.0,099320,https://kr.tradingview.com/symbols/KRX-099320/
퍼스텍,4845.0,+9.24%,11118797.0,53169.0,9919398.0,010820,https://kr.tradingview.com/symbols/KRX-010820/
켄코아에어로스페이스 *,22450.0,+7.16%,2041250.0,45125.0,848211.0,274090,https://kr.tradingview.com/symbols/KRX-274090/
한컴위드 *,4535.0,+5.71%,965784.0,4341.0,471081.0,054920,https://kr.tradingview.com/symbols/KRX-054920/
휴니드,8350.0,+3.99%,331166.0,2731.0,189034.0,005870,https://kr.tradingview.com/symbols/KRX-005870/
디티앤씨 *,2340.0,+3.31%,64363.0,150.0,49707.0,187220,https://kr.tradingview.com/symbols/KRX-187220/
KT,55200.0,+2.99%,551168.0,30287.0,906507.0,030200,https://kr.tradingview.com/symbols/KRX-030200/
코콤 *,3470.0,+2.06%,34396.0,117.0,34179.0,015710,https://kr.tradingview.com/symbols/KRX-015710/
베셀 *,1201.0,+1.95%,171591.0,204.0,165112.0,177350,https://kr.tradingview.com/symbols/KRX-177350/
네온테크 *,2565.0,+1.58%,861467.0,2227.0,563511.0,306620,https://kr.tradingview.com/symbols/KRX-306620/
피씨디렉트 *,2010.0,+1.52%,45468.0,90.0,19663.0,051380,https://kr.tradingview.com/symbols/KRX-051380/
인지컨트롤스,7330.0,+1.52%,349787.0,2544.0,240524.0,023800,https://kr.tradingview.com/symbols/KRX-023800/
제이씨현시스템 *,4085.0,+1.49%,140590.0,570.0,153005.0,033320,https://kr.tradingview.com/symbols/KRX-033320/
매커스 *,21300.0,+1.43%,37001.0,786.0,26686.0,093520,https://kr.tradingview.com/symbols/KRX-093520/
티쓰리 *,1976.0,+1.28%,192824.0,381.0,265686.0,204610,https://kr.tradingview.com/symbols/KRX-204610/
기산텔레콤 *,1897.0,+1.17%,32170.0,61.0,44983.0,035460,https://kr.tradingview.com/symbols/KRX-035460/
사토시홀딩스 *,2060.0,+0.98%,160792.0,329.0,191955.0,223310,https://kr.tradingview.com/symbols/KRX-223310/
스마트레이더시스템 *,8370.0,+0.72%,341557.0,2802.0,257609.0,424960,https://kr.tradingview.com/symbols/KRX-424960/
대한항공,24450.0,+0.62%,3120823.0,75752.0,4425386.0,003490,https://kr.tradingview.com/symbols/KRX-003490/
덕산하이메탈 *,5810.0,+0.52%,424722.0,2451.0,315054.0,077360,https://kr.tradingview.com/symbols/KRX-077360/
한국항공우주,165700.0,+0.12%,1188045.0,197508.0,1481943.0,047810,https://kr.tradingview.com/symbols/KRX-047810/
한빛소프트 *,1202.0,+0.08%,86837.0,103.0,84840.0,047080,https://kr.tradingview.com/symbols/KRX-047080/
에스코넥 *,718.0,-0.28%,616537.0,446.0,540428.0,096630,https://kr.tradingview.com/symbols/KRX-096630/
엠씨넥스,31450.0,-0.32%,115572.0,3647.0,169049.0,097520,https://kr.tradingview.com/symbols/KRX-097520/
한화시스템,90500.0,-0.33%,3518034.0,324799.0,2221542.0,272210,https://kr.tradingview.com/symbols/KRX-272210/
LIG넥스원,550000.0,-0.72%,149649.0,83789.0,124923.0,079550,https://kr.tradingview.com/symbols/KRX-079550/
에이럭스 *,10470.0,-0.76%,122549.0,1283.0,211408.0,475580,https://kr.tradingview.com/symbols/KRX-475580/
한화에어로스페이스,1309000.0,-1.58%,219761.0,292657.0,194888.0,012450,https://kr.tradingview.com/symbols/KRX-012450/
