종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
앱튼 *,455.0,+17.57%,30310796.0,14184.0,2826330.0,270520,https://kr.tradingview.com/symbols/KRX-270520/
중앙첨단소재 *,2270.0,+4.85%,2632179.0,5931.0,1980523.0,051980,https://kr.tradingview.com/symbols/KRX-051980/
광무 *,2370.0,+4.41%,498914.0,1163.0,449118.0,029480,https://kr.tradingview.com/symbols/KRX-029480/
포스코퓨처엠,205000.0,+4.06%,691547.0,142431.0,450354.0,003670,https://kr.tradingview.com/symbols/KRX-003670/
에코프로 *,98300.0,+3.47%,3536949.0,346966.0,1854083.0,086520,https://kr.tradingview.com/symbols/KRX-086520/
POSCO홀딩스,357500.0,+2.88%,897663.0,317371.0,765012.0,005490,https://kr.tradingview.com/symbols/KRX-005490/
천보 *,50200.0,+2.55%,115586.0,5763.0,74239.0,278280,https://kr.tradingview.com/symbols/KRX-278280/
유일에너테크 *,1044.0,+2.35%,2880868.0,3000.0,3863056.0,340930,https://kr.tradingview.com/symbols/KRX-340930/
하이드로리튬 *,1910.0,+2.14%,1363238.0,2621.0,1131462.0,101670,https://kr.tradingview.com/symbols/KRX-101670/
강원에너지 *,14300.0,+2.07%,726833.0,10365.0,318262.0,114190,https://kr.tradingview.com/symbols/KRX-114190/
대보마그네틱 *,12800.0,+1.75%,23541.0,298.0,34992.0,290670,https://kr.tradingview.com/symbols/KRX-290670/
LG에너지솔루션,403000.0,+1.13%,455475.0,183995.0,408315.0,373220,https://kr.tradingview.com/symbols/KRX-373220/
후성,7600.0,+0.93%,659044.0,4999.0,611336.0,093370,https://kr.tradingview.com/symbols/KRX-093370/
성일하이텍 *,51200.0,+0.79%,217728.0,11222.0,351088.0,365340,https://kr.tradingview.com/symbols/KRX-365340/
세방전지,63300.0,+0.64%,38766.0,2450.0,38649.0,004490,https://kr.tradingview.com/symbols/KRX-004490/
코스모화학,14940.0,+0.54%,252946.0,3785.0,338119.0,005420,https://kr.tradingview.com/symbols/KRX-005420/
LG화학,339000.0,+0.44%,267292.0,90774.0,289896.0,051910,https://kr.tradingview.com/symbols/KRX-051910/
엔켐 *,63100.0,+0.32%,240969.0,15219.0,260229.0,348370,https://kr.tradingview.com/symbols/KRX-348370/
리튬포어스 *,859.0,+0.12%,482924.0,411.0,340466.0,073570,https://kr.tradingview.com/symbols/KRX-073570/
미래나노텍 *,10650.0,0.00%,283510.0,3018.0,223894.0,095500,https://kr.tradingview.com/symbols/KRX-095500/
새빗켐 *,30500.0,-0.97%,82264.0,2536.0,227859.0,107600,https://kr.tradingview.com/symbols/KRX-107600/
포스코엠텍 *,18060.0,-2.48%,863841.0,15698.0,965423.0,009520,https://kr.tradingview.com/symbols/KRX-009520/
미래산업,13200.0,-2.94%,51222.0,679.0,130399.0,025560,https://kr.tradingview.com/symbols/KRX-025560/
