종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
비츠로시스 *,455.0,+9.64%,3571391.0,1579.0,1146807.0,054220,https://kr.tradingview.com/symbols/KRX-054220/
대한전선,27950.0,+7.50%,14056229.0,390225.0,1862906.0,001440,https://kr.tradingview.com/symbols/KRX-001440/
세아홀딩스,155000.0,+6.02%,6667.0,1019.0,4994.0,058650,https://kr.tradingview.com/symbols/KRX-058650/
SNT에너지,40850.0,+5.97%,327268.0,13175.0,135734.0,100840,https://kr.tradingview.com/symbols/KRX-100840/
한미글로벌,19160.0,+4.64%,313243.0,5936.0,120591.0,053690,https://kr.tradingview.com/symbols/KRX-053690/
슈프리마 *,37150.0,+4.35%,91151.0,3435.0,22774.0,236200,https://kr.tradingview.com/symbols/KRX-236200/
다스코,3365.0,+3.54%,114862.0,379.0,50430.0,058730,https://kr.tradingview.com/symbols/KRX-058730/
SM C&C *,1298.0,+3.02%,1025337.0,1340.0,283274.0,048550,https://kr.tradingview.com/symbols/KRX-048550/
세아베스틸지주,73600.0,+2.94%,473802.0,34835.0,305799.0,001430,https://kr.tradingview.com/symbols/KRX-001430/
세아특수강,18780.0,+2.51%,71033.0,1330.0,35832.0,019440,https://kr.tradingview.com/symbols/KRX-019440/
삼성물산,296000.0,+2.42%,501005.0,148863.0,324276.0,028260,https://kr.tradingview.com/symbols/KRX-028260/
제이엔케이글로벌 *,3650.0,+2.24%,93959.0,341.0,109427.0,126880,https://kr.tradingview.com/symbols/KRX-126880/
희림 *,4475.0,+1.59%,75657.0,338.0,46028.0,037440,https://kr.tradingview.com/symbols/KRX-037440/
수성웹툰 *,2620.0,+1.55%,119484.0,311.0,100908.0,084180,https://kr.tradingview.com/symbols/KRX-084180/
코오롱글로벌,9000.0,+1.47%,23068.0,206.0,15590.0,003070,https://kr.tradingview.com/symbols/KRX-003070/
에스와이 *,2820.0,+1.26%,224298.0,630.0,132372.0,109610,https://kr.tradingview.com/symbols/KRX-109610/
도화엔지니어링,6170.0,+1.15%,68590.0,421.0,31246.0,002150,https://kr.tradingview.com/symbols/KRX-002150/
성신양회,9640.0,+1.05%,77651.0,743.0,42391.0,004980,https://kr.tradingview.com/symbols/KRX-004980/
유신 *,22400.0,+0.90%,24169.0,539.0,11039.0,054930,https://kr.tradingview.com/symbols/KRX-054930/
SM Life Design *,1747.0,+0.58%,163848.0,286.0,128684.0,063440,https://kr.tradingview.com/symbols/KRX-063440/
대모 *,7560.0,+0.40%,105012.0,790.0,57198.0,317850,https://kr.tradingview.com/symbols/KRX-317850/
LS에코에너지,38500.0,+0.13%,256980.0,9942.0,260958.0,229640,https://kr.tradingview.com/symbols/KRX-229640/
인디에프,797.0,-0.13%,205651.0,163.0,146960.0,014990,https://kr.tradingview.com/symbols/KRX-014990/
현대건설,107600.0,-0.28%,2242366.0,242587.0,1759969.0,000720,https://kr.tradingview.com/symbols/KRX-000720/
비엠티 *,12000.0,-0.33%,105639.0,1269.0,47899.0,086670,https://kr.tradingview.com/symbols/KRX-086670/
에스엠 *,113400.0,-0.53%,169725.0,19366.0,133562.0,041510,https://kr.tradingview.com/symbols/KRX-041510/
