종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
대우건설,5020.0,+11.31%,31512410.0,157695.0,11464354.0,047040,https://kr.tradingview.com/symbols/KRX-047040/
다원시스 *,2550.0,+10.87%,2276486.0,5639.0,729358.0,068240,https://kr.tradingview.com/symbols/KRX-068240/
우원개발 *,4170.0,+10.76%,1425722.0,5821.0,943603.0,046940,https://kr.tradingview.com/symbols/KRX-046940/
폴라리스AI *,1868.0,+9.88%,15063299.0,29299.0,1018730.0,039980,https://kr.tradingview.com/symbols/KRX-039980/
비츠로시스 *,455.0,+9.64%,3571391.0,1579.0,1146807.0,054220,https://kr.tradingview.com/symbols/KRX-054220/
세명전기 *,9870.0,+7.05%,2515113.0,24469.0,324229.0,017510,https://kr.tradingview.com/symbols/KRX-017510/
동부건설,5520.0,+2.79%,59090.0,323.0,58190.0,005960,https://kr.tradingview.com/symbols/KRX-005960/
특수건설 *,6500.0,+2.04%,184557.0,1191.0,142498.0,026150,https://kr.tradingview.com/symbols/KRX-026150/
남광토건,8210.0,+1.99%,40756.0,333.0,22309.0,001260,https://kr.tradingview.com/symbols/KRX-001260/
HL D&I,2715.0,+1.69%,131439.0,353.0,182374.0,014790,https://kr.tradingview.com/symbols/KRX-014790/
현대로템,218500.0,+1.63%,1246791.0,274764.0,569588.0,064350,https://kr.tradingview.com/symbols/KRX-064350/
동아지질,17230.0,+1.29%,33906.0,582.0,26043.0,028100,https://kr.tradingview.com/symbols/KRX-028100/
서한 *,874.0,+1.27%,133708.0,116.0,142124.0,011370,https://kr.tradingview.com/symbols/KRX-011370/
DL이앤씨,43950.0,+1.15%,377064.0,16517.0,497749.0,375500,https://kr.tradingview.com/symbols/KRX-375500/
도화엔지니어링,6170.0,+1.15%,68590.0,421.0,31246.0,002150,https://kr.tradingview.com/symbols/KRX-002150/
삼현철강 *,4360.0,+0.93%,9654.0,42.0,23992.0,017480,https://kr.tradingview.com/symbols/KRX-017480/
유신 *,22400.0,+0.90%,24169.0,539.0,11039.0,054930,https://kr.tradingview.com/symbols/KRX-054930/
유진기업 *,3650.0,+0.83%,282904.0,1032.0,251303.0,023410,https://kr.tradingview.com/symbols/KRX-023410/
대아티아이 *,4345.0,+0.81%,728718.0,3128.0,1015350.0,045390,https://kr.tradingview.com/symbols/KRX-045390/
GS건설,18810.0,+0.43%,732795.0,13837.0,733176.0,006360,https://kr.tradingview.com/symbols/KRX-006360/
금호건설,4195.0,+0.36%,100389.0,418.0,147042.0,002990,https://kr.tradingview.com/symbols/KRX-002990/
태영건설,1649.0,-0.24%,501405.0,826.0,1393016.0,009410,https://kr.tradingview.com/symbols/KRX-009410/
현대건설,107600.0,-0.28%,2242366.0,242587.0,1759969.0,000720,https://kr.tradingview.com/symbols/KRX-000720/
HDC현대산업개발,20350.0,-0.73%,221878.0,4541.0,156980.0,294870,https://kr.tradingview.com/symbols/KRX-294870/
HJ중공업,25250.0,-3.63%,1476954.0,37001.0,1652505.0,097230,https://kr.tradingview.com/symbols/KRX-097230/
