종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
엔젠바이오 *,1952.0,+29.96%,5830195.0,10950.0,160550.0,354200,https://kr.tradingview.com/symbols/KRX-354200/
모나리자,2210.0,+9.14%,8652404.0,20507.0,111964.0,012690,https://kr.tradingview.com/symbols/KRX-012690/
국전약품 *,3260.0,+4.65%,188794.0,614.0,108785.0,307750,https://kr.tradingview.com/symbols/KRX-307750/
젬백스 *,24300.0,+4.52%,529588.0,13086.0,254789.0,082270,https://kr.tradingview.com/symbols/KRX-082270/
수젠텍 *,6100.0,+4.27%,275824.0,1680.0,116383.0,253840,https://kr.tradingview.com/symbols/KRX-253840/
큐라클 *,9590.0,+4.24%,2971155.0,30557.0,549355.0,365270,https://kr.tradingview.com/symbols/KRX-365270/
삼성제약,1601.0,+4.23%,2989602.0,4793.0,2895465.0,001360,https://kr.tradingview.com/symbols/KRX-001360/
샤페론 *,1864.0,+3.96%,1363200.0,2517.0,1155073.0,378800,https://kr.tradingview.com/symbols/KRX-378800/
에이프로젠바이오로직스,490.0,+3.16%,775269.0,379.0,796540.0,003060,https://kr.tradingview.com/symbols/KRX-003060/
씨티씨바이오 *,4465.0,+3.12%,127274.0,564.0,41348.0,060590,https://kr.tradingview.com/symbols/KRX-060590/
오스코텍 *,44500.0,+3.01%,548612.0,24742.0,294678.0,039200,https://kr.tradingview.com/symbols/KRX-039200/
이수앱지스 *,5720.0,+2.88%,1313360.0,7757.0,262766.0,086890,https://kr.tradingview.com/symbols/KRX-086890/
이연제약,10780.0,+2.76%,63246.0,680.0,38642.0,102460,https://kr.tradingview.com/symbols/KRX-102460/
보령,9010.0,+2.74%,417710.0,3812.0,138986.0,003850,https://kr.tradingview.com/symbols/KRX-003850/
대웅제약,164900.0,+2.61%,43652.0,7202.0,40537.0,069620,https://kr.tradingview.com/symbols/KRX-069620/
종근당,85300.0,+2.52%,120072.0,10344.0,24009.0,185750,https://kr.tradingview.com/symbols/KRX-185750/
화일약품 *,1080.0,+2.47%,436549.0,470.0,281923.0,061250,https://kr.tradingview.com/symbols/KRX-061250/
네이처셀 *,20100.0,+2.34%,424947.0,8472.0,416184.0,007390,https://kr.tradingview.com/symbols/KRX-007390/
에이비엘바이오 *,201000.0,+2.19%,1467630.0,300448.0,684462.0,298380,https://kr.tradingview.com/symbols/KRX-298380/
진양제약 *,4910.0,+2.19%,40878.0,199.0,62925.0,007370,https://kr.tradingview.com/symbols/KRX-007370/
삼진제약,19430.0,+1.99%,43660.0,844.0,30992.0,005500,https://kr.tradingview.com/symbols/KRX-005500/
동구바이오제약 *,5170.0,+1.97%,234926.0,1216.0,138353.0,006620,https://kr.tradingview.com/symbols/KRX-006620/
일진홀딩스,7380.0,+1.79%,277853.0,2042.0,244514.0,015860,https://kr.tradingview.com/symbols/KRX-015860/
대화제약 *,16670.0,+1.77%,126155.0,2103.0,97449.0,067080,https://kr.tradingview.com/symbols/KRX-067080/
펩트론 *,246000.0,+1.65%,173310.0,42503.0,259867.0,087010,https://kr.tradingview.com/symbols/KRX-087010/
환인제약,10700.0,+1.61%,19521.0,208.0,21404.0,016580,https://kr.tradingview.com/symbols/KRX-016580/
보로노이 *,193000.0,+1.42%,101944.0,19780.0,115955.0,310210,https://kr.tradingview.com/symbols/KRX-310210/
유한양행,107400.0,+1.42%,435354.0,46766.0,511849.0,000100,https://kr.tradingview.com/symbols/KRX-000100/
유유제약,4540.0,+1.23%,109026.0,498.0,77086.0,000220,https://kr.tradingview.com/symbols/KRX-000220/
명인제약,60200.0,+1.18%,39550.0,2376.0,49347.0,317450,https://kr.tradingview.com/symbols/KRX-317450/
명문제약,1846.0,+1.15%,233237.0,432.0,353185.0,017180,https://kr.tradingview.com/symbols/KRX-017180/
피플바이오 *,1201.0,+1.01%,160927.0,194.0,282413.0,304840,https://kr.tradingview.com/symbols/KRX-304840/
신신제약 *,5820.0,+0.69%,242238.0,1419.0,135548.0,002800,https://kr.tradingview.com/symbols/KRX-002800/
한국파마 *,12410.0,+0.65%,27764.0,344.0,22498.0,032300,https://kr.tradingview.com/symbols/KRX-032300/
HLB제약 *,17040.0,+0.47%,102229.0,1754.0,132893.0,047920,https://kr.tradingview.com/symbols/KRX-047920/
동아에스티,51000.0,+0.39%,10784.0,553.0,13746.0,170900,https://kr.tradingview.com/symbols/KRX-170900/
고려제약 *,4115.0,+0.37%,22922.0,94.0,14727.0,014570,https://kr.tradingview.com/symbols/KRX-014570/
리메드 *,2800.0,+0.18%,65583.0,183.0,78896.0,302550,https://kr.tradingview.com/symbols/KRX-302550/
듀켐바이오 *,8950.0,-0.11%,30701.0,276.0,35730.0,176750,https://kr.tradingview.com/symbols/KRX-176750/
바이오톡스텍 *,2715.0,-0.37%,42994.0,117.0,46683.0,086040,https://kr.tradingview.com/symbols/KRX-086040/
퓨쳐켐 *,24450.0,-0.41%,357668.0,8907.0,161466.0,220100,https://kr.tradingview.com/symbols/KRX-220100/
SK케미칼,67300.0,-0.59%,46904.0,3175.0,75084.0,285130,https://kr.tradingview.com/symbols/KRX-285130/
라파스 *,13200.0,-0.68%,76091.0,1017.0,76503.0,214260,https://kr.tradingview.com/symbols/KRX-214260/
퀀타매트릭스 *,4350.0,-0.68%,131330.0,570.0,175952.0,317690,https://kr.tradingview.com/symbols/KRX-317690/
하이퍼코퍼레이션 *,1900.0,-0.73%,43634.0,83.0,22048.0,065650,https://kr.tradingview.com/symbols/KRX-065650/
바이오스마트 *,4060.0,-1.10%,897180.0,3655.0,1631962.0,038460,https://kr.tradingview.com/symbols/KRX-038460/
인벤티지랩 *,79600.0,-2.09%,91162.0,7374.0,164080.0,389470,https://kr.tradingview.com/symbols/KRX-389470/
알지노믹스 *,161300.0,-2.24%,469609.0,77160.0,1240664.0,476830,https://kr.tradingview.com/symbols/KRX-476830/
현대약품,13170.0,-2.80%,2452832.0,32044.0,6179582.0,004310,https://kr.tradingview.com/symbols/KRX-004310/
지투지바이오 *,83400.0,-4.90%,711901.0,60500.0,1309940.0,456160,https://kr.tradingview.com/symbols/KRX-456160/
