종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
KT밀리의서재 *,13850.0,+7.87%,126573.0,1702.0,33039.0,418470,https://kr.tradingview.com/symbols/KRX-418470/
자이언트스텝 *,4325.0,+6.53%,179413.0,764.0,53241.0,289220,https://kr.tradingview.com/symbols/KRX-289220/
한컴위드 *,4535.0,+5.71%,965784.0,4341.0,471081.0,054920,https://kr.tradingview.com/symbols/KRX-054920/
폴라리스오피스 *,4530.0,+4.98%,2025029.0,9344.0,384902.0,041020,https://kr.tradingview.com/symbols/KRX-041020/
미스터블루 *,1321.0,+4.84%,4934024.0,6711.0,259684.0,207760,https://kr.tradingview.com/symbols/KRX-207760/
다날 *,7120.0,+4.55%,9371299.0,67479.0,1506975.0,064260,https://kr.tradingview.com/symbols/KRX-064260/
카카오,59000.0,+4.24%,2772592.0,161843.0,2189567.0,035720,https://kr.tradingview.com/symbols/KRX-035720/
컴투스홀딩스 *,17900.0,+3.95%,79341.0,1414.0,35334.0,063080,https://kr.tradingview.com/symbols/KRX-063080/
케이티알파 *,4930.0,+3.90%,64610.0,315.0,83476.0,036030,https://kr.tradingview.com/symbols/KRX-036030/
네오위즈홀딩스 *,24350.0,+3.40%,14363.0,346.0,11560.0,042420,https://kr.tradingview.com/symbols/KRX-042420/
YBM넷 *,3010.0,+3.26%,103533.0,313.0,41215.0,057030,https://kr.tradingview.com/symbols/KRX-057030/
KT,55200.0,+2.99%,551168.0,30287.0,906507.0,030200,https://kr.tradingview.com/symbols/KRX-030200/
디앤씨미디어 *,12420.0,+2.64%,31163.0,385.0,23771.0,263720,https://kr.tradingview.com/symbols/KRX-263720/
핑거스토리 *,1805.0,+2.56%,190658.0,343.0,55450.0,417180,https://kr.tradingview.com/symbols/KRX-417180/
YTN *,3645.0,+2.53%,218733.0,794.0,173996.0,040300,https://kr.tradingview.com/symbols/KRX-040300/
NAVER,244000.0,+2.52%,1205310.0,292516.0,1689244.0,035420,https://kr.tradingview.com/symbols/KRX-035420/
삼성출판사,10680.0,+2.50%,39675.0,421.0,16836.0,068290,https://kr.tradingview.com/symbols/KRX-068290/
한글과컴퓨터 *,23000.0,+2.45%,238199.0,5491.0,166833.0,030520,https://kr.tradingview.com/symbols/KRX-030520/
다산디엠씨 *,1449.0,+2.19%,106192.0,153.0,144399.0,208860,https://kr.tradingview.com/symbols/KRX-208860/
KG모빌리언스 *,4535.0,+2.14%,89738.0,402.0,76899.0,046440,https://kr.tradingview.com/symbols/KRX-046440/
헥토이노베이션 *,15700.0,+2.01%,75447.0,1182.0,46566.0,214180,https://kr.tradingview.com/symbols/KRX-214180/
KT지니뮤직 *,1857.0,+1.81%,112488.0,207.0,116498.0,043610,https://kr.tradingview.com/symbols/KRX-043610/
셀바스AI *,12080.0,+1.43%,382611.0,4618.0,227516.0,108860,https://kr.tradingview.com/symbols/KRX-108860/
컴투스 *,31300.0,+1.13%,60700.0,1898.0,40443.0,078340,https://kr.tradingview.com/symbols/KRX-078340/
키다리스튜디오,3195.0,+1.11%,108070.0,345.0,89025.0,020120,https://kr.tradingview.com/symbols/KRX-020120/
포시에스 *,2070.0,+0.73%,61759.0,127.0,31509.0,189690,https://kr.tradingview.com/symbols/KRX-189690/
티사이언티픽 *,785.0,+0.51%,190139.0,148.0,110759.0,057680,https://kr.tradingview.com/symbols/KRX-057680/
TJ미디어 *,5500.0,0.00%,2080.0,11.0,4224.0,032540,https://kr.tradingview.com/symbols/KRX-032540/
플랜티넷 *,2340.0,-0.64%,33193.0,78.0,26853.0,075130,https://kr.tradingview.com/symbols/KRX-075130/
인포뱅크 *,6020.0,-1.15%,13927.0,83.0,28992.0,039290,https://kr.tradingview.com/symbols/KRX-039290/
SK스퀘어,427000.0,-1.95%,371540.0,159484.0,434118.0,402340,https://kr.tradingview.com/symbols/KRX-402340/
아이톡시 *,1018.0,-2.30%,1203147.0,1197.0,1445415.0,052770,https://kr.tradingview.com/symbols/KRX-052770/
NHN벅스 *,4915.0,-3.63%,249019.0,1261.0,697446.0,104200,https://kr.tradingview.com/symbols/KRX-104200/
