종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
카카오페이,53800.0,+12.08%,2584340.0,136531.0,274492.0,377300,https://kr.tradingview.com/symbols/KRX-377300/
한컴위드 *,4535.0,+5.71%,965784.0,4341.0,471081.0,054920,https://kr.tradingview.com/symbols/KRX-054920/
더즌 *,3855.0,+4.61%,1317870.0,5099.0,409396.0,462860,https://kr.tradingview.com/symbols/KRX-462860/
다날 *,7120.0,+4.55%,9371299.0,67479.0,1506975.0,064260,https://kr.tradingview.com/symbols/KRX-064260/
핑거 *,10170.0,+4.31%,95950.0,963.0,157678.0,163730,https://kr.tradingview.com/symbols/KRX-163730/
아이티센글로벌 *,32250.0,+4.03%,516084.0,16720.0,460562.0,124500,https://kr.tradingview.com/symbols/KRX-124500/
NHN KCP *,14810.0,+3.71%,674401.0,9968.0,217291.0,060250,https://kr.tradingview.com/symbols/KRX-060250/
미투온 *,3395.0,+3.66%,904190.0,3041.0,763522.0,201490,https://kr.tradingview.com/symbols/KRX-201490/
한국정보인증 *,6280.0,+3.46%,537911.0,3361.0,229372.0,053300,https://kr.tradingview.com/symbols/KRX-053300/
드림시큐리티 *,1626.0,+2.65%,775773.0,1251.0,485649.0,203650,https://kr.tradingview.com/symbols/KRX-203650/
NAVER,244000.0,+2.52%,1205310.0,292516.0,1689244.0,035420,https://kr.tradingview.com/symbols/KRX-035420/
쿠콘 *,28600.0,+2.33%,57800.0,1634.0,39754.0,294570,https://kr.tradingview.com/symbols/KRX-294570/
아톤 *,6220.0,+2.30%,420505.0,2598.0,302752.0,158430,https://kr.tradingview.com/symbols/KRX-158430/
라온시큐어 *,9340.0,+2.19%,88306.0,821.0,93535.0,042510,https://kr.tradingview.com/symbols/KRX-042510/
뱅크웨어글로벌 *,5120.0,+1.39%,126527.0,657.0,41425.0,199480,https://kr.tradingview.com/symbols/KRX-199480/
사토시홀딩스 *,2060.0,+0.98%,160792.0,329.0,191955.0,223310,https://kr.tradingview.com/symbols/KRX-223310/
위메이드 *,26100.0,+0.77%,110878.0,2906.0,132828.0,112040,https://kr.tradingview.com/symbols/KRX-112040/
헥토파이낸셜 *,15080.0,+0.27%,306876.0,4683.0,143916.0,234340,https://kr.tradingview.com/symbols/KRX-234340/
아이티센피엔에스 *,2120.0,+0.24%,75547.0,157.0,63672.0,232830,https://kr.tradingview.com/symbols/KRX-232830/
형지글로벌 *,1306.0,-0.38%,363624.0,474.0,1253416.0,308100,https://kr.tradingview.com/symbols/KRX-308100/
넥써쓰 *,2105.0,-2.09%,186982.0,404.0,163056.0,205500,https://kr.tradingview.com/symbols/KRX-205500/
LG씨엔에스,69800.0,-2.65%,1507995.0,106427.0,2266905.0,064400,https://kr.tradingview.com/symbols/KRX-064400/
