종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
한국첨단소재 *,3005.0,+29.81%,6266973.0,18313.0,384293.0,062970,https://kr.tradingview.com/symbols/KRX-062970/
티엠씨,17600.0,+25.18%,5742552.0,94656.0,373204.0,217590,https://kr.tradingview.com/symbols/KRX-217590/
AP위성 *,17450.0,+15.64%,8104844.0,142356.0,653174.0,211270,https://kr.tradingview.com/symbols/KRX-211270/
센서뷰 *,3375.0,+15.19%,11901682.0,39975.0,11983059.0,321370,https://kr.tradingview.com/symbols/KRX-321370/
옵티코어 *,4740.0,+8.72%,13664723.0,67896.0,11982064.0,380540,https://kr.tradingview.com/symbols/KRX-380540/
인텔리안테크 *,74000.0,+7.87%,417340.0,30422.0,161048.0,189300,https://kr.tradingview.com/symbols/KRX-189300/
케이엠더블유 *,15320.0,+6.46%,405828.0,6101.0,160191.0,032500,https://kr.tradingview.com/symbols/KRX-032500/
이노와이어리스 *,25800.0,+6.39%,345970.0,8897.0,118571.0,073490,https://kr.tradingview.com/symbols/KRX-073490/
빛과전자 *,1831.0,+5.90%,19997463.0,37069.0,35526160.0,069540,https://kr.tradingview.com/symbols/KRX-069540/
우리로 *,1480.0,+5.34%,3890082.0,5764.0,1979279.0,046970,https://kr.tradingview.com/symbols/KRX-046970/
에치에프알 *,12600.0,+3.45%,95188.0,1194.0,59055.0,230240,https://kr.tradingview.com/symbols/KRX-230240/
RF머트리얼즈 *,23300.0,+3.10%,438546.0,10015.0,292610.0,327260,https://kr.tradingview.com/symbols/KRX-327260/
쏠리드 *,7530.0,+2.73%,1059218.0,7981.0,410086.0,050890,https://kr.tradingview.com/symbols/KRX-050890/
LS마린솔루션 *,29450.0,+2.43%,329977.0,9570.0,139473.0,060370,https://kr.tradingview.com/symbols/KRX-060370/
오늘이엔엠 *,880.0,+2.21%,104417.0,90.0,229490.0,192410,https://kr.tradingview.com/symbols/KRX-192410/
웨이비스 *,10700.0,+2.20%,300624.0,3213.0,112337.0,289930,https://kr.tradingview.com/symbols/KRX-289930/
RFHIC *,34800.0,+2.05%,256158.0,8951.0,308829.0,218410,https://kr.tradingview.com/symbols/KRX-218410/
파이오링크 *,8400.0,+1.94%,15023.0,125.0,40716.0,170790,https://kr.tradingview.com/symbols/KRX-170790/
휴먼테크놀로지 *,4485.0,+1.93%,65712.0,293.0,103700.0,175140,https://kr.tradingview.com/symbols/KRX-175140/
텔콘RF제약 *,996.0,+1.84%,429034.0,425.0,530331.0,200230,https://kr.tradingview.com/symbols/KRX-200230/
빛샘전자 *,5700.0,+1.60%,60169.0,342.0,79939.0,072950,https://kr.tradingview.com/symbols/KRX-072950/
에프알텍 *,2040.0,+1.49%,21162.0,43.0,31454.0,073540,https://kr.tradingview.com/symbols/KRX-073540/
웨이브일렉트로 *,4665.0,+1.41%,50042.0,231.0,77426.0,095270,https://kr.tradingview.com/symbols/KRX-095270/
오이솔루션 *,15400.0,+1.32%,307921.0,4810.0,179632.0,138080,https://kr.tradingview.com/symbols/KRX-138080/
머큐리 *,3190.0,+1.27%,63853.0,203.0,75072.0,100590,https://kr.tradingview.com/symbols/KRX-100590/
알엔투테크놀로지 *,3225.0,+1.26%,39861.0,129.0,90258.0,148250,https://kr.tradingview.com/symbols/KRX-148250/
기산텔레콤 *,1897.0,+1.17%,32170.0,61.0,44983.0,035460,https://kr.tradingview.com/symbols/KRX-035460/
와이어블 *,1293.0,+1.17%,75588.0,97.0,53352.0,065530,https://kr.tradingview.com/symbols/KRX-065530/
우리넷 *,7660.0,+0.79%,306611.0,2344.0,413236.0,115440,https://kr.tradingview.com/symbols/KRX-115440/
쏘닉스 *,1896.0,+0.37%,69447.0,129.0,226896.0,088280,https://kr.tradingview.com/symbols/KRX-088280/
CS *,785.0,+0.26%,66779.0,52.0,217300.0,065770,https://kr.tradingview.com/symbols/KRX-065770/
코위버 *,5240.0,+0.19%,33418.0,175.0,41742.0,056360,https://kr.tradingview.com/symbols/KRX-056360/
기가레인 *,553.0,+0.18%,190501.0,105.0,380186.0,049080,https://kr.tradingview.com/symbols/KRX-049080/
라이콤 *,2615.0,0.00%,270509.0,711.0,169668.0,388790,https://kr.tradingview.com/symbols/KRX-388790/
자람테크놀로지 *,37200.0,-0.27%,68332.0,2541.0,72639.0,389020,https://kr.tradingview.com/symbols/KRX-389020/
다보링크 *,1445.0,-0.28%,255147.0,365.0,371366.0,340360,https://kr.tradingview.com/symbols/KRX-340360/
주성코퍼레이션,821.0,-0.48%,88115.0,72.0,126099.0,109070,https://kr.tradingview.com/symbols/KRX-109070/
다산네트웍스 *,3360.0,-0.59%,480259.0,1591.0,447909.0,039560,https://kr.tradingview.com/symbols/KRX-039560/
유비쿼스 *,9180.0,-0.76%,20663.0,191.0,18898.0,264450,https://kr.tradingview.com/symbols/KRX-264450/
삼지전자 *,16700.0,-0.77%,240164.0,4067.0,146986.0,037460,https://kr.tradingview.com/symbols/KRX-037460/
이노인스트루먼트 *,589.0,-0.84%,205690.0,119.0,243313.0,215790,https://kr.tradingview.com/symbols/KRX-215790/
한울소재과학 *,2700.0,-1.28%,154840.0,416.0,127519.0,091440,https://kr.tradingview.com/symbols/KRX-091440/
에이스테크 *,2955.0,-1.34%,261819.0,778.0,707734.0,088800,https://kr.tradingview.com/symbols/KRX-088800/
서진시스템 *,28550.0,-1.89%,776903.0,22374.0,964420.0,178320,https://kr.tradingview.com/symbols/KRX-178320/
피노 *,5050.0,-2.88%,346617.0,1800.0,273941.0,033790,https://kr.tradingview.com/symbols/KRX-033790/
