종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
금강공업,6230.0,+5.95%,1026576.0,6361.0,307335.0,014280,https://kr.tradingview.com/symbols/KRX-014280/
한신공영,9810.0,+3.81%,101730.0,983.0,55395.0,004960,https://kr.tradingview.com/symbols/KRX-004960/
POSCO홀딩스,357500.0,+2.88%,897663.0,317371.0,765012.0,005490,https://kr.tradingview.com/symbols/KRX-005490/
삼성물산,296000.0,+2.42%,501005.0,148863.0,324276.0,028260,https://kr.tradingview.com/symbols/KRX-028260/
엔알비 *,16830.0,+1.94%,588401.0,10031.0,161278.0,475230,https://kr.tradingview.com/symbols/KRX-475230/
덕신이피씨 *,1229.0,+1.74%,165765.0,201.0,163849.0,090410,https://kr.tradingview.com/symbols/KRX-090410/
코오롱글로벌,9000.0,+1.47%,23068.0,206.0,15590.0,003070,https://kr.tradingview.com/symbols/KRX-003070/
에스와이 *,2820.0,+1.26%,224298.0,630.0,132372.0,109610,https://kr.tradingview.com/symbols/KRX-109610/
자연과환경 *,609.0,+0.66%,652154.0,398.0,720983.0,043910,https://kr.tradingview.com/symbols/KRX-043910/
GS건설,18810.0,+0.43%,732795.0,13837.0,733176.0,006360,https://kr.tradingview.com/symbols/KRX-006360/
