종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
웹스 *,2385.0,+14.11%,1534116.0,3619.0,310688.0,196700,https://kr.tradingview.com/symbols/KRX-196700/
퍼스텍,4845.0,+9.24%,11118797.0,53169.0,9919398.0,010820,https://kr.tradingview.com/symbols/KRX-010820/
코아스,3645.0,+7.21%,119905.0,425.0,124071.0,071950,https://kr.tradingview.com/symbols/KRX-071950/
시공테크 *,4050.0,+4.79%,230809.0,929.0,123266.0,020710,https://kr.tradingview.com/symbols/KRX-020710/
누리플랜 *,2710.0,+4.03%,167482.0,447.0,191511.0,069140,https://kr.tradingview.com/symbols/KRX-069140/
모헨즈 *,3280.0,+3.63%,102246.0,333.0,54934.0,006920,https://kr.tradingview.com/symbols/KRX-006920/
웰크론 *,1613.0,+3.40%,1498704.0,2592.0,70637.0,065950,https://kr.tradingview.com/symbols/KRX-065950/
일신석재,1607.0,+3.01%,474544.0,751.0,313275.0,007110,https://kr.tradingview.com/symbols/KRX-007110/
크라운해태홀딩스,6530.0,+2.67%,23223.0,150.0,29312.0,005740,https://kr.tradingview.com/symbols/KRX-005740/
하이드로리튬 *,1910.0,+2.14%,1363238.0,2621.0,1131462.0,101670,https://kr.tradingview.com/symbols/KRX-101670/
삼륭물산 *,7100.0,+1.28%,94056.0,664.0,168715.0,014970,https://kr.tradingview.com/symbols/KRX-014970/
모나용평,3270.0,+0.93%,101361.0,329.0,57863.0,070960,https://kr.tradingview.com/symbols/KRX-070960/
시그네틱스 *,766.0,+0.92%,389694.0,295.0,301573.0,033170,https://kr.tradingview.com/symbols/KRX-033170/
자연과환경 *,609.0,+0.66%,652154.0,398.0,720983.0,043910,https://kr.tradingview.com/symbols/KRX-043910/
대창스틸 *,2110.0,+0.48%,44839.0,94.0,23367.0,140520,https://kr.tradingview.com/symbols/KRX-140520/
딜리 *,973.0,0.00%,14908.0,14.0,6814.0,131180,https://kr.tradingview.com/symbols/KRX-131180/
씨아이테크,1147.0,-2.96%,587735.0,688.0,714394.0,004920,https://kr.tradingview.com/symbols/KRX-004920/
유진로봇 *,31400.0,-4.41%,10846464.0,374161.0,6745914.0,056080,https://kr.tradingview.com/symbols/KRX-056080/
