종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
제테마 *,8890.0,+19.01%,1959306.0,16717.0,436257.0,216080,https://kr.tradingview.com/symbols/KRX-216080/
휴온스글로벌 *,49350.0,+6.59%,85236.0,4203.0,44036.0,084110,https://kr.tradingview.com/symbols/KRX-084110/
에이피알,247000.0,+4.22%,522732.0,128093.0,329247.0,278470,https://kr.tradingview.com/symbols/KRX-278470/
대웅제약,164900.0,+2.61%,43652.0,7202.0,40537.0,069620,https://kr.tradingview.com/symbols/KRX-069620/
달바글로벌,143000.0,+2.29%,115345.0,16385.0,87894.0,483650,https://kr.tradingview.com/symbols/KRX-483650/
동방메디컬 *,7420.0,+2.06%,199896.0,1484.0,112681.0,240550,https://kr.tradingview.com/symbols/KRX-240550/
한국비엔씨 *,4730.0,+2.05%,1052313.0,5012.0,695513.0,256840,https://kr.tradingview.com/symbols/KRX-256840/
클래시스 *,58800.0,+1.55%,157241.0,9238.0,181911.0,214150,https://kr.tradingview.com/symbols/KRX-214150/
메디톡스 *,118000.0,+1.46%,44811.0,5279.0,69256.0,086900,https://kr.tradingview.com/symbols/KRX-086900/
유한양행,107400.0,+1.42%,435354.0,46766.0,511849.0,000100,https://kr.tradingview.com/symbols/KRX-000100/
파마리서치 *,424500.0,+1.31%,142840.0,60686.0,78687.0,214450,https://kr.tradingview.com/symbols/KRX-214450/
휴메딕스 *,40600.0,+1.25%,63714.0,2599.0,79943.0,200670,https://kr.tradingview.com/symbols/KRX-200670/
휴젤 *,237500.0,+1.06%,68785.0,16519.0,87505.0,145020,https://kr.tradingview.com/symbols/KRX-145020/
원텍 *,8190.0,+0.86%,535013.0,4372.0,469184.0,336570,https://kr.tradingview.com/symbols/KRX-336570/
한국비티비 *,793.0,0.00%,45130.0,35.0,121236.0,219750,https://kr.tradingview.com/symbols/KRX-219750/
라메디텍 *,6220.0,-0.16%,32053.0,201.0,47011.0,462510,https://kr.tradingview.com/symbols/KRX-462510/
아스테라시스 *,12850.0,-1.46%,68684.0,882.0,106460.0,450950,https://kr.tradingview.com/symbols/KRX-450950/
레이저옵텍 *,6180.0,-1.75%,73212.0,458.0,144325.0,199550,https://kr.tradingview.com/symbols/KRX-199550/
