종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
한국첨단소재 *,3005.0,+29.81%,6266973.0,18313.0,384293.0,062970,https://kr.tradingview.com/symbols/KRX-062970/
아이윈플러스 *,1066.0,+6.49%,1171897.0,1260.0,357335.0,123010,https://kr.tradingview.com/symbols/KRX-123010/
에이엘티 *,13020.0,+6.11%,324797.0,4202.0,275794.0,172670,https://kr.tradingview.com/symbols/KRX-172670/
우리로 *,1480.0,+5.34%,3890082.0,5764.0,1979279.0,046970,https://kr.tradingview.com/symbols/KRX-046970/
SK텔레콤,62200.0,+5.07%,3364804.0,208224.0,2911218.0,017670,https://kr.tradingview.com/symbols/KRX-017670/
한국정보인증 *,6280.0,+3.46%,537911.0,3361.0,229372.0,053300,https://kr.tradingview.com/symbols/KRX-053300/
KT,55200.0,+2.99%,551168.0,30287.0,906507.0,030200,https://kr.tradingview.com/symbols/KRX-030200/
쏠리드 *,7530.0,+2.73%,1059218.0,7981.0,410086.0,050890,https://kr.tradingview.com/symbols/KRX-050890/
드림시큐리티 *,1626.0,+2.65%,775773.0,1251.0,485649.0,203650,https://kr.tradingview.com/symbols/KRX-203650/
엑스게이트 *,7530.0,+2.59%,226903.0,1701.0,107677.0,356680,https://kr.tradingview.com/symbols/KRX-356680/
케이씨에스 *,9770.0,+2.52%,140188.0,1360.0,99108.0,115500,https://kr.tradingview.com/symbols/KRX-115500/
LG유플러스,15430.0,+2.46%,1014310.0,15531.0,759293.0,032640,https://kr.tradingview.com/symbols/KRX-032640/
아톤 *,6220.0,+2.30%,420505.0,2598.0,302752.0,158430,https://kr.tradingview.com/symbols/KRX-158430/
라온시큐어 *,9340.0,+2.19%,88306.0,821.0,93535.0,042510,https://kr.tradingview.com/symbols/KRX-042510/
사토시홀딩스 *,2060.0,+0.98%,160792.0,329.0,191955.0,223310,https://kr.tradingview.com/symbols/KRX-223310/
포톤 *,2455.0,+0.82%,374466.0,924.0,991476.0,208710,https://kr.tradingview.com/symbols/KRX-208710/
우리넷 *,7660.0,+0.79%,306611.0,2344.0,413236.0,115440,https://kr.tradingview.com/symbols/KRX-115440/
파인텍 *,737.0,+0.68%,160475.0,118.0,121814.0,131760,https://kr.tradingview.com/symbols/KRX-131760/
아이티센피엔에스 *,2120.0,+0.24%,75547.0,157.0,63672.0,232830,https://kr.tradingview.com/symbols/KRX-232830/
코위버 *,5240.0,+0.19%,33418.0,175.0,41742.0,056360,https://kr.tradingview.com/symbols/KRX-056360/
아이씨티케이 *,15540.0,-0.26%,383597.0,5995.0,299324.0,456010,https://kr.tradingview.com/symbols/KRX-456010/
한울소재과학 *,2700.0,-1.28%,154840.0,416.0,127519.0,091440,https://kr.tradingview.com/symbols/KRX-091440/
큐에스아이 *,8270.0,-2.01%,346442.0,2867.0,2916555.0,066310,https://kr.tradingview.com/symbols/KRX-066310/
라닉스 *,2210.0,-2.86%,280720.0,623.0,373272.0,317120,https://kr.tradingview.com/symbols/KRX-317120/
