종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
NICE평가정보,16450.0,+4.58%,62353.0,1026.0,134039.0,030190,https://kr.tradingview.com/symbols/KRX-030190/
핑거 *,10170.0,+4.31%,95950.0,963.0,157678.0,163730,https://kr.tradingview.com/symbols/KRX-163730/
NAVER,244000.0,+2.52%,1205310.0,292516.0,1689244.0,035420,https://kr.tradingview.com/symbols/KRX-035420/
파수 *,3970.0,+2.45%,51157.0,201.0,52818.0,150900,https://kr.tradingview.com/symbols/KRX-150900/
쿠콘 *,28600.0,+2.33%,57800.0,1634.0,39754.0,294570,https://kr.tradingview.com/symbols/KRX-294570/
아톤 *,6220.0,+2.30%,420505.0,2598.0,302752.0,158430,https://kr.tradingview.com/symbols/KRX-158430/
헥토이노베이션 *,15700.0,+2.01%,75447.0,1182.0,46566.0,214180,https://kr.tradingview.com/symbols/KRX-214180/
파이오링크 *,8400.0,+1.94%,15023.0,125.0,40716.0,170790,https://kr.tradingview.com/symbols/KRX-170790/
유비벨록스 *,5360.0,+1.71%,36957.0,197.0,29193.0,089850,https://kr.tradingview.com/symbols/KRX-089850/
세종텔레콤 *,8850.0,+0.80%,29548.0,260.0,23412.0,036630,https://kr.tradingview.com/symbols/KRX-036630/
아이티아이즈 *,4455.0,-0.67%,9436.0,42.0,9352.0,372800,https://kr.tradingview.com/symbols/KRX-372800/
