종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
카카오페이,53800.0,+12.08%,2584340.0,136531.0,274492.0,377300,https://kr.tradingview.com/symbols/KRX-377300/
인포바인 *,75500.0,+9.42%,13348.0,979.0,13686.0,115310,https://kr.tradingview.com/symbols/KRX-115310/
다날 *,7120.0,+4.55%,9371299.0,67479.0,1506975.0,064260,https://kr.tradingview.com/symbols/KRX-064260/
NHN KCP *,14810.0,+3.71%,674401.0,9968.0,217291.0,060250,https://kr.tradingview.com/symbols/KRX-060250/
갤럭시아머니트리 *,9650.0,+3.32%,430365.0,4153.0,184800.0,094480,https://kr.tradingview.com/symbols/KRX-094480/
쿠콘 *,28600.0,+2.33%,57800.0,1634.0,39754.0,294570,https://kr.tradingview.com/symbols/KRX-294570/
KG모빌리언스 *,4535.0,+2.14%,89738.0,402.0,76899.0,046440,https://kr.tradingview.com/symbols/KRX-046440/
한국정보통신 *,7730.0,+1.71%,19359.0,149.0,9087.0,025770,https://kr.tradingview.com/symbols/KRX-025770/
KG이니시스 *,9870.0,+1.54%,72991.0,718.0,82159.0,035600,https://kr.tradingview.com/symbols/KRX-035600/
NHN,30500.0,+0.33%,43709.0,1344.0,142242.0,181710,https://kr.tradingview.com/symbols/KRX-181710/
헥토파이낸셜 *,15080.0,+0.27%,306876.0,4683.0,143916.0,234340,https://kr.tradingview.com/symbols/KRX-234340/
카페24 *,31750.0,-0.16%,100459.0,3214.0,114687.0,042000,https://kr.tradingview.com/symbols/KRX-042000/
인포뱅크 *,6020.0,-1.15%,13927.0,83.0,28992.0,039290,https://kr.tradingview.com/symbols/KRX-039290/
