종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
제테마 *,8890.0,+19.01%,1959306.0,16717.0,436257.0,216080,https://kr.tradingview.com/symbols/KRX-216080/
휴온스글로벌 *,49350.0,+6.59%,85236.0,4203.0,44036.0,084110,https://kr.tradingview.com/symbols/KRX-084110/
유바이오로직스 *,11350.0,+2.62%,161794.0,1830.0,146098.0,206650,https://kr.tradingview.com/symbols/KRX-206650/
대웅제약,164900.0,+2.61%,43652.0,7202.0,40537.0,069620,https://kr.tradingview.com/symbols/KRX-069620/
청담글로벌 *,5720.0,+2.33%,169969.0,969.0,125566.0,362320,https://kr.tradingview.com/symbols/KRX-362320/
한국비엔씨 *,4730.0,+2.05%,1052313.0,5012.0,695513.0,256840,https://kr.tradingview.com/symbols/KRX-256840/
휴온스 *,25950.0,+1.96%,18113.0,469.0,19041.0,243070,https://kr.tradingview.com/symbols/KRX-243070/
메디톡스 *,118000.0,+1.46%,44811.0,5279.0,69256.0,086900,https://kr.tradingview.com/symbols/KRX-086900/
파마리서치 *,424500.0,+1.31%,142840.0,60686.0,78687.0,214450,https://kr.tradingview.com/symbols/KRX-214450/
휴메딕스 *,40600.0,+1.25%,63714.0,2599.0,79943.0,200670,https://kr.tradingview.com/symbols/KRX-200670/
휴젤 *,237500.0,+1.06%,68785.0,16519.0,87505.0,145020,https://kr.tradingview.com/symbols/KRX-145020/
디에스케이 *,7310.0,-1.35%,36520.0,269.0,49718.0,109740,https://kr.tradingview.com/symbols/KRX-109740/
알에프텍 *,1960.0,-1.71%,240945.0,477.0,644299.0,061040,https://kr.tradingview.com/symbols/KRX-061040/
