종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
모나리자,2210.0,+9.14%,8652404.0,20507.0,111964.0,012690,https://kr.tradingview.com/symbols/KRX-012690/
에르코스 *,12640.0,+6.22%,295581.0,3695.0,80134.0,435570,https://kr.tradingview.com/symbols/KRX-435570/
깨끗한나라,1936.0,+4.54%,5996934.0,12552.0,62677.0,004540,https://kr.tradingview.com/symbols/KRX-004540/
꿈비 *,4815.0,+4.00%,174314.0,829.0,126951.0,407400,https://kr.tradingview.com/symbols/KRX-407400/
아가방컴퍼니 *,4380.0,+3.67%,248473.0,1073.0,159985.0,013990,https://kr.tradingview.com/symbols/KRX-013990/
더핑크퐁컴퍼니 *,24900.0,+3.32%,174008.0,4304.0,69600.0,403850,https://kr.tradingview.com/symbols/KRX-403850/
웅진씽크빅,1191.0,+2.85%,263770.0,310.0,103512.0,095720,https://kr.tradingview.com/symbols/KRX-095720/
제로투세븐 *,3805.0,+2.56%,65111.0,245.0,78427.0,159580,https://kr.tradingview.com/symbols/KRX-159580/
삼성출판사,10680.0,+2.50%,39675.0,421.0,16836.0,068290,https://kr.tradingview.com/symbols/KRX-068290/
예림당 *,3030.0,+2.02%,72626.0,218.0,180255.0,036000,https://kr.tradingview.com/symbols/KRX-036000/
네오팜 *,17420.0,+1.69%,41850.0,723.0,33487.0,092730,https://kr.tradingview.com/symbols/KRX-092730/
캐리소프트 *,4310.0,+1.65%,35688.0,153.0,55613.0,317530,https://kr.tradingview.com/symbols/KRX-317530/
매일유업 *,34400.0,+1.62%,9463.0,325.0,3971.0,267980,https://kr.tradingview.com/symbols/KRX-267980/
대교,1723.0,+1.35%,86352.0,147.0,124242.0,019680,https://kr.tradingview.com/symbols/KRX-019680/
남양유업,51700.0,+1.17%,7454.0,383.0,9536.0,003920,https://kr.tradingview.com/symbols/KRX-003920/
뉴키즈온 *,4750.0,+0.96%,63216.0,299.0,44787.0,462310,https://kr.tradingview.com/symbols/KRX-462310/
메디앙스 *,1720.0,+0.58%,13239.0,23.0,67228.0,014100,https://kr.tradingview.com/symbols/KRX-014100/
유엔젤,4435.0,+0.57%,74423.0,330.0,59112.0,072130,https://kr.tradingview.com/symbols/KRX-072130/
헝셩그룹 *,184.0,+0.55%,1049686.0,193.0,1121271.0,900270,https://kr.tradingview.com/symbols/KRX-900270/
삼익악기,1149.0,+0.52%,159762.0,182.0,132439.0,002450,https://kr.tradingview.com/symbols/KRX-002450/
SAMG엔터 *,37450.0,+0.27%,89928.0,3364.0,109502.0,419530,https://kr.tradingview.com/symbols/KRX-419530/
토박스코리아 *,2035.0,-2.40%,72110.0,147.0,62248.0,215480,https://kr.tradingview.com/symbols/KRX-215480/
