종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
케스피온 *,554.0,+11.92%,5400052.0,3071.0,141297.0,079190,https://kr.tradingview.com/symbols/KRX-079190/
랩지노믹스 *,1732.0,+6.52%,2301084.0,3984.0,721425.0,084650,https://kr.tradingview.com/symbols/KRX-084650/
팜젠사이언스,4260.0,+5.32%,571482.0,2462.0,51239.0,004720,https://kr.tradingview.com/symbols/KRX-004720/
셀레믹스 *,2865.0,+3.99%,24503.0,69.0,25310.0,331920,https://kr.tradingview.com/symbols/KRX-331920/
휴마시스 *,1008.0,+3.17%,2104947.0,2129.0,698004.0,205470,https://kr.tradingview.com/symbols/KRX-205470/
바이오니아 *,12110.0,+2.02%,134051.0,1623.0,147914.0,064550,https://kr.tradingview.com/symbols/KRX-064550/
제놀루션 *,1888.0,+2.00%,313059.0,606.0,90924.0,225220,https://kr.tradingview.com/symbols/KRX-225220/
빌리언스 *,274.0,+1.86%,636276.0,175.0,1383009.0,044480,https://kr.tradingview.com/symbols/KRX-044480/
롤링스톤 *,3565.0,+1.86%,5101.0,18.0,21358.0,214610,https://kr.tradingview.com/symbols/KRX-214610/
씨젠 *,24100.0,+1.69%,231149.0,5586.0,115040.0,096530,https://kr.tradingview.com/symbols/KRX-096530/
엑세스바이오 *,3975.0,+1.66%,162617.0,656.0,129881.0,950130,https://kr.tradingview.com/symbols/KRX-950130/
바이오노트,5180.0,+1.57%,57718.0,299.0,81343.0,377740,https://kr.tradingview.com/symbols/KRX-377740/
오상자이엘 *,3280.0,+1.55%,84934.0,276.0,88642.0,053980,https://kr.tradingview.com/symbols/KRX-053980/
녹십자홀딩스,14760.0,+1.30%,86499.0,1275.0,110890.0,005250,https://kr.tradingview.com/symbols/KRX-005250/
현대바이오 *,5740.0,+1.23%,1057507.0,6019.0,1928205.0,048410,https://kr.tradingview.com/symbols/KRX-048410/
녹십자엠에스 *,3800.0,+1.20%,89348.0,338.0,71699.0,142280,https://kr.tradingview.com/symbols/KRX-142280/
파미셀,13130.0,+1.00%,768939.0,10114.0,820608.0,005690,https://kr.tradingview.com/symbols/KRX-005690/
바디텍메드 *,12820.0,+0.94%,44445.0,573.0,95043.0,206640,https://kr.tradingview.com/symbols/KRX-206640/
진매트릭스 *,2340.0,+0.86%,66006.0,154.0,80422.0,109820,https://kr.tradingview.com/symbols/KRX-109820/
HK이노엔 *,47100.0,+0.21%,183118.0,8697.0,168410.0,195940,https://kr.tradingview.com/symbols/KRX-195940/
세니젠 *,1900.0,-1.04%,27043.0,52.0,22448.0,188260,https://kr.tradingview.com/symbols/KRX-188260/
