종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
KBI동양철관,1897.0,+8.34%,11178675.0,21151.0,2255592.0,008970,https://kr.tradingview.com/symbols/KRX-008970/
이엠코리아 *,2425.0,+3.85%,951216.0,2283.0,1906614.0,095190,https://kr.tradingview.com/symbols/KRX-095190/
화성밸브 *,8380.0,+3.33%,119744.0,996.0,58557.0,039610,https://kr.tradingview.com/symbols/KRX-039610/
하이스틸,3495.0,+2.95%,194126.0,675.0,100637.0,071090,https://kr.tradingview.com/symbols/KRX-071090/
디케이락 *,10470.0,+2.85%,209864.0,2160.0,111821.0,105740,https://kr.tradingview.com/symbols/KRX-105740/
엔케이,1220.0,+2.35%,1126523.0,1354.0,705108.0,085310,https://kr.tradingview.com/symbols/KRX-085310/
동양에스텍 *,1446.0,+1.69%,28945.0,42.0,42776.0,060380,https://kr.tradingview.com/symbols/KRX-060380/
휴스틸,4015.0,+1.13%,353390.0,1422.0,254294.0,005010,https://kr.tradingview.com/symbols/KRX-005010/
삼현철강 *,4360.0,+0.93%,9654.0,42.0,23992.0,017480,https://kr.tradingview.com/symbols/KRX-017480/
대동스틸 *,2835.0,+0.35%,26800.0,76.0,63903.0,048470,https://kr.tradingview.com/symbols/KRX-048470/
문배철강,2025.0,0.00%,34732.0,70.0,81468.0,008420,https://kr.tradingview.com/symbols/KRX-008420/
부국철강,2010.0,0.00%,29129.0,58.0,45672.0,026940,https://kr.tradingview.com/symbols/KRX-026940/
SK오션플랜트,19960.0,-0.20%,383794.0,7651.0,444438.0,100090,https://kr.tradingview.com/symbols/KRX-100090/
세아제강,117000.0,-0.34%,8307.0,981.0,7035.0,306200,https://kr.tradingview.com/symbols/KRX-306200/
