종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
팜젠사이언스,4260.0,+5.32%,571482.0,2462.0,51239.0,004720,https://kr.tradingview.com/symbols/KRX-004720/
인트론바이오 *,3055.0,+4.80%,308730.0,952.0,269617.0,048530,https://kr.tradingview.com/symbols/KRX-048530/
위더스제약 *,8300.0,+4.80%,1015342.0,8400.0,356538.0,330350,https://kr.tradingview.com/symbols/KRX-330350/
국전약품 *,3260.0,+4.65%,188794.0,614.0,108785.0,307750,https://kr.tradingview.com/symbols/KRX-307750/
수젠텍 *,6100.0,+4.27%,275824.0,1680.0,116383.0,253840,https://kr.tradingview.com/symbols/KRX-253840/
국제약품,4460.0,+3.48%,477942.0,2137.0,137349.0,002720,https://kr.tradingview.com/symbols/KRX-002720/
멕아이씨에스 *,1866.0,+2.47%,65567.0,121.0,33728.0,058110,https://kr.tradingview.com/symbols/KRX-058110/
엑세스바이오 *,3975.0,+1.66%,162617.0,656.0,129881.0,950130,https://kr.tradingview.com/symbols/KRX-950130/
경동제약 *,5640.0,+1.08%,88204.0,492.0,75494.0,011040,https://kr.tradingview.com/symbols/KRX-011040/
광동제약,5770.0,+1.05%,63872.0,370.0,103982.0,009290,https://kr.tradingview.com/symbols/KRX-009290/
젠큐릭스 *,1827.0,-0.33%,305296.0,571.0,409122.0,229000,https://kr.tradingview.com/symbols/KRX-229000/
DXVX *,3520.0,-2.49%,393040.0,1377.0,498654.0,180400,https://kr.tradingview.com/symbols/KRX-180400/
