종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
파이버프로 *,18430.0,+17.76%,3353573.0,57959.0,4552353.0,368770,https://kr.tradingview.com/symbols/KRX-368770/
현대차,549000.0,+14.61%,7707558.0,3987161.0,5235613.0,005380,https://kr.tradingview.com/symbols/KRX-005380/
서연이화,16210.0,+3.98%,1585097.0,25018.0,939529.0,200880,https://kr.tradingview.com/symbols/KRX-200880/
켄코아에어로스페이스 *,22750.0,+1.34%,1097073.0,24492.0,2061588.0,274090,https://kr.tradingview.com/symbols/KRX-274090/
현대건설,108500.0,+0.84%,1896790.0,203321.0,2247114.0,000720,https://kr.tradingview.com/symbols/KRX-000720/
우수AMS *,3900.0,+0.52%,768863.0,2941.0,3909104.0,066590,https://kr.tradingview.com/symbols/KRX-066590/
넥센타이어,8380.0,+0.48%,179518.0,1497.0,334971.0,002350,https://kr.tradingview.com/symbols/KRX-002350/
한화에어로스페이스,1315000.0,+0.46%,264013.0,343618.0,222510.0,012450,https://kr.tradingview.com/symbols/KRX-012450/
KT,55300.0,+0.18%,442302.0,24627.0,789128.0,030200,https://kr.tradingview.com/symbols/KRX-030200/
GS,60900.0,+0.16%,199084.0,12023.0,210037.0,078930,https://kr.tradingview.com/symbols/KRX-078930/
LG유플러스,15420.0,-0.06%,931586.0,14368.0,1014310.0,032640,https://kr.tradingview.com/symbols/KRX-032640/
남성,814.0,-0.12%,12612.0,10.0,30522.0,004270,https://kr.tradingview.com/symbols/KRX-004270/
기산텔레콤 *,1880.0,-0.90%,27449.0,52.0,32195.0,035460,https://kr.tradingview.com/symbols/KRX-035460/
한국항공우주,164200.0,-0.91%,939528.0,152681.0,1188045.0,047810,https://kr.tradingview.com/symbols/KRX-047810/
네온테크 *,2540.0,-0.97%,416391.0,1046.0,863810.0,306620,https://kr.tradingview.com/symbols/KRX-306620/
LIG넥스원,543000.0,-1.27%,127993.0,68758.0,149649.0,079550,https://kr.tradingview.com/symbols/KRX-079550/
대한항공,24050.0,-1.64%,2682642.0,64299.0,3120823.0,003490,https://kr.tradingview.com/symbols/KRX-003490/
한국카본,35650.0,-1.79%,345690.0,12257.0,474434.0,017960,https://kr.tradingview.com/symbols/KRX-017960/
한화시스템,88800.0,-1.88%,2174761.0,192240.0,3518034.0,272210,https://kr.tradingview.com/symbols/KRX-272210/
SK텔레콤,61000.0,-1.93%,1408834.0,85782.0,3784804.0,017670,https://kr.tradingview.com/symbols/KRX-017670/
제주항공,5680.0,-2.24%,244099.0,1372.0,193715.0,089590,https://kr.tradingview.com/symbols/KRX-089590/
하이즈항공 *,2020.0,-2.65%,48446.0,97.0,24971.0,221840,https://kr.tradingview.com/symbols/KRX-221840/
카카오,57300.0,-2.88%,2013702.0,115474.0,2772592.0,035720,https://kr.tradingview.com/symbols/KRX-035720/
베셀 *,1151.0,-4.16%,186459.0,216.0,172278.0,177350,https://kr.tradingview.com/symbols/KRX-177350/
퍼스텍,4605.0,-4.95%,2657506.0,12252.0,11184467.0,010820,https://kr.tradingview.com/symbols/KRX-010820/
