종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
엠젠솔루션 *,1112.0,+5.80%,587328.0,629.0,282042.0,032790,https://kr.tradingview.com/symbols/KRX-032790/
LG전자,109300.0,+4.10%,2536425.0,269050.0,1913232.0,066570,https://kr.tradingview.com/symbols/KRX-066570/
삼성전자,149500.0,+2.96%,31021284.0,4578747.0,24059218.0,005930,https://kr.tradingview.com/symbols/KRX-005930/
포스코DX,42850.0,+2.76%,7256898.0,312386.0,5435825.0,022100,https://kr.tradingview.com/symbols/KRX-022100/
피에스텍 *,15950.0,+2.24%,751269.0,11940.0,996840.0,002230,https://kr.tradingview.com/symbols/KRX-002230/
에스원,79500.0,+0.25%,50068.0,3956.0,72402.0,012750,https://kr.tradingview.com/symbols/KRX-012750/
HDC랩스,8020.0,+0.25%,19693.0,157.0,29197.0,039570,https://kr.tradingview.com/symbols/KRX-039570/
한울소재과학 *,2705.0,+0.19%,124472.0,330.0,155051.0,091440,https://kr.tradingview.com/symbols/KRX-091440/
KT,55300.0,+0.18%,442302.0,24627.0,789128.0,030200,https://kr.tradingview.com/symbols/KRX-030200/
LG유플러스,15420.0,-0.06%,931586.0,14368.0,1014310.0,032640,https://kr.tradingview.com/symbols/KRX-032640/
자이에스앤디,3990.0,-0.62%,95052.0,379.0,74960.0,317400,https://kr.tradingview.com/symbols/KRX-317400/
CS *,776.0,-1.15%,92325.0,71.0,66779.0,065770,https://kr.tradingview.com/symbols/KRX-065770/
현대리바트,6600.0,-1.20%,35508.0,233.0,18695.0,079430,https://kr.tradingview.com/symbols/KRX-079430/
위너스 *,10040.0,-1.38%,20266.0,203.0,14072.0,479960,https://kr.tradingview.com/symbols/KRX-479960/
누리플렉스 *,3535.0,-1.39%,11701.0,41.0,20933.0,040160,https://kr.tradingview.com/symbols/KRX-040160/
에스넷 *,3320.0,-1.63%,70007.0,231.0,35826.0,038680,https://kr.tradingview.com/symbols/KRX-038680/
옴니시스템 *,823.0,-1.67%,230811.0,190.0,774041.0,057540,https://kr.tradingview.com/symbols/KRX-057540/
경동나비엔,55700.0,-1.76%,42905.0,2370.0,49778.0,009450,https://kr.tradingview.com/symbols/KRX-009450/
위닉스 *,4980.0,-1.78%,13930.0,70.0,16888.0,044340,https://kr.tradingview.com/symbols/KRX-044340/
SK텔레콤,61000.0,-1.93%,1408834.0,85782.0,3784804.0,017670,https://kr.tradingview.com/symbols/KRX-017670/
현대에이치티 *,8070.0,-2.54%,36097.0,293.0,18305.0,039010,https://kr.tradingview.com/symbols/KRX-039010/
코콤 *,3375.0,-2.74%,41937.0,142.0,34426.0,015710,https://kr.tradingview.com/symbols/KRX-015710/
제일일렉트릭 *,9940.0,-3.96%,433879.0,4370.0,908260.0,199820,https://kr.tradingview.com/symbols/KRX-199820/
