종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
아모센스 *,10090.0,+8.15%,570886.0,5567.0,333157.0,357580,https://kr.tradingview.com/symbols/KRX-357580/
LG전자,109300.0,+4.10%,2536425.0,269050.0,1913232.0,066570,https://kr.tradingview.com/symbols/KRX-066570/
삼성전자,149500.0,+2.96%,31021284.0,4578747.0,24059218.0,005930,https://kr.tradingview.com/symbols/KRX-005930/
LS,222000.0,0.00%,203230.0,45499.0,190380.0,006260,https://kr.tradingview.com/symbols/KRX-006260/
LG이노텍,279000.0,-0.36%,147588.0,40639.0,149724.0,011070,https://kr.tradingview.com/symbols/KRX-011070/
켐트로닉스 *,30800.0,-1.44%,233113.0,7095.0,267517.0,089010,https://kr.tradingview.com/symbols/KRX-089010/
한솔테크닉스,5530.0,-1.78%,142102.0,780.0,277297.0,004710,https://kr.tradingview.com/symbols/KRX-004710/
비에이치,15990.0,-2.26%,288582.0,4601.0,161542.0,090460,https://kr.tradingview.com/symbols/KRX-090460/
알에프텍 *,1915.0,-2.30%,201898.0,386.0,241206.0,061040,https://kr.tradingview.com/symbols/KRX-061040/
위츠 *,6660.0,-2.35%,66203.0,440.0,45471.0,459100,https://kr.tradingview.com/symbols/KRX-459100/
이랜텍 *,9230.0,-2.84%,312558.0,2876.0,931613.0,054210,https://kr.tradingview.com/symbols/KRX-054210/
웰킵스하이텍 *,640.0,-6.57%,115664.0,74.0,132761.0,043590,https://kr.tradingview.com/symbols/KRX-043590/
