종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
큐에스아이 *,8630.0,+4.35%,1124141.0,9764.0,348276.0,066310,https://kr.tradingview.com/symbols/KRX-066310/
LG전자,109300.0,+4.10%,2536425.0,269050.0,1913232.0,066570,https://kr.tradingview.com/symbols/KRX-066570/
삼성전자,149500.0,+2.96%,31021284.0,4578747.0,24059218.0,005930,https://kr.tradingview.com/symbols/KRX-005930/
사피엔반도체 *,31050.0,+1.80%,70315.0,2123.0,55016.0,452430,https://kr.tradingview.com/symbols/KRX-452430/
원풍물산 *,449.0,+0.67%,22950.0,10.0,32181.0,008290,https://kr.tradingview.com/symbols/KRX-008290/
코세스 *,25000.0,+0.40%,211882.0,5213.0,169993.0,089890,https://kr.tradingview.com/symbols/KRX-089890/
광전자,1847.0,0.00%,94406.0,173.0,84890.0,017900,https://kr.tradingview.com/symbols/KRX-017900/
서울반도체 *,5870.0,-0.17%,199918.0,1164.0,243307.0,046890,https://kr.tradingview.com/symbols/KRX-046890/
영우디에스피 *,902.0,-2.70%,101492.0,91.0,199026.0,143540,https://kr.tradingview.com/symbols/KRX-143540/
루멘스 *,680.0,-2.86%,296981.0,201.0,448756.0,038060,https://kr.tradingview.com/symbols/KRX-038060/
라온텍 *,4580.0,-4.68%,185680.0,856.0,163403.0,418420,https://kr.tradingview.com/symbols/KRX-418420/
