종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
로보로보 *,11770.0,+29.91%,18615877.0,205192.0,3570121.0,215100,https://kr.tradingview.com/symbols/KRX-215100/
휴림로봇 *,21500.0,+29.13%,67518302.0,1309003.0,0.0,090710,https://kr.tradingview.com/symbols/KRX-090710/
모비스 *,7480.0,+28.30%,15602972.0,106414.0,8382262.0,250060,https://kr.tradingview.com/symbols/KRX-250060/
큐렉소 *,17060.0,+14.27%,11295874.0,187336.0,2737400.0,060280,https://kr.tradingview.com/symbols/KRX-060280/
스맥 *,7200.0,+10.60%,20424620.0,149179.0,4290289.0,099440,https://kr.tradingview.com/symbols/KRX-099440/
피앤에스로보틱스 *,12820.0,+9.85%,3365885.0,42521.0,797436.0,460940,https://kr.tradingview.com/symbols/KRX-460940/
에브리봇 *,25900.0,+9.75%,1783251.0,45105.0,718813.0,270660,https://kr.tradingview.com/symbols/KRX-270660/
유진로봇 *,34200.0,+8.92%,12948170.0,450035.0,10950169.0,056080,https://kr.tradingview.com/symbols/KRX-056080/
엔젤로보틱스 *,38750.0,+5.87%,1991389.0,77080.0,1394176.0,455900,https://kr.tradingview.com/symbols/KRX-455900/
LG전자,109300.0,+4.10%,2536425.0,269050.0,1913232.0,066570,https://kr.tradingview.com/symbols/KRX-066570/
미래컴퍼니 *,17470.0,+3.56%,277326.0,4769.0,347412.0,049950,https://kr.tradingview.com/symbols/KRX-049950/
로보스타 *,90900.0,+2.60%,990370.0,89539.0,1299318.0,090360,https://kr.tradingview.com/symbols/KRX-090360/
와이즈넛 *,10800.0,+2.47%,116996.0,1245.0,169748.0,096250,https://kr.tradingview.com/symbols/KRX-096250/
핀텔 *,2465.0,+1.44%,48850.0,118.0,51251.0,291810,https://kr.tradingview.com/symbols/KRX-291810/
티로보틱스 *,28800.0,+1.41%,2804428.0,80991.0,3658123.0,117730,https://kr.tradingview.com/symbols/KRX-117730/
코난테크놀로지 *,22150.0,+0.68%,100804.0,2220.0,151541.0,402030,https://kr.tradingview.com/symbols/KRX-402030/
유일로보틱스 *,97000.0,+0.62%,461639.0,44374.0,703956.0,388720,https://kr.tradingview.com/symbols/KRX-388720/
유디엠텍 *,534.0,+0.56%,318205.0,168.0,235041.0,389680,https://kr.tradingview.com/symbols/KRX-389680/
한화에어로스페이스,1315000.0,+0.46%,264013.0,343618.0,222510.0,012450,https://kr.tradingview.com/symbols/KRX-012450/
한라캐스트 *,19990.0,+0.45%,2866816.0,56772.0,2931613.0,125490,https://kr.tradingview.com/symbols/KRX-125490/
러셀 *,5130.0,+0.39%,10988325.0,57624.0,27030411.0,217500,https://kr.tradingview.com/symbols/KRX-217500/
링크제니시스 *,5660.0,+0.35%,182439.0,1032.0,239451.0,219420,https://kr.tradingview.com/symbols/KRX-219420/
엑셈 *,2000.0,+0.05%,659142.0,1310.0,943346.0,205100,https://kr.tradingview.com/symbols/KRX-205100/
가온그룹 *,6150.0,0.00%,512170.0,3131.0,676834.0,078890,https://kr.tradingview.com/symbols/KRX-078890/
씨메스 *,42700.0,-0.58%,959921.0,41255.0,1809606.0,475400,https://kr.tradingview.com/symbols/KRX-475400/
클로봇 *,73100.0,-0.68%,2461682.0,181887.0,3222229.0,466100,https://kr.tradingview.com/symbols/KRX-466100/
휴먼테크놀로지 *,4450.0,-0.78%,94305.0,411.0,65962.0,175140,https://kr.tradingview.com/symbols/KRX-175140/
모아데이타 *,850.0,-0.93%,108896.0,93.0,171819.0,288980,https://kr.tradingview.com/symbols/KRX-288980/
브레인즈컴퍼니 *,4990.0,-1.19%,10335.0,51.0,17797.0,099390,https://kr.tradingview.com/symbols/KRX-099390/
롯데이노베이트,21500.0,-1.38%,19275.0,414.0,45596.0,286940,https://kr.tradingview.com/symbols/KRX-286940/
네패스 *,15600.0,-1.45%,124530.0,1910.0,125970.0,033640,https://kr.tradingview.com/symbols/KRX-033640/
오픈베이스 *,2310.0,-1.49%,207470.0,478.0,203827.0,049480,https://kr.tradingview.com/symbols/KRX-049480/
삼성에스디에스,176700.0,-1.72%,162877.0,28629.0,230777.0,018260,https://kr.tradingview.com/symbols/KRX-018260/
이노뎁 *,5210.0,-2.07%,36221.0,190.0,16397.0,303530,https://kr.tradingview.com/symbols/KRX-303530/
로보티즈 *,256000.0,-2.10%,423906.0,109030.0,621652.0,108490,https://kr.tradingview.com/symbols/KRX-108490/
한국전자인증 *,3845.0,-2.53%,169718.0,651.0,302559.0,041460,https://kr.tradingview.com/symbols/KRX-041460/
트윔 *,7010.0,-2.64%,13433.0,95.0,13525.0,290090,https://kr.tradingview.com/symbols/KRX-290090/
영우디에스피 *,902.0,-2.70%,101492.0,91.0,199026.0,143540,https://kr.tradingview.com/symbols/KRX-143540/
라온피플 *,2095.0,-2.78%,118562.0,246.0,233105.0,300120,https://kr.tradingview.com/symbols/KRX-300120/
데이타솔루션 *,4695.0,-2.80%,158792.0,738.0,116963.0,263800,https://kr.tradingview.com/symbols/KRX-263800/
셀바스AI *,11740.0,-2.81%,340261.0,3995.0,384611.0,108860,https://kr.tradingview.com/symbols/KRX-108860/
고영 *,29050.0,-2.84%,5023662.0,147675.0,17729911.0,098460,https://kr.tradingview.com/symbols/KRX-098460/
