종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
효성티앤씨,379500.0,+29.97%,216123.0,73656.0,30584.0,298020,https://kr.tradingview.com/symbols/KRX-298020/
솔브레인 *,339500.0,+9.69%,110483.0,35670.0,56856.0,357780,https://kr.tradingview.com/symbols/KRX-357780/
피에스케이홀딩스 *,63700.0,+7.60%,724932.0,44988.0,437766.0,031980,https://kr.tradingview.com/symbols/KRX-031980/
DB하이텍,90300.0,+6.61%,815141.0,72246.0,268555.0,000990,https://kr.tradingview.com/symbols/KRX-000990/
영원무역홀딩스,194000.0,+4.81%,31668.0,6094.0,15048.0,009970,https://kr.tradingview.com/symbols/KRX-009970/
코미코 *,98400.0,+3.47%,153038.0,14785.0,115018.0,183300,https://kr.tradingview.com/symbols/KRX-183300/
금호석유화학,145500.0,+2.18%,184201.0,26596.0,156139.0,011780,https://kr.tradingview.com/symbols/KRX-011780/
영원무역,84800.0,+2.17%,65752.0,5546.0,39869.0,111770,https://kr.tradingview.com/symbols/KRX-111770/
티씨케이 *,170300.0,+1.73%,69925.0,11746.0,105079.0,064760,https://kr.tradingview.com/symbols/KRX-064760/
우리금융지주,28850.0,+1.58%,2054412.0,58840.0,2466818.0,316140,https://kr.tradingview.com/symbols/KRX-316140/
오리온,117000.0,+1.56%,273697.0,31832.0,153941.0,271560,https://kr.tradingview.com/symbols/KRX-271560/
서울보증보험,49350.0,+1.44%,119634.0,5896.0,137319.0,031210,https://kr.tradingview.com/symbols/KRX-031210/
S-Oil,91900.0,+1.43%,298303.0,27097.0,212359.0,010950,https://kr.tradingview.com/symbols/KRX-010950/
F&F,65700.0,+0.92%,78706.0,5142.0,108299.0,383220,https://kr.tradingview.com/symbols/KRX-383220/
JB금융지주,23800.0,+0.85%,593267.0,14055.0,499925.0,175330,https://kr.tradingview.com/symbols/KRX-175330/
현대건설,108500.0,+0.84%,1896790.0,203321.0,2247114.0,000720,https://kr.tradingview.com/symbols/KRX-000720/
SK스퀘어,430000.0,+0.70%,405674.0,174044.0,389355.0,402340,https://kr.tradingview.com/symbols/KRX-402340/
한화에어로스페이스,1315000.0,+0.46%,264013.0,343618.0,222510.0,012450,https://kr.tradingview.com/symbols/KRX-012450/
한국알콜 *,10230.0,+0.29%,23166.0,236.0,24903.0,017890,https://kr.tradingview.com/symbols/KRX-017890/
한솔케미칼,261500.0,+0.19%,68489.0,17694.0,104005.0,014680,https://kr.tradingview.com/symbols/KRX-014680/
KT,55300.0,+0.18%,442302.0,24627.0,789128.0,030200,https://kr.tradingview.com/symbols/KRX-030200/
GS,60900.0,+0.16%,199084.0,12023.0,210037.0,078930,https://kr.tradingview.com/symbols/KRX-078930/
DB손해보험,129100.0,+0.16%,135237.0,17377.0,251609.0,005830,https://kr.tradingview.com/symbols/KRX-005830/
이마트,84100.0,+0.12%,122159.0,10204.0,184850.0,139480,https://kr.tradingview.com/symbols/KRX-139480/
KCC,438500.0,+0.11%,19147.0,8328.0,36942.0,002380,https://kr.tradingview.com/symbols/KRX-002380/
한미반도체,172200.0,+0.06%,1012880.0,171733.0,974249.0,042700,https://kr.tradingview.com/symbols/KRX-042700/
세방전지,63300.0,0.00%,46183.0,2883.0,42543.0,004490,https://kr.tradingview.com/symbols/KRX-004490/
코스맥스,184200.0,-0.05%,93547.0,16920.0,55087.0,192820,https://kr.tradingview.com/symbols/KRX-192820/
한국타이어앤테크놀로지,65400.0,-0.15%,418164.0,27011.0,364397.0,161390,https://kr.tradingview.com/symbols/KRX-161390/
하나마이크론 *,25950.0,-0.19%,960679.0,24645.0,1106050.0,067310,https://kr.tradingview.com/symbols/KRX-067310/
NICE평가정보,16400.0,-0.30%,74015.0,1214.0,62353.0,030190,https://kr.tradingview.com/symbols/KRX-030190/
무학,8780.0,-0.45%,65322.0,569.0,41972.0,033920,https://kr.tradingview.com/symbols/KRX-033920/
현대퓨처넷,3165.0,-0.47%,77674.0,245.0,74327.0,126560,https://kr.tradingview.com/symbols/KRX-126560/
삼성화재,498500.0,-0.50%,79836.0,39574.0,91419.0,000810,https://kr.tradingview.com/symbols/KRX-000810/
메가스터디교육 *,38850.0,-0.64%,38785.0,1511.0,21267.0,215200,https://kr.tradingview.com/symbols/KRX-215200/
코웨이,76700.0,-0.65%,295289.0,22473.0,338694.0,021240,https://kr.tradingview.com/symbols/KRX-021240/
유니테크노 *,3670.0,-0.68%,216902.0,788.0,215135.0,241690,https://kr.tradingview.com/symbols/KRX-241690/
에스트래픽 *,3535.0,-0.70%,76883.0,268.0,72752.0,234300,https://kr.tradingview.com/symbols/KRX-234300/
KG케미칼,4865.0,-0.82%,525509.0,2579.0,424632.0,001390,https://kr.tradingview.com/symbols/KRX-001390/
신한지주,81200.0,-0.85%,1187073.0,96099.0,1709340.0,055550,https://kr.tradingview.com/symbols/KRX-055550/
한국항공우주,164200.0,-0.91%,939528.0,152681.0,1188045.0,047810,https://kr.tradingview.com/symbols/KRX-047810/
컴투스 *,31000.0,-0.96%,67348.0,2066.0,60700.0,078340,https://kr.tradingview.com/symbols/KRX-078340/
태웅로직스 *,2540.0,-0.97%,102073.0,258.0,213935.0,124560,https://kr.tradingview.com/symbols/KRX-124560/
제이브이엠 *,25150.0,-0.98%,62895.0,1558.0,75075.0,054950,https://kr.tradingview.com/symbols/KRX-054950/
현대이지웰 *,4935.0,-1.10%,71826.0,353.0,89428.0,090850,https://kr.tradingview.com/symbols/KRX-090850/
