종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
티피씨글로벌 *,2690.0,+29.95%,4019660.0,10236.0,297302.0,130740,https://kr.tradingview.com/symbols/KRX-130740/
휴림에이텍 *,887.0,+29.87%,43951507.0,37117.0,2874716.0,078590,https://kr.tradingview.com/symbols/KRX-078590/
에스엘,64800.0,+29.86%,1843802.0,108888.0,493041.0,005850,https://kr.tradingview.com/symbols/KRX-005850/
네오티스 *,13410.0,+18.05%,1072356.0,13561.0,302838.0,085910,https://kr.tradingview.com/symbols/KRX-085910/
HL만도,71400.0,+12.26%,6796873.0,472872.0,2345285.0,204320,https://kr.tradingview.com/symbols/KRX-204320/
SJG세종,11680.0,+8.96%,3588653.0,41499.0,1758879.0,033530,https://kr.tradingview.com/symbols/KRX-033530/
코리아에프티 *,9120.0,+8.57%,2225979.0,19594.0,713929.0,123410,https://kr.tradingview.com/symbols/KRX-123410/
현대모비스,487500.0,+8.09%,1202269.0,570109.0,531236.0,012330,https://kr.tradingview.com/symbols/KRX-012330/
현대위아,93700.0,+7.21%,1197313.0,109961.0,642324.0,011210,https://kr.tradingview.com/symbols/KRX-011210/
동원금속,1750.0,+6.32%,2208893.0,3793.0,956205.0,018500,https://kr.tradingview.com/symbols/KRX-018500/
네오오토 *,13150.0,+5.79%,1249859.0,16283.0,4085327.0,212560,https://kr.tradingview.com/symbols/KRX-212560/
화신,9780.0,+5.73%,1335418.0,12497.0,965668.0,010690,https://kr.tradingview.com/symbols/KRX-010690/
한국무브넥스,7240.0,+5.69%,6107693.0,42949.0,8168908.0,010100,https://kr.tradingview.com/symbols/KRX-010100/
피에이치에이 *,12700.0,+5.39%,363875.0,4411.0,676030.0,043370,https://kr.tradingview.com/symbols/KRX-043370/
씨티알모빌리티,9060.0,+5.10%,191019.0,1683.0,126797.0,308170,https://kr.tradingview.com/symbols/KRX-308170/
THE CUBE& *,1023.0,+4.92%,2133183.0,2145.0,1806377.0,013720,https://kr.tradingview.com/symbols/KRX-013720/
SNT모티브,39450.0,+4.37%,324034.0,12552.0,190356.0,064960,https://kr.tradingview.com/symbols/KRX-064960/
성우하이텍 *,7680.0,+4.21%,2366309.0,17753.0,1637696.0,015750,https://kr.tradingview.com/symbols/KRX-015750/
HS효성첨단소재,215500.0,+4.11%,51872.0,10933.0,19831.0,298050,https://kr.tradingview.com/symbols/KRX-298050/
서연이화,16210.0,+3.98%,1585097.0,25018.0,939529.0,200880,https://kr.tradingview.com/symbols/KRX-200880/
성창오토텍 *,4490.0,+3.46%,68924.0,307.0,64816.0,080470,https://kr.tradingview.com/symbols/KRX-080470/
케이피에프 *,6450.0,+3.37%,2696459.0,17328.0,2019684.0,024880,https://kr.tradingview.com/symbols/KRX-024880/
케이비아이동국실업,538.0,+3.26%,1377224.0,739.0,628579.0,001620,https://kr.tradingview.com/symbols/KRX-001620/
세아메카닉스 *,3405.0,+3.18%,936284.0,3116.0,1750367.0,396300,https://kr.tradingview.com/symbols/KRX-396300/
한국단자,76400.0,+3.10%,81737.0,6126.0,82769.0,025540,https://kr.tradingview.com/symbols/KRX-025540/
현대공업 *,6680.0,+3.09%,585279.0,3867.0,328913.0,170030,https://kr.tradingview.com/symbols/KRX-170030/
대원강업,4500.0,+2.97%,352073.0,1554.0,235484.0,000430,https://kr.tradingview.com/symbols/KRX-000430/
인팩,13180.0,+2.81%,117586.0,1530.0,88952.0,023810,https://kr.tradingview.com/symbols/KRX-023810/
