종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
덕산하이메탈 *,7550.0,+29.95%,10292727.0,72771.0,428743.0,077360,https://kr.tradingview.com/symbols/KRX-077360/
타이거일렉 *,34200.0,+20.21%,415130.0,13443.0,112105.0,219130,https://kr.tradingview.com/symbols/KRX-219130/
샘씨엔에스 *,7820.0,+10.92%,6284637.0,47466.0,1777341.0,252990,https://kr.tradingview.com/symbols/KRX-252990/
마이크로투나노 *,13250.0,+10.51%,340134.0,4349.0,91836.0,424980,https://kr.tradingview.com/symbols/KRX-424980/
솔브레인 *,339500.0,+9.69%,110483.0,35670.0,56856.0,357780,https://kr.tradingview.com/symbols/KRX-357780/
오킨스전자 *,11060.0,+8.43%,988845.0,10652.0,354008.0,080580,https://kr.tradingview.com/symbols/KRX-080580/
삼양엔씨켐 *,26950.0,+6.31%,489955.0,12990.0,289926.0,482630,https://kr.tradingview.com/symbols/KRX-482630/
원익QnC *,24250.0,+5.43%,583371.0,13776.0,301697.0,074600,https://kr.tradingview.com/symbols/KRX-074600/
피엠티 *,3280.0,+4.29%,80210.0,263.0,27953.0,147760,https://kr.tradingview.com/symbols/KRX-147760/
원익머트리얼즈 *,34500.0,+3.45%,113530.0,3820.0,153947.0,104830,https://kr.tradingview.com/symbols/KRX-104830/
에프엔에스테크 *,13750.0,+3.38%,148473.0,1946.0,166663.0,083500,https://kr.tradingview.com/symbols/KRX-083500/
한양디지텍 *,23000.0,+2.68%,310964.0,6813.0,375175.0,078350,https://kr.tradingview.com/symbols/KRX-078350/
동진쎄미켐 *,40500.0,+2.66%,648493.0,25690.0,414097.0,005290,https://kr.tradingview.com/symbols/KRX-005290/
에스에이엠티 *,4165.0,+2.59%,1141889.0,4645.0,848152.0,031330,https://kr.tradingview.com/symbols/KRX-031330/
엘티씨 *,23850.0,+2.36%,261858.0,6115.0,200472.0,170920,https://kr.tradingview.com/symbols/KRX-170920/
티씨케이 *,170300.0,+1.73%,69925.0,11746.0,105079.0,064760,https://kr.tradingview.com/symbols/KRX-064760/
레이크머티리얼즈 *,16200.0,+1.44%,1055177.0,16765.0,1423871.0,281740,https://kr.tradingview.com/symbols/KRX-281740/
ISC *,99800.0,+0.50%,196634.0,19540.0,242604.0,095340,https://kr.tradingview.com/symbols/KRX-095340/
OCI,70500.0,0.00%,61136.0,4260.0,66142.0,456040,https://kr.tradingview.com/symbols/KRX-456040/
한솔아이원스 *,10980.0,-0.18%,165528.0,1781.0,246331.0,114810,https://kr.tradingview.com/symbols/KRX-114810/
하나마이크론 *,25950.0,-0.19%,960679.0,24645.0,1106050.0,067310,https://kr.tradingview.com/symbols/KRX-067310/
에프에스티 *,31400.0,-0.32%,164442.0,5075.0,182170.0,036810,https://kr.tradingview.com/symbols/KRX-036810/
퓨릿 *,8940.0,-0.33%,64536.0,566.0,124849.0,445180,https://kr.tradingview.com/symbols/KRX-445180/
티이엠씨 *,8160.0,-0.37%,176391.0,1422.0,148289.0,425040,https://kr.tradingview.com/symbols/KRX-425040/
월덱스 *,22050.0,-0.45%,93850.0,2028.0,76774.0,101160,https://kr.tradingview.com/symbols/KRX-101160/
에스앤에스텍 *,66400.0,-0.60%,412418.0,27334.0,584319.0,101490,https://kr.tradingview.com/symbols/KRX-101490/
덕산테코피아 *,16890.0,-0.71%,131534.0,2168.0,247866.0,317330,https://kr.tradingview.com/symbols/KRX-317330/
유니트론텍 *,6970.0,-0.71%,862985.0,6000.0,914999.0,142210,https://kr.tradingview.com/symbols/KRX-142210/
KX하이텍 *,910.0,-0.76%,138382.0,126.0,173377.0,052900,https://kr.tradingview.com/symbols/KRX-052900/
제이아이테크 *,3080.0,-0.81%,74956.0,228.0,97662.0,417500,https://kr.tradingview.com/symbols/KRX-417500/
해성디에스,51000.0,-0.97%,210617.0,10666.0,357400.0,195870,https://kr.tradingview.com/symbols/KRX-195870/
지오엘리먼트 *,7340.0,-1.08%,46767.0,342.0,41033.0,311320,https://kr.tradingview.com/symbols/KRX-311320/
이엔에프테크놀로지 *,45550.0,-1.09%,178401.0,7922.0,115246.0,102710,https://kr.tradingview.com/symbols/KRX-102710/
KPX케미칼,46200.0,-1.28%,4031.0,186.0,5680.0,025000,https://kr.tradingview.com/symbols/KRX-025000/
케이씨텍,38150.0,-1.29%,107469.0,4046.0,97472.0,281820,https://kr.tradingview.com/symbols/KRX-281820/
티이엠씨씨엔에스 *,6620.0,-1.34%,31090.0,204.0,29722.0,241790,https://kr.tradingview.com/symbols/KRX-241790/
하나머티리얼즈 *,51300.0,-1.35%,269299.0,13855.0,405454.0,166090,https://kr.tradingview.com/symbols/KRX-166090/
네패스 *,15600.0,-1.45%,124530.0,1910.0,125970.0,033640,https://kr.tradingview.com/symbols/KRX-033640/
디엔에프 *,16220.0,-1.64%,74994.0,1205.0,62505.0,092070,https://kr.tradingview.com/symbols/KRX-092070/
엠케이전자 *,8850.0,-1.67%,557371.0,4844.0,1026799.0,033160,https://kr.tradingview.com/symbols/KRX-033160/
시노펙스 *,5620.0,-1.75%,500762.0,2818.0,707677.0,025320,https://kr.tradingview.com/symbols/KRX-025320/
마이크로컨텍솔 *,17880.0,-1.81%,137740.0,2413.0,221196.0,098120,https://kr.tradingview.com/symbols/KRX-098120/
이녹스첨단소재 *,25000.0,-1.96%,308711.0,7665.0,707906.0,272290,https://kr.tradingview.com/symbols/KRX-272290/
메가터치 *,3745.0,-1.96%,132817.0,497.0,191011.0,446540,https://kr.tradingview.com/symbols/KRX-446540/
뉴파워프라즈마 *,5810.0,-2.02%,310309.0,1803.0,459128.0,144960,https://kr.tradingview.com/symbols/KRX-144960/
위지트 *,620.0,-2.05%,637200.0,394.0,654550.0,036090,https://kr.tradingview.com/symbols/KRX-036090/
와이씨켐 *,20350.0,-2.16%,157735.0,3170.0,144975.0,112290,https://kr.tradingview.com/symbols/KRX-112290/
3S *,1486.0,-2.17%,342250.0,506.0,357292.0,060310,https://kr.tradingview.com/symbols/KRX-060310/
에이치브이엠 *,88500.0,-2.21%,452629.0,39587.0,1409031.0,295310,https://kr.tradingview.com/symbols/KRX-295310/
케이엔제이 *,22350.0,-2.40%,116116.0,2578.0,208009.0,272110,https://kr.tradingview.com/symbols/KRX-272110/
비씨엔씨 *,13390.0,-2.62%,28089.0,374.0,62713.0,146320,https://kr.tradingview.com/symbols/KRX-146320/
메카로 *,22600.0,-2.80%,9226.0,210.0,6954.0,241770,https://kr.tradingview.com/symbols/KRX-241770/
후성,7380.0,-2.89%,581287.0,4247.0,659044.0,093370,https://kr.tradingview.com/symbols/KRX-093370/
천보 *,48650.0,-3.09%,60999.0,2950.0,115586.0,278280,https://kr.tradingview.com/symbols/KRX-278280/
램테크놀러지 *,3705.0,-3.26%,94656.0,352.0,91092.0,171010,https://kr.tradingview.com/symbols/KRX-171010/
엘케이켐 *,26700.0,-3.78%,221569.0,5871.0,97624.0,489500,https://kr.tradingview.com/symbols/KRX-489500/
두산,825000.0,-3.85%,150803.0,124611.0,231324.0,000150,https://kr.tradingview.com/symbols/KRX-000150/
