종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
삼성스팩13호 *,7200.0,+260.00%,81008509.0,493017.0,0.0,0115H0,https://kr.tradingview.com/symbols/KRX-001150/
하나29호스팩 *,2115.0,+0.48%,121863.0,257.0,35540.0,454640,https://kr.tradingview.com/symbols/KRX-454640/
이베스트스팩6호 *,2025.0,+0.25%,20633.0,42.0,108.0,478110,https://kr.tradingview.com/symbols/KRX-478110/
하나34호스팩 *,2065.0,+0.24%,981.0,2.0,35480.0,484130,https://kr.tradingview.com/symbols/KRX-484130/
교보14호스팩 *,2110.0,+0.24%,41944.0,88.0,29887.0,456490,https://kr.tradingview.com/symbols/KRX-456490/
미래에셋비전스팩4호 *,2105.0,+0.24%,565.0,1.0,11706.0,477380,https://kr.tradingview.com/symbols/KRX-477380/
교보18호스팩 *,2075.0,+0.24%,12903.0,27.0,4006.0,0041B0,https://kr.tradingview.com/symbols/KRX-000410/
KB제25호스팩 *,2105.0,+0.24%,242789.0,510.0,59364.0,455250,https://kr.tradingview.com/symbols/KRX-455250/
신영스팩10호 *,2200.0,+0.23%,2586.0,6.0,1232.0,472220,https://kr.tradingview.com/symbols/KRX-472220/
유안타제12호스팩 *,2140.0,+0.23%,306621.0,654.0,276108.0,446150,https://kr.tradingview.com/symbols/KRX-446150/
에스케이증권제9호스팩 *,2095.0,0.00%,44213.0,93.0,36804.0,455910,https://kr.tradingview.com/symbols/KRX-455910/
교보16호스팩 *,2095.0,0.00%,0.0,0.0,0.0,482520,https://kr.tradingview.com/symbols/KRX-482520/
한화플러스제4호스팩 *,2080.0,0.00%,722.0,2.0,921.0,455310,https://kr.tradingview.com/symbols/KRX-455310/
에스케이증권제10호스팩 *,2090.0,0.00%,6617.0,14.0,6184.0,457940,https://kr.tradingview.com/symbols/KRX-457940/
한국제12호스팩 *,2085.0,0.00%,4860.0,10.0,2947.0,458610,https://kr.tradingview.com/symbols/KRX-458610/
엔에이치스팩31호 *,2125.0,0.00%,19915.0,42.0,201.0,481890,https://kr.tradingview.com/symbols/KRX-481890/
