종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
모비스 *,7480.0,+28.30%,15602972.0,106414.0,8382262.0,250060,https://kr.tradingview.com/symbols/KRX-250060/
아센디오,2055.0,+9.19%,3024054.0,6385.0,601602.0,012170,https://kr.tradingview.com/symbols/KRX-012170/
파워로직스 *,6180.0,+7.48%,11068315.0,69906.0,6818293.0,047310,https://kr.tradingview.com/symbols/KRX-047310/
한양이엔지 *,25100.0,+5.68%,185922.0,4568.0,130930.0,045100,https://kr.tradingview.com/symbols/KRX-045100/
탑엔지니어링 *,3630.0,+3.27%,161643.0,578.0,89522.0,065130,https://kr.tradingview.com/symbols/KRX-065130/
고려제강,22100.0,+3.03%,70822.0,1546.0,56512.0,002240,https://kr.tradingview.com/symbols/KRX-002240/
인지컨트롤스,7420.0,+1.23%,190338.0,1386.0,353690.0,023800,https://kr.tradingview.com/symbols/KRX-023800/
인지디스플레 *,1412.0,-0.98%,64273.0,91.0,71717.0,037330,https://kr.tradingview.com/symbols/KRX-037330/
비츠로테크 *,11230.0,-1.66%,1391413.0,15429.0,3110547.0,042370,https://kr.tradingview.com/symbols/KRX-042370/
덕성,4685.0,-1.68%,79156.0,368.0,123914.0,004830,https://kr.tradingview.com/symbols/KRX-004830/
원익피앤이 *,3870.0,-2.03%,467623.0,1824.0,384807.0,217820,https://kr.tradingview.com/symbols/KRX-217820/
신성델타테크 *,57400.0,-3.20%,177318.0,10213.0,155811.0,065350,https://kr.tradingview.com/symbols/KRX-065350/
서남 *,2725.0,-3.20%,485631.0,1342.0,634847.0,294630,https://kr.tradingview.com/symbols/KRX-294630/
아모텍 *,8730.0,-3.54%,403736.0,3463.0,159692.0,052710,https://kr.tradingview.com/symbols/KRX-052710/
LS ELECTRIC,506000.0,-3.62%,215028.0,108516.0,230567.0,010120,https://kr.tradingview.com/symbols/KRX-010120/
