종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
세아베스틸지주,76500.0,+3.94%,618962.0,45322.0,473802.0,001430,https://kr.tradingview.com/symbols/KRX-001430/
고려제강,22100.0,+3.03%,70822.0,1546.0,56512.0,002240,https://kr.tradingview.com/symbols/KRX-002240/
세아제강,116900.0,-0.09%,71682.0,8683.0,8307.0,306200,https://kr.tradingview.com/symbols/KRX-306200/
한국철강,9970.0,-0.30%,38747.0,387.0,9485.0,104700,https://kr.tradingview.com/symbols/KRX-104700/
현대제철,31400.0,-0.79%,712619.0,22118.0,803842.0,004020,https://kr.tradingview.com/symbols/KRX-004020/
동국씨엠,5100.0,-1.16%,93414.0,476.0,96637.0,460850,https://kr.tradingview.com/symbols/KRX-460850/
대한제강,10520.0,-1.31%,38861.0,411.0,18980.0,084010,https://kr.tradingview.com/symbols/KRX-084010/
동국제강,8170.0,-1.33%,81131.0,658.0,89065.0,460860,https://kr.tradingview.com/symbols/KRX-460860/
POSCO홀딩스,351000.0,-1.82%,690004.0,240511.0,897663.0,005490,https://kr.tradingview.com/symbols/KRX-005490/
KG스틸,5200.0,-1.89%,241772.0,1257.0,255943.0,016380,https://kr.tradingview.com/symbols/KRX-016380/
포스코스틸리온,40100.0,-2.55%,77026.0,3139.0,43562.0,058430,https://kr.tradingview.com/symbols/KRX-058430/
